postal_cd,consultant_names,consultant_num,num_districts_served,num_clean_districts_served,num_dirty_districts_served,num_fiber_target_districts_served,num_potential_fiber_target_districts_served,num_not_fiber_target_districts_served,num_no_data_fiber_districts_served,num_bw_target_districts_served,num_potential_bw_target_districts_served,num_not_bw_target_districts_served,num_no_data_bw_districts_served,num_meeting_affordability_districts_served,num_not_meeting_affordability_districts_served,num_unknown_affordability_districts_served,num_fiber_or_bw_target_districts_served,num_fiber_or_bw_potential_target_districts_served,num_applications
AZ,Yavapai County Educational Service Agency,16071819,36,31,5,11,4,20,1,3,3,29,1,6,25,5,13,5,43
CA,AARRESTAD-GJERVIK CONSULTING,16062621,21,16,5,1,8,12,0,2,2,17,0,11,5,5,3,8,21
CA,"ADS Advanced Data Services, Inc.",16049151,1,1,0,0,1,0,0,0,0,1,0,0,1,0,0,1,1
CA,ATG,16065304,27,22,5,3,4,19,1,3,4,20,0,11,11,5,5,5,30
CA,BTU Consultants,16049611,3,1,2,0,1,2,0,0,1,2,0,1,0,2,0,1,3
CA,CSM Consulting Inc.,16043564,255,223,32,27,41,186,1,49,24,180,2,99,124,32,65,44,298
CA,David Goldsmith,16071686,5,5,0,5,0,0,0,0,0,5,0,0,5,0,5,0,5
CA,David Sonderegger,16071142,5,5,0,1,0,4,0,0,0,5,0,3,2,0,1,0,9
CA,"e2e Exchange, LLC",16043595,4,3,1,0,1,3,0,0,1,3,0,1,2,1,0,1,5
CA,Eddie R. Smith Consulting,16049508,4,4,0,0,0,4,0,0,0,4,0,3,1,0,0,0,5
CA,eDimension LLC,16043582,4,4,0,0,0,4,0,2,0,2,0,3,1,0,2,0,4
CA,"EDTECH STRATEGIES, LLC",16062713,1,1,0,0,0,1,0,0,0,1,0,0,1,0,0,0,1
CA,Educational Consortium for Telecom Savings,16024807,1,1,0,1,0,0,0,0,0,1,0,0,1,0,1,0,1
CA,"E-Rate 360 Solutions, LLC",16048893,4,3,1,0,1,3,0,0,1,3,0,2,1,1,0,1,4
CA,E-Rate Advantage,16060670,1,0,1,0,1,0,0,0,1,0,0,0,0,1,0,1,1
CA,E-Rate Central,16060891,3,3,0,0,0,3,0,0,0,3,0,0,3,0,0,0,3
CA,E-Rate Complete,16043592,3,3,0,0,0,3,0,0,0,3,0,2,1,0,0,0,3
CA,"E-Rate Elite Services, Inc.",16024803,1,1,0,0,0,1,0,0,0,1,0,0,1,0,0,0,2
CA,E-Rate First,16065884,1,1,0,0,0,1,0,1,0,0,0,0,1,0,1,0,2
CA,E-RATE ONLINE LLC,16048791,5,3,2,1,1,3,0,0,2,3,0,1,2,2,1,2,5
CA,"ERateProgram, LLC",16048902,1,1,0,0,0,1,0,0,0,1,0,1,0,0,0,0,1
CA,"eRate Solutions, L.L.C.",16024804,1,1,0,0,0,1,0,0,0,1,0,1,0,0,0,0,1
CA,Federal Funds Assistant,16062923,1,1,0,0,0,1,0,0,0,1,0,1,0,0,0,0,1
CA,Funds for Learning,16024808,1,1,0,0,0,1,0,0,0,1,0,0,1,0,0,0,2
CA,Glenn Hervieux,16062141,7,7,0,4,1,2,0,0,0,7,0,3,4,0,4,1,7
CA,Gray Prewitt,16067255,2,2,0,0,0,2,0,0,0,2,0,1,1,0,0,0,2
CA,"INFINITE CONNECTIONS, INC.",16062454,1,1,0,0,0,1,0,0,0,1,0,0,1,0,0,0,1
CA,Infinity Communications & Consulting,16043605,184,147,37,39,41,104,0,27,29,126,2,59,88,37,56,51,209
CA,Intrinsic Admin Corp,16079893,1,1,0,0,0,1,0,0,0,1,0,1,0,0,0,0,1
CA,IP Enterprises,17000005,1,1,0,0,0,1,0,1,0,0,0,0,1,0,1,0,1
CA,JEG CONSULTING,16062012,13,11,2,8,3,1,1,6,1,6,0,2,9,2,10,4,15
CA,"Kendrick Group, LLC",16043626,1,1,0,0,0,1,0,0,0,1,0,1,0,0,0,0,2
CA,Mattison Enterprises,16043631,19,18,1,0,6,13,0,7,0,11,1,12,6,1,7,6,19
CA,Merced County Office of Education,16071545,12,12,0,2,0,10,0,0,0,12,0,8,4,0,2,0,23
CA,Michael Anderson,16062433,7,6,1,3,0,4,0,2,1,4,0,1,5,1,3,1,7
CA,Mono County Office of Education,17002301,2,1,1,0,1,1,0,0,1,1,0,1,0,1,0,1,2
CA,"NvLS Professional Services, LLC",16024810,38,30,8,4,8,26,0,8,5,24,1,22,8,8,10,9,40
CA,"PROJECT CONSULTING ADJUNCT STAFF 4 EDUCATION, INC.",16066469,6,4,2,0,0,6,0,1,0,5,0,1,3,2,1,0,16
CA,RDV Consulting Services,16062353,15,14,1,1,2,12,0,2,1,12,0,9,5,1,3,2,18
CA,"RICK GILDEZ - NetMedic, LLC",16062448,4,4,0,1,0,3,0,1,0,3,0,0,4,0,1,0,4
CA,"Roger Powell Consulting, LLC",16062588,4,4,0,0,0,4,0,0,0,4,0,3,1,0,0,0,4
CA,SCCOE Consultant,17005196,3,1,2,1,0,2,0,0,1,2,0,1,0,2,1,1,3
CA,Stodghill Group,16043665,4,4,0,1,1,2,0,0,0,4,0,3,1,0,1,1,4
CA,"Sutherland Consulting Group, Inc. DBA EdTechnologyFunds, Inc.",16060507,5,4,1,0,1,4,0,2,0,3,0,2,2,1,2,1,8
CA,"Tech Ed Services, Inc",16060753,8,8,0,0,2,6,0,2,0,6,0,6,2,0,2,2,8
CA,Telesolutions Consultants LLC,16043677,2,2,0,0,0,2,0,0,0,2,0,0,2,0,0,0,3
CA,The Miller Institute for Learning With Technology (dba Learningtech.org),16043681,8,8,0,0,2,6,0,0,0,8,0,4,4,0,0,2,9
CO,"ADS Advanced Data Services, Inc.",16049151,1,1,0,1,0,0,0,0,0,1,0,0,1,0,1,0,1
CO,BTU Consultants,16049611,1,1,0,0,0,1,0,0,0,1,0,1,0,0,0,0,1
CO,Claborn Services LLC,16062431,1,1,0,0,0,1,0,0,0,1,0,0,1,0,0,0,1
CO,CRW Consulting,16024800,6,6,0,2,1,3,0,0,0,6,0,2,4,0,2,1,8
CO,CSM Consulting Inc.,16043564,1,1,0,0,0,1,0,1,0,0,0,0,1,0,1,0,3
CO,CTI eRate Services,16043573,1,1,0,0,1,0,0,1,0,0,0,1,0,0,1,1,1
CO,"e2e Exchange, LLC",16043595,5,4,1,1,2,2,0,0,1,4,0,1,3,1,1,2,5
CO,Educational Consortium for Telecom Savings,16024807,3,3,0,1,1,1,0,0,0,3,0,1,2,0,1,1,3
CO,"E-Rate 360 Solutions, LLC",16048893,3,2,1,0,1,2,0,0,0,3,0,1,1,1,0,1,4
CO,E-Rate Central,16060891,1,1,0,0,1,0,0,0,0,1,0,0,1,0,0,1,2
CO,E-RATE ONLINE LLC,16048791,4,4,0,0,1,3,0,1,0,3,0,2,2,0,1,1,7
CO,"ERateProgram, LLC",16048902,1,1,0,0,0,1,0,0,0,1,0,0,1,0,0,0,1
CO,ETECHCO INC,16061978,45,43,2,7,5,33,0,7,2,36,0,30,13,2,13,5,54
CO,Funds for Learning,16024808,2,2,0,0,0,2,0,1,0,1,0,1,1,0,1,0,3
CO,John Hubley,16062228,1,1,0,1,0,0,0,0,0,1,0,1,0,0,1,0,1
CO,"Kellogg & Sovereign Consulting, LLC",16024809,3,3,0,0,1,2,0,1,0,2,0,3,0,0,1,1,3
CO,NORTHEAST COLORADO BOCES,16062029,8,7,1,1,0,7,0,0,0,8,0,2,5,1,1,0,9
CO,"Optimal Communications Group, LLC",16075693,2,2,0,0,0,2,0,0,0,2,0,1,1,0,0,0,5
CO,"Storm Consulting Group, LP",16054744,3,3,0,0,1,2,0,0,0,3,0,2,1,0,0,1,3
CT,"e2e Exchange, LLC",16043595,4,2,2,0,4,0,0,1,0,3,0,1,1,2,1,4,4
CT,Educational Consortium for Telecom Savings,16024807,7,6,1,1,1,5,0,0,0,7,0,6,0,1,1,1,10
CT,E-Rate Central,16060891,1,0,1,0,1,0,0,0,1,0,0,0,0,1,0,1,1
CT,"E-Rate Elite Services, Inc.",16024803,3,3,0,0,2,1,0,0,0,3,0,3,0,0,0,2,4
CT,E-RATE ONLINE LLC,16048791,80,79,1,2,16,62,0,1,0,79,0,79,0,1,3,16,139
CT,"ERateProgram, LLC",16048902,1,0,1,0,1,0,0,0,0,1,0,0,0,1,0,1,2
CT,E Rate Solutions Group Inc,16043598,1,0,1,0,1,0,0,0,1,0,0,0,0,1,0,1,2
