nces_cd,esh_id,name,district_type,postal_cd,District,Office,ROP,ROC,CHARTER,Should be removed from word search?
691102,NA,NA,NA,NA,Plumas County Office of Education,15,0,0,0,1
600083,NA,NA,NA,NA,Plumas County ROP,0,15,0,0,1
691026,NA,NA,NA,NA,Riverside County Office of Education,18,0,0,0,1
600094,NA,NA,NA,NA,Riverside County Office Of Education ROP,18,38,0,0,1
691027,NA,NA,NA,NA,Sacramento County Office of Education,19,0,0,0,1
600095,NA,NA,NA,NA,Sacramento County ROP,0,19,0,0,1
600114,NA,NA,NA,NA,San Antonio ROP,0,13,0,0,1
691028,NA,NA,NA,NA,San Benito County Office of Education,19,0,0,0,1
691029,NA,NA,NA,NA,San Bernardino County Office of Education,23,0,0,0,1
600132,NA,NA,NA,NA,San Bernardino County ROP,0,23,0,0,1
NA,NA,NA,NA,NA,San Diego Community College,0,0,0,0,0
691030,NA,NA,NA,NA,San Diego County Office of Education,18,0,0,0,1
600138,NA,NA,NA,NA,San Diego County ROP,0,18,0,0,1
691111,NA,NA,NA,NA,San Francisco County Office of Education,22,0,0,0,1
600139,NA,NA,NA,NA,San Francisco County ROP,0,22,0,0,1
691031,NA,NA,NA,NA,San Joaquin County Office of Education,20,0,0,0,1
600140,NA,NA,NA,NA,San Joaquin County ROP,0,20,0,0,1
691032,NA,NA,NA,NA,San Luis Obispo County Office of Education,24,0,0,0,1
691033,NA,NA,NA,NA,San Mateo County Office of Education,18,0,0,0,1
600142,NA,NA,NA,NA,San Mateo County ROP,0,18,0,0,1
691034,NA,NA,NA,NA,Santa Barbara County Office of Education,22,0,0,0,1
600133,NA,NA,NA,NA,Santa Barbara County ROP,0,22,0,0,1
691035,NA,NA,NA,NA,Santa Clara County Office of Education,20,0,0,0,1
600137,NA,NA,NA,NA,Santa Clara County ROP,0,20,0,0,1
691036,NA,NA,NA,NA,Santa Cruz County Office of Education,19,0,0,0,1
600143,NA,NA,NA,NA,Santa Cruz County ROP,0,19,0,0,1
601322,NA,NA,NA,NA,SBC - High Tech High,0,0,0,0,0
601435,NA,NA,NA,NA,SBE - Academia Avance Charter,0,0,0,23,1
601430,NA,NA,NA,NA,SBE - Anahuacalmecac International University Preparatory of North America,0,0,0,0,0
601441,NA,NA,NA,NA,SBE - Audeo Charter II,0,0,0,13,1
601336,NA,NA,NA,NA,SBE - Barack Obama Charter,0,0,0,20,1
601434,NA,NA,NA,NA,SBE - Baypoint Preparatory Academy,0,0,0,0,0
NA,NA,NA,NA,NA,SBE - Celerity Himalia,0,0,0,0,0
NA,NA,NA,NA,NA,SBE - Celerity Rolas,0,0,0,0,0
NA,NA,NA,NA,NA,SBE - Grossmont Secondary,0,0,0,0,0
601323,NA,NA,NA,NA,SBE - Lifeline Education Charter,0,0,0,26,1
601425,NA,NA,NA,NA,SBE - Magnolia Science Academy Santa Ana,0,0,0,0,0
600134,NA,NA,NA,NA,SBE - New West Charter,0,0,0,16,1
601436,NA,NA,NA,NA,SBE - Olive Grove Charter,0,0,0,19,1
601433,NA,NA,NA,NA,SBE - OnePurpose,0,0,0,0,0
601432,NA,NA,NA,NA,SBE - Paramount Collegiate Academy,0,0,0,0,0
601438,NA,NA,NA,NA,SBE - Prepa Tec Los Angeles High,0,0,0,0,0
600071,NA,NA,NA,NA,SBE - Ridgecrest Charter,0,0,0,18,1
601439,NA,NA,NA,NA,SBE - Rocketship Futuro Academy,0,0,7,0,1
NA,NA,NA,NA,NA,SBE - Ross Valley Elementary,0,0,0,0,0
601431,NA,NA,NA,NA,SBE - The New School of San Francisco,0,0,0,0,0
600136,NA,NA,NA,NA,SBE - The School of Arts and Enterprise,0,0,0,0,0
601429,NA,NA,NA,NA,SBE - Thrive Public,0,0,0,0,0
691037,NA,NA,NA,NA,Shasta County Office of Education,15,0,0,0,1
600125,NA,NA,NA,NA,Shasta-Trinity ROP,0,16,0,0,1
691120,NA,NA,NA,NA,Sierra County Office of Education,15,0,0,0,1
691038,NA,NA,NA,NA,Siskiyou County Office of Education,17,0,0,0,1
600127,NA,NA,NA,NA,Siskiyou ROP,0,10,0,0,1
691122,NA,NA,NA,NA,Solano County Office of Education,15,0,0,0,1
691040,NA,NA,NA,NA,Sonoma County Office of Education,15,0,0,0,1
600129,NA,NA,NA,NA,Sonoma County ROP,0,15,0,0,1
600104,NA,NA,NA,NA,Southeast ROP,0,11,0,0,1
600107,NA,NA,NA,NA,Southern California ROC,0,0,21,0,1
691041,NA,NA,NA,NA,Stanislaus County Office of Education,19,0,0,0,1
691042,NA,NA,NA,NA,Sutter County Office of Education,15,0,0,0,1
691043,NA,NA,NA,NA,Tehama County Department of Education,0,0,0,0,0
600146,NA,NA,NA,NA,Tehama County ROP,0,15,0,0,1
600106,NA,NA,NA,NA,Tri-Cities ROP,0,12,0,0,1
600145,NA,NA,NA,NA,Tri-County ROP,0,12,0,0,1
600084,NA,NA,NA,NA,Tri-Valley ROP,0,12,0,0,1
691044,NA,NA,NA,NA,Trinity County Office of Education,16,0,0,0,1
691045,NA,NA,NA,NA,Tulare County Office of Education,15,0,0,0,1
691046,NA,NA,NA,NA,Tuolumne County Superintendent of Schools,0,0,0,0,0
601442,NA,NA,NA,NA,Upper Lake Unified,0,0,0,0,0
600097,NA,NA,NA,NA,Valley ROP,0,8,0,0,1
691047,NA,NA,NA,NA,Ventura County Office of Education,16,0,0,0,1
600148,NA,NA,NA,NA,Ventura County ROP,0,16,0,0,1
600073,NA,NA,NA,NA,West Side ROP,0,11,0,0,1
600126,NA,NA,NA,NA,WIlliam (R) Rouse ROP,0,19,0,0,1
691049,NA,NA,NA,NA,Yolo County Office of Education,13,0,0,0,1
600149,NA,NA,NA,NA,Yolo County ROP,0,13,0,0,1
600144,NA,NA,NA,NA,Yosemite ROP,0,10,0,0,1
691048,NA,NA,NA,NA,Yuba County Office of Education,13,0,0,0,1
