postal_cd,district_size,percent,n_districts_size,n_districts,n_schools,n_students
KS,Mega,0.350877193,1,285,1336,454386
KS,Large,2.807017544,8,285,1336,454386
KS,Medium,13.68421053,39,285,1336,454386
KS,Small,81.05263158,231,285,1336,454386
KS,Tiny,2.105263158,6,285,1336,454386
KS Clean,Mega,0.406504065,1,246,1124,372279
KS Clean,Large,2.845528455,7,246,1124,372279
KS Clean,Medium,12.19512195,30,246,1124,372279
KS Clean,Small,82.11382114,202,246,1124,372279
KS Clean,Tiny,2.43902439,6,246,1124,372279
KY,Mega,1.149425287,2,174,1534,658256
KY,Large,8.620689655,15,174,1534,658256
KY,Medium,43.10344828,75,174,1534,658256
KY,Small,40.22988506,70,174,1534,658256
KY,Tiny,6.896551724,12,174,1534,658256
KY Clean,Mega,1.204819277,2,166,1512,650633
KY Clean,Large,9.036144578,15,166,1512,650633
KY Clean,Medium,44.57831325,74,166,1512,650633
KY Clean,Small,40.36144578,67,166,1512,650633
KY Clean,Tiny,4.819277108,8,166,1512,650633
LA,Mega,7.246376812,5,69,1267,616348
LA,Large,28.98550725,20,69,1267,616348
LA,Medium,47.82608696,33,69,1267,616348
LA,Small,15.94202899,11,69,1267,616348
LA Clean,Mega,8.196721311,5,61,1162,573838
LA Clean,Large,27.86885246,17,61,1162,573838
LA Clean,Medium,50.81967213,31,61,1162,573838
LA Clean,Small,13.1147541,8,61,1162,573838
MA,Mega,0.677966102,2,295,1702,864451
MA,Large,3.389830508,10,295,1702,864451
MA,Medium,32.20338983,95,295,1702,864451
MA,Small,44.06779661,130,295,1702,864451
MA,Tiny,19.66101695,58,295,1702,864451
MA Clean,Mega,0.763358779,2,262,1579,804279
MA Clean,Large,3.816793893,10,262,1579,804279
MA Clean,Medium,32.44274809,85,262,1579,804279
MA Clean,Small,45.80152672,120,262,1579,804279
MA Clean,Tiny,17.17557252,45,262,1579,804279
MD,Mega,33.33333333,8,24,1398,811173
MD,Large,33.33333333,8,24,1398,811173
MD,Medium,33.33333333,8,24,1398,811173
MD Clean,Mega,34.7826087,8,23,1384,803670
MD Clean,Large,34.7826087,8,23,1384,803670
MD Clean,Medium,30.43478261,7,23,1384,803670
ME,Large,0.571428571,1,175,607,174242
ME,Medium,24,42,175,607,174242
ME,Small,34.85714286,61,175,607,174242
ME,Tiny,40.57142857,71,175,607,174242
ME Clean,Medium,21.31147541,26,122,382,106553
ME Clean,Small,36.06557377,44,122,382,106553
ME Clean,Tiny,42.62295082,52,122,382,106553
MI,Mega,0.366300366,2,546,3157,1373257
MI,Large,4.212454212,23,546,3157,1373257
MI,Medium,29.3040293,160,546,3157,1373257
MI,Small,55.12820513,301,546,3157,1373257
MI,Tiny,10.98901099,60,546,3157,1373257
MI Clean,Mega,0.680272109,2,294,1707,727676
MI Clean,Large,3.401360544,10,294,1707,727676
MI Clean,Medium,27.55102041,81,294,1707,727676
MI Clean,Small,58.16326531,171,294,1707,727676
MI Clean,Tiny,10.20408163,30,294,1707,727676
MN,Mega,0.598802395,2,334,1884,781029
MN,Large,5.089820359,17,334,1884,781029
MN,Medium,17.06586826,57,334,1884,781029
MN,Small,74.8502994,250,334,1884,781029
MN,Tiny,2.395209581,8,334,1884,781029
MN Clean,Mega,0.687285223,2,291,1677,689593
MN Clean,Large,5.498281787,16,291,1677,689593
MN Clean,Medium,16.15120275,47,291,1677,689593
MN Clean,Small,75.94501718,221,291,1677,689593
MN Clean,Tiny,1.718213058,5,291,1677,689593
MO,Mega,0.384615385,2,520,2198,864347
MO,Large,3.846153846,20,520,2198,864347
MO,Medium,12.11538462,63,520,2198,864347
MO,Small,69.80769231,363,520,2198,864347
MO,Tiny,13.84615385,72,520,2198,864347
MO Clean,Mega,0.461893764,2,433,1819,697001
MO Clean,Large,3.695150115,16,433,1819,697001
MO Clean,Medium,11.08545035,48,433,1819,697001
MO Clean,Small,70.66974596,306,433,1819,697001
MO Clean,Tiny,14.08775982,61,433,1819,697001
MS,Mega,0.662251656,1,151,1062,487501
MS,Large,3.973509934,6,151,1062,487501
MS,Medium,45.03311258,68,151,1062,487501
MS,Small,45.69536424,69,151,1062,487501
MS,Tiny,4.635761589,7,151,1062,487501
MS Clean,Mega,0.8,1,125,889,409427
MS Clean,Large,4,5,125,889,409427
MS Clean,Medium,45.6,57,125,889,409427
MS Clean,Small,46.4,58,125,889,409427
MS Clean,Tiny,3.2,4,125,889,409427
MT,Large,0.970873786,3,309,822,141558
MT,Medium,2.912621359,9,309,822,141558
MT,Small,63.75404531,197,309,822,141558
MT,Tiny,32.36245955,100,309,822,141558
MT Clean,Large,1.382488479,3,217,701,137734
MT Clean,Medium,3.686635945,8,217,701,137734
MT Clean,Small,83.41013825,181,217,701,137734
MT Clean,Tiny,11.52073733,25,217,701,137734
NC,Mega,6.956521739,8,115,2475,1437568
NC,Large,40,46,115,2475,1437568
NC,Medium,36.52173913,42,115,2475,1437568
NC,Small,16.52173913,19,115,2475,1437568
NC Clean,Mega,7.339449541,8,109,2421,1415212
NC Clean,Large,41.28440367,45,109,2421,1415212
NC Clean,Medium,34.86238532,38,109,2421,1415212
NC Clean,Small,16.51376147,18,109,2421,1415212
ND,Large,2.824858757,5,177,481,99100
ND,Medium,2.259887006,4,177,481,99100
ND,Small,77.96610169,138,177,481,99100
ND,Tiny,16.94915254,30,177,481,99100
ND Clean,Small,89.69072165,87,97,203,25716
ND Clean,Tiny,10.30927835,10,97,203,25716
NE,Mega,0.803212851,2,249,1010,289405
NE,Large,1.606425703,4,249,1010,289405
NE,Medium,8.835341365,22,249,1010,289405
NE,Small,88.75502008,221,249,1010,289405
NE Clean,Mega,0.510204082,1,196,673,163992
NE Clean,Large,1.020408163,2,196,673,163992
NE Clean,Medium,8.163265306,16,196,673,163992
NE Clean,Small,90.30612245,177,196,673,163992
NH,Large,1.212121212,2,165,459,183439
NH,Medium,9.696969697,16,165,459,183439
NH,Small,39.39393939,65,165,459,183439
NH,Tiny,49.6969697,82,165,459,183439
NH Clean,Large,1.818181818,2,110,334,139115
NH Clean,Medium,10.90909091,12,110,334,139115
NH Clean,Small,43.63636364,48,110,334,139115
NH Clean,Tiny,43.63636364,48,110,334,139115
NJ,Mega,0.182815356,1,547,2278,1269214
NJ,Large,2.559414991,14,547,2278,1269214
NJ,Medium,20.47531993,112,547,2278,1269214
NJ,Small,46.25228519,253,547,2278,1269214
NJ,Tiny,30.53016453,167,547,2278,1269214
NJ Clean,Mega,0.253807107,1,394,1500,819364
NJ Clean,Large,1.52284264,6,394,1500,819364
NJ Clean,Medium,18.02030457,71,394,1500,819364
NJ Clean,Small,48.98477157,193,394,1500,819364
NJ Clean,Tiny,31.21827411,123,394,1500,819364
NM,Mega,1.123595506,1,89,760,308593
NM,Large,13.48314607,12,89,760,308593
NM,Medium,22.47191011,20,89,760,308593
