"nces_cd","name","locale","district_size","num_schools","num_students","frl_percent","address","city","zip","county","postal_cd","latitude","longitude","exclude_from_analysis","ia_bandwidth_per_student","meeting_2014_goal_no_oversub","meeting_2018_goal_oversub","monthly_ia_cost_per_mbps","total_ia_bw_mbps","total_ia_monthly_cost","gt_1g_wan_lines","lt_1g_fiber_wan_lines","lt_1g_nonfiber_wan_lines","meeting_2014_goal_no_oversub_fcc_25","meeting_2018_goal_oversub_fcc_25","meeting_goals_district","exclude","not_all_scalable","new_connect_type_goals","c1_discount_rate","zero_build_cost_to_district","n_schools_wan_needs","n_schools_in_wan_needs_calculation","schools_on_fiber","schools_may_need_upgrades","schools_need_upgrades"
2101440,"DANVILLE INDEPENDENT","Small Town","Medium",7,1818,0.636117137,"359 PROCTOR ST","DANVILLE",40422,"BOYLE COUNTY","KY",37.650005,-84.765816,FALSE,550.06,"Meeting Goal","Not Meeting 2018 Goals",NA,1000.00908,NA,4,0,0,TRUE,FALSE,1,"Clean",1,"Fiber",80,1,5,6,5,2,0
2101470,"DAVIESS COUNTY","Suburban","Large",22,10828,0.501714889,"1622 SOUTHEASTERN PARKWAY","OWENSBORO",42304,"DAVIESS COUNTY","KY",37.72842,-87.082341,FALSE,92.35,"Not Meeting Goal","Not Meeting 2018 Goals",12.5325,999.9658,12532.07139,19,0,0,FALSE,FALSE,0,"Clean",0,"Fiber",80,1,18,21,22,0,0
2101500,"DAWSON SPRINGS INDEPENDENT","Rural","Small",2,625,0.642857143,"118 EAST ARCADIA AVE","DAWSON",42408,"HOPKINS COUNTY","KY",37.167436,-87.692276,FALSE,160,"Meeting Goal","Not Meeting 2018 Goals",40.15583333,100,4015.583333,0,0,0,TRUE,FALSE,1,"Clean",0,"Fiber",90,1,0,0,2,0,0
2101530,"DAYTON INDEPENDENT","Suburban","Small",2,850,0.815533981,"200 CLAY ST","DAYTON",41074,"CAMPBELL COUNTY","KY",39.117308,-84.469562,FALSE,117.65,"Meeting Goal","Not Meeting 2018 Goals",40.98083333,100.0025,4098.185785,2,0,0,TRUE,FALSE,1,"Clean",0,"Fiber",90,1,0,0,2,0,0
2101590,"EAST BERNSTADT INDEPENDENT","Small Town","Tiny",1,497,0.615808824,"229 SCHOOL ST","EAST BERNSTADT",40729,"LAUREL COUNTY","KY",37.190871,-84.109235,FALSE,90.54,"Not Meeting Goal","Not Meeting 2018 Goals",63.02166667,44.99838,2835.872905,0,0,0,FALSE,FALSE,0,"Clean",0,"Fiber",80,1,0,0,1,0,0
2101620,"EDMONSON COUNTY","Rural","Medium",6,1914,0.544691358,"100 HIGH SCHOOL RD","BROWNSVILLE",42210,"EDMONSON COUNTY","KY",37.18995,-86.254726,FALSE,130.62,"Meeting Goal","Not Meeting 2018 Goals",20.37583333,250.00668,5094.094444,3,0,0,TRUE,FALSE,1,"Clean",0,"Fiber",80,1,5,6,6,0,0
2101650,"ELIZABETHTOWN INDEPENDENT","Urban","Medium",7,2406,0.474624442,"219 HELM ST","ELIZABETHTOW",42701,"HARDIN COUNTY","KY",37.693684,-85.861863,FALSE,103.91,"Meeting Goal","Not Meeting 2018 Goals",21.0975,250.00746,5274.532387,5,0,1,TRUE,FALSE,1,"Clean",0,"Fiber",80,1,5,6,7,0,0
2101680,"ELLIOTT COUNTY","Rural","Small",4,1056,0.672624647,"MAIN ST","SANDY HOOK",41171,"ELLIOTT COUNTY","KY",38.085059,-83.129466,FALSE,94.7,"Not Meeting Goal","Not Meeting 2018 Goals",41.73583333,100.0032,4173.716888,0,4,0,FALSE,FALSE,0,"Clean",0,"Fiber",90,1,4,4,4,0,0
2101710,"EMINENCE INDEPENDENT","Rural","Small",3,672,0.53808752,"114 SOUTH PENN AVE","EMINENCE",40019,"HENRY COUNTY","KY",38.369468,-85.178958,FALSE,148.81,"Meeting Goal","Not Meeting 2018 Goals",40.32833333,100.00032,4032.846238,0,0,0,TRUE,FALSE,1,"Clean",0,"Fiber",80,1,2,3,3,0,0
2101740,"ERLANGER-ELSMERE INDEPENDENT","Suburban","Medium",7,2167,0.638575935,"500 GRAVES AVE","ERLANGER",41018,"KENTON COUNTY","KY",39.02013,-84.608791,FALSE,115.37,"Meeting Goal","Not Meeting 2018 Goals",20.74666667,250.00679,5186.807537,4,0,0,TRUE,FALSE,1,"Clean",0,"Fiber",80,1,6,7,7,0,0
2101760,"ESTILL COUNTY","Rural","Small",5,2419,0.695584213,"253 MAIN ST","IRVINE",40336,"ESTILL COUNTY","KY",37.703676,-83.975863,FALSE,103.35,"Meeting Goal","Not Meeting 2018 Goals",21.11666667,250.00365,5279.243743,5,0,0,TRUE,FALSE,1,"Clean",0,"Fiber",80,1,5,5,5,0,0
2101800,"FAIRVIEW INDEPENDENT","Suburban","Small",2,853,0.528216704,"2127 MAIN ST","ASHLAND",41102,"BOYD COUNTY","KY",38.48038,-82.674928,FALSE,117.23,"Meeting Goal","Not Meeting 2018 Goals",40.99166667,99.99719,4099.05148,1,0,0,TRUE,FALSE,1,"Clean",0,"Fiber",90,1,0,0,2,0,0
2101860,"FAYETTE COUNTY","Urban","Mega",74,38345,0.468048227,"701 EAST MAIN ST","LEXINGTON",40502,"FAYETTE COUNTY","KY",38.03634,-84.484951,FALSE,130.4,"Meeting Goal","Not Meeting 2018 Goals",5.596666667,5000.188,27984.38551,57,0,0,TRUE,FALSE,1,"Clean",0,"Fiber",60,0,53,68,74,0,0
2101920,"FLEMING COUNTY","Rural","Medium",6,2292,0.430079156,"211 WEST WATER ST","FLEMINGSBURG",41041,"FLEMING COUNTY","KY",38.424864,-83.736992,FALSE,109.08,"Meeting Goal","Not Meeting 2018 Goals",20.93,250.01136,5232.737765,5,0,0,TRUE,FALSE,1,"Clean",0,"Fiber",80,1,6,6,6,0,0
2101950,"FLOYD COUNTY","Rural","Large",19,6153,0.753382056,"106 NORTH FRONT AVE","PRESTONS",41653,"FLOYD COUNTY","KY",37.667248,-82.775235,FALSE,162.52,"Meeting Goal","Not Meeting 2018 Goals",9.431666667,999.98556,9431.530473,16,0,0,TRUE,FALSE,1,"Clean",0,"Fiber",90,1,15,17,19,0,0
2101980,"FRANKFORT INDEPENDENT","Small Town","Small",3,792,0.547928994,"315 STEELE ST","FRANKFORT",40601,"FRANKLIN COUNTY","KY",38.193062,-84.877837,FALSE,126.26,"Meeting Goal","Not Meeting 2018 Goals",40.76833333,99.99792,4076.748535,3,0,0,TRUE,FALSE,1,"Clean",0,"Fiber",90,1,2,3,3,0,0
2102010,"FRANKLIN COUNTY","Small Town","Medium",14,6099,0.493320611,"916 EAST MAIN ST","FRANKFORT",40601,"FRANKLIN COUNTY","KY",38.205428,-84.838369,FALSE,163.96,"Meeting Goal","Not Meeting 2018 Goals",9.4125,999.99204,9412.425077,0,0,0,TRUE,FALSE,1,"Clean",0,"Fiber",80,1,11,12,14,0,0
2102040,"FORT THOMAS INDEPENDENT","Suburban","Small",5,2829,0.160963687,"28 NORTH FT THOMAS AVE","FT THOMAS",41075,"CAMPBELL COUNTY","KY",39.07959,-84.448131,FALSE,176.74,"Meeting Goal","Not Meeting 2018 Goals",13.72583333,499.99746,6862.881803,5,0,0,TRUE,FALSE,1,"Clean",0,"Fiber",40,0,5,5,5,0,0
2102070,"FULTON INDEPENDENT","Small Town","Tiny",1,362,0.826603325,"313 MAIN ST","FULTON",42041,"FULTON COUNTY","KY",36.503363,-88.875127,FALSE,248.62,"Meeting Goal","Not Meeting 2018 Goals",60.4475,90.00044,5440.301597,1,0,0,TRUE,FALSE,1,"Clean",0,"Fiber",90,1,0,0,1,0,0
2102100,"FULTON COUNTY","Rural","Small",3,523,0.784013605,"2780 MOSCOW AVE","HICKMAN",42050,"FULTON COUNTY","KY",36.565065,-89.15374,FALSE,191.2,"Meeting Goal","Not Meeting 2018 Goals",39.7825,99.9976,3978.154522,0,0,0,TRUE,FALSE,1,"Clean",0,"Fiber",90,1,2,2,3,0,0
