frn_complete,false,plf
1699034073.0010002,0.0356215,0.9643785
1699083578.0010002,0.9873617,0.0126383
1699035806.0010002,0.0339604,0.9660396
1699036251.0010002,0.0265963,0.9734037
1699036251.0020001,0.0265963,0.9734037
1699036443.0010002,0.0360500,0.9639500
1699036458.0020001,0.1254183,0.8745817
1699039250.0010002,0.0360500,0.9639500
1699039279.0010002,0.0376179,0.9623821
1699040283.0010002,0.0355928,0.9644072
1699041252.0010002,0.0400425,0.9599575
1699048197.0010002,0.0641757,0.9358243
1699041950.0010002,0.0225244,0.9774756
1699042281.0010002,0.9992410,0.0007590
1699042327.0010002,0.9991751,0.0008249
1699042343.0010002,0.9991751,0.0008249
1699042380.0010002,0.9991751,0.0008249
1699048085.0020001,0.0353383,0.9646617
1699092160.0010002,0.0343870,0.9656130
1699092160.0020001,0.0345962,0.9654038
1699092160.0029998,0.0345962,0.9654038
1699043880.0010002,0.0339604,0.9660396
1699044169.0010002,0.0273108,0.9726892
1699045321.0010002,0.9912078,0.0087922
1699045368.0010002,0.9912078,0.0087922
1699045435.0010002,0.9904382,0.0095618
1699099138.0010002,0.9911996,0.0088004
1699045540.0010002,0.0323189,0.9676811
1699045559.0010002,0.0355928,0.9644072
1699045756.0010002,0.0356215,0.9643785
1699045765.0010002,0.0265963,0.9734037
1699045878.0010002,0.0341325,0.9658675
1699045998.0010002,0.0352629,0.9647371
1699056886.0010002,0.0233741,0.9766259
1699067389.0010002,0.9992631,0.0007369
1699048779.0010002,0.0329415,0.9670585
1699073574.0010002,0.0344095,0.9655905
1699060135.0010002,0.9679669,0.0320331
1699054492.0010002,0.0268643,0.9731357
1699054423.0010002,0.0235394,0.9764606
1699053134.0010002,0.0343870,0.9656130
1699053404.0010002,0.0339604,0.9660396
1699053511.0010002,0.0235394,0.9764606
1699056163.0010002,0.9992494,0.0007506
1699056174.0010002,0.9992494,0.0007506
1699057536.0010002,0.7854922,0.2145078
1699057916.0010002,0.9992419,0.0007581
1699058840.0010002,0.0343870,0.9656130
1699058897.0010002,0.0279805,0.9720195
1699058887.0010002,0.0359315,0.9640685
1699058887.0020001,0.0442010,0.9557990
1699060735.0010002,0.9713251,0.0286749
1699060735.0020001,0.9919740,0.0080260
1699060735.0029998,0.9920202,0.0079798
1699060735.0039999,0.9920767,0.0079233
1699064454.0010002,0.9992336,0.0007664
1699064482.0010002,0.9992336,0.0007664
1699064503.0010002,0.9991723,0.0008277
1699065118.0010002,0.0684896,0.9315104
1699073994.0010002,0.9989716,0.0010284
1699066836.0010002,0.0385755,0.9614245
1699067356.0010002,0.0225244,0.9774756
1699070517.0010002,0.0339604,0.9660396
1699070358.0010002,0.0226796,0.9773204
1699070428.0010002,0.0345142,0.9654858
1699081867.0010002,0.0376737,0.9623263
1699081880.0010002,0.9989889,0.0010111
1699073672.0010002,0.9991677,0.0008323
1699084043.0010002,0.0344164,0.9655836
1699080382.0010002,0.0339604,0.9660396
1699077768.0010002,0.0339604,0.9660396
1699077904.0010002,0.0353739,0.9646261
1699077904.0020001,0.0301983,0.9698017
1699082582.0010002,0.9907959,0.0092041
1699082758.0010002,0.0355928,0.9644072
1699083133.0010002,0.0405059,0.9594941
1699103838.0010002,0.0344095,0.9655905
1699081333.0010002,0.0220432,0.9779568
1699099541.0010002,0.9992388,0.0007612
1699085385.0010002,0.0225244,0.9774756
1699085653.0029998,0.9927848,0.0072152
1699085700.0010002,0.0235394,0.9764606
1699086138.0010002,0.9864834,0.0135166
1699086334.0010002,0.9992447,0.0007553
1699088727.0010002,0.0339604,0.9660396
1699087849.0010002,0.9991627,0.0008373
1699087883.0010002,0.9992410,0.0007590
1699087925.0010002,0.9992410,0.0007590
1699094490.0010002,0.9652806,0.0347194
1699088578.0010002,0.0359315,0.9640685
1699089151.0010002,0.0339604,0.9660396
1699089046.0010002,0.9810617,0.0189383
1699089337.0010002,0.0251340,0.9748660
1699090546.0010002,0.0344095,0.9655905
1699106887.0020001,0.0344095,0.9655905
1699110518.0010002,0.0344822,0.9655178
1699110529.0010002,0.0272881,0.9727119
1699091969.0020001,0.0263145,0.9736855
1699092316.0010002,0.0272881,0.9727119
1699092644.0010002,0.9992410,0.0007590
1699096583.0010002,0.0226796,0.9773204
1699096601.0010002,0.0441609,0.9558391
1699096964.0010002,0.0344095,0.9655905
1699096994.0010002,0.0272860,0.9727140
1699094807.0010002,0.0448460,0.9551540
1699095467.0010002,0.0345142,0.9654858
1699095614.0010002,0.0345142,0.9654858
1699095702.0010002,0.0339604,0.9660396
1699097605.0010002,0.0212123,0.9787877
1699097705.0010002,0.0339604,0.9660396
1699097816.0010002,0.0343870,0.9656130
1699098045.0010002,0.0339604,0.9660396
1699098089.0010002,0.0705622,0.9294378
1699098287.0010002,0.9992410,0.0007590
1699098307.0010002,0.9992410,0.0007590
1699098370.0010002,0.9992410,0.0007590
1699098424.0010002,0.0259238,0.9740762
1699098437.0010002,0.9196403,0.0803597
1699098620.0010002,0.0269201,0.9730799
1699098623.0010002,0.9027057,0.0972943
1699099684.0010002,0.0345142,0.9654858
1699101437.0010002,0.7564057,0.2435943
1699102284.0010002,0.0270671,0.9729329
1699102284.0020001,0.8870489,0.1129511
1699102284.0029998,0.8213894,0.1786106
1699102284.0039999,0.9833118,0.0166882
1699102658.0010002,0.9992077,0.0007923
1699110578.0010002,0.0946068,0.9053932
1699111176.0010002,0.0345066,0.9654934
1699111266.0010002,0.9991627,0.0008373
1699112652.0039999,0.9929066,0.0070934
1699111684.0010002,0.0116752,0.9883248
1699112652.0029998,0.7976413,0.2023587
1699112953.0010002,0.0344822,0.9655178
1699000399.0010002,0.0350566,0.9649434
1699000399.0020001,0.0262898,0.9737102
1699000399.0029998,0.0262898,0.9737102
1699000399.0039999,0.0262898,0.9737102
1699000593.0010002,0.0355928,0.9644072
1699000140.0010002,0.0640319,0.9359681
1699001307.0010002,0.0360500,0.9639500
1699000275.0010002,0.0380747,0.9619253
1699078053.0010002,0.9989889,0.0010111
1699078060.0010002,0.0432800,0.9567200
1699000607.0010002,0.0352629,0.9647371
1699009095.0010002,0.6489749,0.3510251
1699009145.0010002,0.6735057,0.3264943
1699001703.0010002,0.0265230,0.9734770
1699001703.0020001,0.0265230,0.9734770
1699001703.0029998,0.0265230,0.9734770
1699003090.0010002,0.0355928,0.9644072
1699003097.0010002,0.9854140,0.0145860
1699003097.0020001,0.9864710,0.0135290
1699003097.0060000,0.0212123,0.9787877
1699013687.0010002,0.0270840,0.9729160
1699003097.0039999,0.9756088,0.0243912
1699003097.0050001,0.9725331,0.0274669
1699004140.0010002,0.0355928,0.9644072
1699003980.0010002,0.0353356,0.9646644
1699003990.0010002,0.0355928,0.9644072
1699006839.0010002,0.9992410,0.0007590
1699006847.0010002,0.9989425,0.0010575
1699006201.0010002,0.9889111,0.0110889
1699006202.0010002,0.9882302,0.0117698
1699007147.0010002,0.9923197,0.0076803
1699029579.0010002,0.0344095,0.9655905
1699007976.0010002,0.0353383,0.9646617
1699008084.0010002,0.9989889,0.0010111
1699008085.0010002,0.0360500,0.9639500
1699008132.0010002,0.0360500,0.9639500
1699008181.0010002,0.0352629,0.9647371
1699008236.0010002,0.0360500,0.9639500
1699008482.0010002,0.0352629,0.9647371
1699008565.0010002,0.0352629,0.9647371
1699100383.0010002,0.9989889,0.0010111
1699092982.0010002,0.9989889,0.0010111
1699009072.0010002,0.6044387,0.3955613
1699009457.0010002,0.0366307,0.9633693
1699009536.0010002,0.0360500,0.9639500
1699009593.0010002,0.0352629,0.9647371
1699009809.0010002,0.8150590,0.1849410
1699009810.0010002,0.9409249,0.0590751
1699011437.0010002,0.9929427,0.0070573
1699011599.0010002,0.0382755,0.9617245
1699011942.0010002,0.0362874,0.9637126
1699011952.0010002,0.0262898,0.9737102
1699081444.0010002,0.0339604,0.9660396
1699081447.0010002,0.0336446,0.9663554
1699011996.0010002,0.0263145,0.9736855
1699012824.0010002,0.9981334,0.0018666
1699108561.0010002,0.7715231,0.2284769
1699012941.0010002,0.0350440,0.9649560
1699038831.0010002,0.9971248,0.0028752
1699013507.0010002,0.0358310,0.9641690
1699013966.0010002,0.0366307,0.9633693
1699014897.0010002,0.0276261,0.9723739
1699014897.0020001,0.0276261,0.9723739
1699014897.0029998,0.0276261,0.9723739
1699015004.0010002,0.0339604,0.9660396
1699016805.0010002,0.0393411,0.9606589
1699016856.0010002,0.0345142,0.9654858
1699016863.0010002,0.0214941,0.9785059
1699016863.0020001,0.0214941,0.9785059
1699017038.0010002,0.0668980,0.9331020
1699017105.0010002,0.0337272,0.9662728
1699017109.0010002,0.0233634,0.9766366
1699046731.0010002,0.9860545,0.0139455
1699017188.0010002,0.0336446,0.9663554
1699017192.0020001,0.0212123,0.9787877
1699017192.0029998,0.0212123,0.9787877
1699036614.0010002,0.9898357,0.0101643
1699036619.0010002,0.9631144,0.0368856
1699017734.0010002,0.0345142,0.9654858
1699017754.0010002,0.0220432,0.9779568
1699017754.0020001,0.0220432,0.9779568
1699017757.0010002,0.0345142,0.9654858
1699077265.0010002,0.0438125,0.9561875
1699018395.0010002,0.0239000,0.9761000
1699073816.0010002,0.0339604,0.9660396
1699076035.0010002,0.0343870,0.9656130
1699076046.0010002,0.0239000,0.9761000
1699018498.0010002,0.0416973,0.9583027
1699061333.0010002,0.0468866,0.9531134
1699032179.0010002,0.9642032,0.0357968
1699018737.0010002,0.9911420,0.0088580
1699018745.0010002,0.9903589,0.0096411
1699018640.0010002,0.0212123,0.9787877
1699018640.0020001,0.0214214,0.9785786
1699018640.0029998,0.0212123,0.9787877
1699063010.0010002,0.0212123,0.9787877
1699063010.0029998,0.0212123,0.9787877
1699063052.0010002,0.0343870,0.9656130
1699031902.0010002,0.0344095,0.9655905
1699049502.0010002,0.0251899,0.9748101
1699059009.0020001,0.0218100,0.9781900
1699032259.0010002,0.9907325,0.0092675
1699019214.0010002,0.0343870,0.9656130
1699023883.0010002,0.0339604,0.9660396
1699023894.0010002,0.0218100,0.9781900
1699023894.0020001,0.0218100,0.9781900
1699023894.0029998,0.0218100,0.9781900
1699023894.0039999,0.0218100,0.9781900
1699019250.0010002,0.0336446,0.9663554
1699019251.0020001,0.0212123,0.9787877
1699019251.0029998,0.0212123,0.9787877
1699019251.0039999,0.0212123,0.9787877
1699019251.0050001,0.0212123,0.9787877
1699019841.0010002,0.0339604,0.9660396
1699049776.0010002,0.0212123,0.9787877
1699049776.0020001,0.0212123,0.9787877
1699049776.0029998,0.0212123,0.9787877
1699049776.0050001,0.0212123,0.9787877
1699049797.0010002,0.0336446,0.9663554
1699070865.0010002,0.0270430,0.9729570
1699053538.0010002,0.0339604,0.9660396
1699021015.0010002,0.0346550,0.9653450
1699021023.0010002,0.0212123,0.9787877
1699021023.0029998,0.0212123,0.9787877
1699021185.0010002,0.9894340,0.0105660
1699021180.0010002,0.9574130,0.0425870
1699021190.0010002,0.0343870,0.9656130
1699063177.0010002,0.0212123,0.9787877
1699063177.0020001,0.0212123,0.9787877
1699063177.0029998,0.0212123,0.9787877
1699063177.0039999,0.0212123,0.9787877
1699107154.0010002,0.0350111,0.9649889
1699021523.0010002,0.0359315,0.9640685
1699041883.0010002,0.0220432,0.9779568
1699041883.0020001,0.0220432,0.9779568
1699021578.0020001,0.0225244,0.9774756
1699021580.0010002,0.0351616,0.9648384
1699058208.0010002,0.0339604,0.9660396
1699058208.0029998,0.0226796,0.9773204
1699021605.0010002,0.0337272,0.9662728
1699021606.0010002,0.0213674,0.9786326
1699021606.0029998,0.0213674,0.9786326
1699021619.0020001,0.0336446,0.9663554
1699021769.0010002,0.9915526,0.0084474
1699021853.0010002,0.0341325,0.9658675
1699042468.0010002,0.0212123,0.9787877
1699042468.0029998,0.0212123,0.9787877
1699042529.0010002,0.0341325,0.9658675
1699021930.0010002,0.0339604,0.9660396
1699033662.0010002,0.0212123,0.9787877
1699033662.0020001,0.0214214,0.9785786
1699033662.0029998,0.0212123,0.9787877
1699021966.0010002,0.0345142,0.9654858
1699067621.0010002,0.0343870,0.9656130
1699069191.0010002,0.0218100,0.9781900
1699069191.0020001,0.0218100,0.9781900
1699022045.0020001,0.0212123,0.9787877
1699022113.0010002,0.0339604,0.9660396
1699022310.0010002,0.0341325,0.9658675
1699022351.0010002,0.0212123,0.9787877
1699022351.0020001,0.0212123,0.9787877
1699076186.0010002,0.0212123,0.9787877
1699076186.0020001,0.0212123,0.9787877
1699076186.0029998,0.0285154,0.9714846
1699022911.0010002,0.0339604,0.9660396
1699022912.0010002,0.0212123,0.9787877
1699022912.0029998,0.0212123,0.9787877
1699023354.0010002,0.0212123,0.9787877
1699023354.0020001,0.0212123,0.9787877
1699023378.0010002,0.0343870,0.9656130
1699023592.0010002,0.0339604,0.9660396
1699059192.0010002,0.0218100,0.9781900
1699044744.0010002,0.0222977,0.9777023
1699044744.0020001,0.0225068,0.9774932
1699044744.0029998,0.0222977,0.9777023
1699044745.0010002,0.0220432,0.9779568
1699044745.0020001,0.0220432,0.9779568
1699044746.0010002,0.0341571,0.9658429
1699047733.0010002,0.0341325,0.9658675
1699024168.0010002,0.0339604,0.9660396
1699024184.0010002,0.1928486,0.8071514
1699024184.0020001,0.0225244,0.9774756
1699045946.0010002,0.0350815,0.9649185
1699048922.0010002,0.0212123,0.9787877
1699048922.0029998,0.0214214,0.9785786
1699048922.0050001,0.0212123,0.9787877
1699074719.0010002,0.0212123,0.9787877
1699074719.0020001,0.0212123,0.9787877
1699074719.0029998,0.0212123,0.9787877
1699074719.0039999,0.0212123,0.9787877
1699074719.0050001,0.0212123,0.9787877
1699074727.0010002,0.0336446,0.9663554
1699074729.0010002,0.0232190,0.9767810
1699024619.0010002,0.0337272,0.9662728
1699061158.0010002,0.0333700,0.9666300
1699067526.0010002,0.0339604,0.9660396
1699024788.0010002,0.0341571,0.9658429
1699046650.0010002,0.0213674,0.9786326
1699046652.0010002,0.0339604,0.9660396
1699025080.0010002,0.0219651,0.9780349
1699035297.0010002,0.9506301,0.0493699
1699025100.0010002,0.9989669,0.0010331
1699025312.0010002,0.0339604,0.9660396
1699049839.0010002,0.0213674,0.9786326
1699049842.0010002,0.0336446,0.9663554
1699049844.0010002,0.0221983,0.9778017
1699026029.0010002,0.0343870,0.9656130
1699025721.0010002,0.9480389,0.0519611
1699061391.0010002,0.0343870,0.9656130
1699113045.0010002,0.0445363,0.9554637
1699026325.0010002,0.0343870,0.9656130
1699032915.0010002,0.0220432,0.9779568
1699032915.0020001,0.0220432,0.9779568
1699032915.0029998,0.0220432,0.9779568
1699032915.0039999,0.0220432,0.9779568
1699026406.0010002,0.2018493,0.7981507
1699026412.0010002,0.1973063,0.8026937
1699026466.0010002,0.0339604,0.9660396
1699052362.0010002,0.0224791,0.9775209
1699052362.0029998,0.0222700,0.9777300
1699052362.0039999,0.0222700,0.9777300
1699038903.0010002,0.0343870,0.9656130
1699026584.0010002,0.0343870,0.9656130
1699026835.0010002,0.9964412,0.0035588
1699026867.0010002,0.0225244,0.9774756
1699104583.0010002,0.0336224,0.9663776
1699026917.0010002,0.0343870,0.9656130
1699026922.0010002,0.0212123,0.9787877
1699026922.0020001,0.0212123,0.9787877
1699026922.0039999,0.0214214,0.9785786
1699026922.0029998,0.2130641,0.7869359
1699046851.0010002,0.0339604,0.9660396
1699052307.0010002,0.0346354,0.9653646
1699026954.0010002,0.0235394,0.9764606
1699026956.0010002,0.0225244,0.9774756
1699026961.0010002,0.0287488,0.9712512
1699026963.0010002,0.0339604,0.9660396
1699027136.0010002,0.0220432,0.9779568
1699027176.0010002,0.0339604,0.9660396
