verified_category,predicted_category,raw_category,test_data.frn_complete,guessed_correctly,clean_the_line_item
Fiber,Copper,Other / Uncategorized,2827062-5,FALSE,FALSE
Fiber,Fiber,Other / Uncategorized,2827108-1,TRUE,TRUE
Fiber,Fiber,Fiber,2827636-1,TRUE,FALSE
Fiber,Fiber,Other / Uncategorized,2828407-1,TRUE,TRUE
Fiber,Fiber,Fiber,2828808-11,TRUE,FALSE
Fiber,Fiber,Fiber,2828808-12,TRUE,FALSE
Fiber,Fiber,Fiber,2828808-18,TRUE,FALSE
Fiber,Fiber,Other / Uncategorized,2828808-7,TRUE,TRUE
Fixed Wireless,Fixed Wireless,Other / Uncategorized,2829204-1,TRUE,TRUE
Fiber,Fiber,Other / Uncategorized,2829639-1,TRUE,TRUE
Fiber,Fiber,Other / Uncategorized,2829639-2,TRUE,TRUE
Fiber,Fiber,Fiber,2829724-2,TRUE,FALSE
Fixed Wireless,Fixed Wireless,Other / Uncategorized,2830442-1,TRUE,TRUE
Fiber,Fiber,Fiber,2830628-1,TRUE,FALSE
Fiber,Fiber,Other / Uncategorized,2831327-1,TRUE,TRUE
Fiber,Fiber,Other / Uncategorized,2831327-1,TRUE,TRUE
Fiber,Fiber,Fiber,2831446-1,TRUE,FALSE
Fiber,Fiber,Other / Uncategorized,2831665-1,TRUE,TRUE
Fiber,Fiber,Fiber,2832128-1,TRUE,FALSE
Fiber,Fiber,Fiber,2832375-1,TRUE,FALSE
Cable / DSL,Fiber,Other / Uncategorized,2833191-1,FALSE,FALSE
Cable / DSL,Cable / DSL,Other / Uncategorized,2833205-1,TRUE,TRUE
Copper,Copper,Other / Uncategorized,2833556-1,TRUE,TRUE
Fixed Wireless,Fixed Wireless,Fiber,2833557-1,TRUE,TRUE
Copper,Cable / DSL,Other / Uncategorized,2833780-1,FALSE,FALSE
Fiber,Fiber,Fiber,2833963-1,TRUE,FALSE
Other / Uncategorized,Other / Uncategorized,Other / Uncategorized,2834352-1,TRUE,FALSE
Fiber,Fiber,Fiber,2835321-1,TRUE,FALSE
Other / Uncategorized,Other / Uncategorized,Other / Uncategorized,2836140-1,TRUE,FALSE
Fiber,Fiber,Other / Uncategorized,2837013-1,TRUE,TRUE
Fiber,Fiber,Fiber,2837378-1,TRUE,FALSE
Fiber,Fiber,Fiber,2837390-2,TRUE,FALSE
Fiber,Fiber,Fiber,2837406-1,TRUE,FALSE
Fiber,Fiber,Fiber,2837437-2,TRUE,FALSE
Fiber,Fiber,Fiber,2840329-1,TRUE,FALSE
Fiber,Fiber,Fiber,2840516-2,TRUE,FALSE
Fiber,Fiber,Fiber,2840583-6,TRUE,FALSE
Fiber,Other / Uncategorized,Fiber,2841734-1,FALSE,FALSE
Fiber,Fiber,Fiber,2841863-1,TRUE,FALSE
Fiber,Fiber,Fiber,2842070-1,TRUE,FALSE
Other / Uncategorized,Fiber,Fiber,2843583-1,FALSE,FALSE
Other / Uncategorized,Other / Uncategorized,Other / Uncategorized,2848013-1,TRUE,FALSE
Fiber,Fiber,Fiber,2848182-1,TRUE,FALSE
Other / Uncategorized,Other / Uncategorized,Other / Uncategorized,2848485-1,TRUE,FALSE
Fiber,Fiber,Other / Uncategorized,2848572-1,TRUE,TRUE
Fiber,Fiber,Fiber,2848613-1,TRUE,FALSE
Other / Uncategorized,Other / Uncategorized,Other / Uncategorized,2848967-1,TRUE,FALSE
Other / Uncategorized,Fiber,Fiber,2849082-1,FALSE,FALSE
Fiber,Fiber,Fiber,2850102-1,TRUE,FALSE
Fiber,Fiber,Other / Uncategorized,2850432-1,TRUE,TRUE
Fiber,Fiber,Fiber,2850605-1,TRUE,FALSE
Fiber,Fiber,Fiber,2851420-1,TRUE,FALSE
Other / Uncategorized,Other / Uncategorized,Fiber,2851682-1,TRUE,TRUE
Fiber,Fiber,Fiber,2851962-1,TRUE,FALSE
Fixed Wireless,Fixed Wireless,Other / Uncategorized,2852165-1,TRUE,TRUE
Other / Uncategorized,Other / Uncategorized,Other / Uncategorized,2852957-1,TRUE,FALSE
Fiber,Fiber,Other / Uncategorized,2853059-1,TRUE,TRUE
Fiber,Fiber,Fiber,2853120-1,TRUE,FALSE
Fiber,Fiber,Fiber,2854001-1,TRUE,FALSE
Fiber,Fiber,Fiber,2854286-1,TRUE,FALSE
Fiber,Fiber,Fiber,2854332-1,TRUE,FALSE
Other / Uncategorized,Other / Uncategorized,Fiber,2854586-1,TRUE,TRUE
Cable / DSL,Fiber,Cable / DSL,2854640-1,FALSE,FALSE
Other / Uncategorized,Other / Uncategorized,Other / Uncategorized,2854831-1,TRUE,FALSE
Other / Uncategorized,Fiber,Other / Uncategorized,2855269-1,FALSE,FALSE
Other / Uncategorized,Other / Uncategorized,Other / Uncategorized,2855281-1,TRUE,FALSE
Copper,Copper,Copper,2856612-1,TRUE,FALSE
Fiber,Fiber,Fiber,2856738-2,TRUE,FALSE
Fiber,Fiber,Fiber,2856804-2,TRUE,FALSE
Fiber,Fiber,Fiber,2857289-2,TRUE,FALSE
Fiber,Fiber,Fiber,2857467-1,TRUE,FALSE
Fiber,Fiber,Fiber,2857467-1,TRUE,FALSE
Fiber,Fiber,Fiber,2857474-1,TRUE,FALSE
Fiber,Fiber,Fiber,2857503-1,TRUE,FALSE
Fiber,Fiber,Fiber,2857531-1,TRUE,FALSE
Other / Uncategorized,Fiber,Fiber,2857865-1,FALSE,FALSE
Fiber,Fiber,Fiber,2857871-1,TRUE,FALSE
Fiber,Fiber,Other / Uncategorized,2858747-1,TRUE,TRUE
Other / Uncategorized,Other / Uncategorized,Fiber,2860917-1,TRUE,TRUE
Fiber,Fiber,Fiber,2861051-1,TRUE,FALSE
Other / Uncategorized,Other / Uncategorized,Other / Uncategorized,2861592-1,TRUE,FALSE
Other / Uncategorized,Other / Uncategorized,Other / Uncategorized,2862035-1,TRUE,FALSE
Fiber,Fiber,Fiber,2862062-1,TRUE,FALSE
Fiber,Fiber,Fiber,2862066-1,TRUE,FALSE
Fiber,Fiber,Fiber,2863997-1,TRUE,FALSE
Other / Uncategorized,Other / Uncategorized,Other / Uncategorized,2864125-1,TRUE,FALSE
Fiber,Fiber,Fiber,2864190-2,TRUE,FALSE
Fiber,Fiber,Fiber,2864842-3,TRUE,FALSE
Fiber,Fiber,Fiber,2865491-1,TRUE,FALSE
Fiber,Fiber,Fiber,2865491-2,TRUE,FALSE
Other / Uncategorized,Other / Uncategorized,Other / Uncategorized,2865819-1,TRUE,FALSE
Other / Uncategorized,Other / Uncategorized,Other / Uncategorized,2865917-1,TRUE,FALSE
Fiber,Fiber,Fiber,2866304-2,TRUE,FALSE
Fiber,Cable / DSL,Fiber,2866304-6,FALSE,FALSE
Other / Uncategorized,Other / Uncategorized,Fiber,2866510-1,TRUE,TRUE
Fiber,Fiber,Other / Uncategorized,2867757-1,TRUE,TRUE
Fiber,Fiber,Fiber,2868015-4,TRUE,FALSE
Fiber,Fiber,Other / Uncategorized,2868507-1,TRUE,TRUE
Other / Uncategorized,Fiber,Other / Uncategorized,2868885-1,FALSE,FALSE
Fiber,Fiber,Fiber,2870664-2,TRUE,FALSE
Fiber,Fiber,Other / Uncategorized,2870664-4,TRUE,TRUE
Fiber,Fiber,Fiber,2872918-1,TRUE,FALSE
