verified_category,predicted_category,raw_category,test_data.frn_complete,guessed_correctly,clean_the_line_item
Fiber,Fiber,Fiber,2738759-1,TRUE,FALSE
Fiber,Fiber,Fiber,2738888-1,TRUE,FALSE
Fiber,Fiber,Fiber,2739050-1,TRUE,FALSE
Fiber,Fiber,Fiber,2739108-1,TRUE,FALSE
Fiber,Fiber,Fiber,2739549-1,TRUE,FALSE
Other / Uncategorized,Other / Uncategorized,Other / Uncategorized,2739672-1,TRUE,FALSE
Other / Uncategorized,Other / Uncategorized,Other / Uncategorized,2739701-1,TRUE,FALSE
Fiber,Fiber,Fiber,2739755-1,TRUE,FALSE
Other / Uncategorized,Fiber,Fiber,2740020-1,FALSE,FALSE
Fixed Wireless,Fixed Wireless,Other / Uncategorized,2740044-5,TRUE,TRUE
Fiber,Fiber,Fiber,2740065-2,TRUE,FALSE
Fiber,Fiber,Fiber,2740098-1,TRUE,FALSE
Fiber,Fiber,Fiber,2740166-1,TRUE,FALSE
Fiber,Fiber,Fiber,2740601-1,TRUE,FALSE
Fixed Wireless,Cable / DSL,Other / Uncategorized,2740732-1,FALSE,FALSE
Fiber,Fiber,Fiber,2740866-1,TRUE,FALSE
Fiber,Fiber,Fiber,2740968-1,TRUE,FALSE
Copper,Fixed Wireless,Copper,2741178-1,FALSE,FALSE
Fiber,Fiber,Fiber,2741514-1,TRUE,FALSE
Fiber,Fiber,Fiber,2741692-1,TRUE,FALSE
Fiber,Fiber,Cable / DSL,2741707-1,TRUE,TRUE
Fiber,Fiber,Fiber,2741777-1,TRUE,FALSE
Fiber,Fiber,Fiber,2741780-1,TRUE,FALSE
Fiber,Fiber,Fiber,2741780-3,TRUE,FALSE
Fiber,Fiber,Fiber,2741969-1,TRUE,FALSE
Other / Uncategorized,Other / Uncategorized,Copper,2742351-1,TRUE,TRUE
Fiber,Fiber,Other / Uncategorized,2742391-1,TRUE,TRUE
Fiber,Fiber,Fiber,2742476-1,TRUE,FALSE
Fiber,Fiber,Other / Uncategorized,2742842-1,TRUE,TRUE
Fiber,Fiber,Fiber,2742848-1,TRUE,FALSE
Fiber,Fiber,Fiber,2742848-2,TRUE,FALSE
Fiber,Fiber,Other / Uncategorized,2742859-1,TRUE,TRUE
Other / Uncategorized,Other / Uncategorized,Other / Uncategorized,2744084-1,TRUE,FALSE
Fiber,Fiber,Fiber,2744223-1,TRUE,FALSE
Fiber,Fiber,Fiber,2744328-2,TRUE,FALSE
Fiber,Fiber,Other / Uncategorized,2745041-1,TRUE,TRUE
Cable / DSL,Cable / DSL,Cable / DSL,2745055-1,TRUE,FALSE
Fiber,Fiber,Fiber,2745531-1,TRUE,FALSE
Fiber,Fiber,Other / Uncategorized,2745533-1,TRUE,TRUE
Fiber,Fiber,Other / Uncategorized,2745849-1,TRUE,TRUE
Fiber,Fiber,Fiber,2746315-1,TRUE,FALSE
Fiber,Fiber,Fiber,2746431-1,TRUE,FALSE
Fiber,Fiber,Fiber,2746492-1,TRUE,FALSE
Fiber,Fiber,Fiber,2746737-1,TRUE,FALSE
Fiber,Fiber,Fiber,2746777-1,TRUE,FALSE
Other / Uncategorized,Other / Uncategorized,Other / Uncategorized,2746863-1,TRUE,FALSE
Fiber,Fiber,Other / Uncategorized,2746891-1,TRUE,TRUE
Fiber,Fiber,Fiber,2747039-1,TRUE,FALSE
Other / Uncategorized,Other / Uncategorized,Other / Uncategorized,2747356-1,TRUE,FALSE
Fiber,Fiber,Fiber,2747388-2,TRUE,FALSE
Fiber,Fiber,Other / Uncategorized,2747576-2,TRUE,TRUE
Fiber,Fiber,Fiber,2747953-1,TRUE,FALSE
Other / Uncategorized,Other / Uncategorized,Other / Uncategorized,2748740-1,TRUE,FALSE
Fiber,Fiber,Fiber,2749141-1,TRUE,FALSE
Fiber,Fiber,Other / Uncategorized,2749507-1,TRUE,TRUE
Fiber,Fiber,Fiber,2749626-1,TRUE,FALSE
Fiber,Fiber,Fiber,2749666-4,TRUE,FALSE
Fiber,Fiber,Other / Uncategorized,2749734-1,TRUE,TRUE
Other / Uncategorized,Other / Uncategorized,Other / Uncategorized,2749897-1,TRUE,FALSE
Fiber,Fiber,Fiber,2750250-1,TRUE,FALSE
Cable / DSL,Fiber,Fiber,2750295-1,FALSE,FALSE
Fiber,Fiber,Fiber,2750555-1,TRUE,FALSE
Fiber,Fiber,Fiber,2750578-1,TRUE,FALSE
Fiber,Fiber,Fiber,2750688-1,TRUE,FALSE
Fiber,Fiber,Fiber,2750725-1,TRUE,FALSE
Cable / DSL,Cable / DSL,Other / Uncategorized,2751273-1,TRUE,TRUE
Fiber,Fiber,Other / Uncategorized,2751685-1,TRUE,TRUE
Fiber,Fiber,Fiber,2751741-1,TRUE,FALSE
Fiber,Fiber,Other / Uncategorized,2751777-1,TRUE,TRUE
Fiber,Fiber,Other / Uncategorized,2752424-1,TRUE,TRUE
Fiber,Fiber,Fiber,2753146-1,TRUE,FALSE
