"postal_cd","locale","n_locale","n","percent"
"VT","Rural",33,58,56.8965517241379
"VT Clean","Urban",1,32,3.125
"VT Clean","Suburban",2,32,6.25
"VT Clean","Small Town",13,32,40.625
"VT Clean","Rural",16,32,50
"WA","Urban",26,295,8.8135593220339
"WA","Suburban",54,295,18.3050847457627
"WA","Small Town",59,295,20
"WA","Rural",156,295,52.8813559322034
"WA Clean","Urban",16,238,6.72268907563025
"WA Clean","Suburban",41,238,17.2268907563025
"WA Clean","Small Town",44,238,18.4873949579832
"WA Clean","Rural",137,238,57.563025210084
"WI","Urban",17,423,4.01891252955083
"WI","Suburban",78,423,18.4397163120567
"WI","Small Town",95,423,22.4586288416076
"WI","Rural",233,423,55.0827423167849
"WI Clean","Urban",5,205,2.4390243902439
"WI Clean","Suburban",39,205,19.0243902439024
"WI Clean","Small Town",46,205,22.4390243902439
"WI Clean","Rural",115,205,56.0975609756098
"WV","Urban",4,55,7.27272727272727
"WV","Suburban",7,55,12.7272727272727
"WV","Small Town",14,55,25.4545454545455
"WV","Rural",30,55,54.5454545454545
"WV Clean","Urban",2,37,5.40540540540541
"WV Clean","Suburban",5,37,13.5135135135135
"WV Clean","Small Town",12,37,32.4324324324324
"WV Clean","Rural",18,37,48.6486486486486
"WY","Urban",2,48,4.16666666666667
"WY","Small Town",18,48,37.5
"WY","Rural",28,48,58.3333333333333
"WY Clean","Urban",2,24,8.33333333333333
"WY Clean","Small Town",8,24,33.3333333333333
"WY Clean","Rural",14,24,58.3333333333333
