line_item_id,applicant_id,applicant_type,applicant_ben,applicant_name,applicant_postal_cd,application_number,frn,frn_line_item_no,purpose,wan,bandwidth_in_mbps,connect_type,connect_category,num_lines,one_time_eligible_cost,rec_elig_cost,total_cost,service_provider_name,exclude,contacted,internet_conditions_met,isp_conditions_met,upstream_conditions_met,wan_conditions_met,contract_end_date
812728,952159,District,145071,BEND/LA PINE SCHOOL DISTRICT 1,OR,1048238,2862068,1,Internet,N,600,Ethernet,Fiber,1,0,3900,46800,"BendTel, Inc",TRUE,n/a,TRUE,FALSE,FALSE,FALSE,6/30/2016 0:00
812729,952159,District,145071,BEND/LA PINE SCHOOL DISTRICT 1,OR,1048239,2862070,1,Transport,N,1000,Dark Fiber Service,Fiber,25,0,27375,328500,"Fatbeam, LLC",TRUE,n/a,FALSE,FALSE,FALSE,TRUE,6/30/2025 0:00
813086,952276,District,144884,NESTUCCA VALLEY SCH DIST 101,OR,1049975,2867275,1,Transport,Y,100,Ethernet,Fiber,1,0,250,3000,"CoastCom, Inc",TRUE,n/a,FALSE,FALSE,FALSE,TRUE,6/30/2016 0:00
813088,952276,District,144884,NESTUCCA VALLEY SCH DIST 101,OR,1049975,2867277,1,Transport,Y,40,Ethernet,Other / Uncategorized,1,250,1200,14650,"CoastCom, Inc",TRUE,n/a,FALSE,FALSE,FALSE,TRUE,6/30/2018 0:00
813100,952288,District,144847,OREGON CITY SCHOOL DISTRICT 62,OR,1050504,2868872,1,Internet,N,1000,Lit Fiber Service,Fiber,1,0,1063.92,12767.04,Beaver Creek Cooperative Telephone Company,TRUE,n/a,TRUE,FALSE,FALSE,FALSE,6/30/2016 0:00
813102,952288,District,144847,OREGON CITY SCHOOL DISTRICT 62,OR,1050504,2868875,1,Transport,Y,1000,Ethernet,Fiber,1,0,1751.98,21023.76,Comcast Business Communications,TRUE,n/a,FALSE,FALSE,FALSE,TRUE,6/30/2016 0:00
813125,1031318,Consortium,144887,NW REG ESD-WASHINGTON SERV CTR,OR,1050746,2869938,1,Internet,N,,Lit Fiber Service,Fiber,1,0,6500,78000,"Cogent Communications, Inc.",TRUE,n/a,TRUE,FALSE,FALSE,FALSE,6/30/2016 0:00
813157,952253,District,144840,LAKE OSWEGO SCHOOL DIST 7 J,OR,1051010,2870968,1,Transport and Internet,Y,1000,Lit Fiber Service,Fiber,10,0,9672,116064,Comcast Business Communications,TRUE,n/a,FALSE,FALSE,FALSE,TRUE,6/29/2016 0:00
814299,953605,District,125158,ALLEGHENY VALLEY SCHOOL DIST,PA,999374,2726539,1,Transport and Internet,N,1000,Lit Fiber Service,Fiber,1,0,787.5,9450,"Sunesys, LLC",TRUE,n/a,TRUE,FALSE,FALSE,FALSE,6/30/2016 0:00
814301,953605,District,125158,ALLEGHENY VALLEY SCHOOL DIST,PA,999374,2745889,1,Transport and Internet,N,50,Lit Fiber Service,Fiber,1,0,800,9600,"Salsgiver, Inc",TRUE,n/a,TRUE,FALSE,FALSE,FALSE,6/30/2016 0:00
