line_item_id,applicant_id,applicant_type,applicant_ben,applicant_name,applicant_postal_cd,application_number,frn,frn_line_item_no,purpose,wan,bandwidth_in_mbps,connect_type,connect_category,num_lines,one_time_eligible_cost,rec_elig_cost,total_cost,service_provider_name,exclude,contacted,internet_conditions_met,isp_conditions_met,upstream_conditions_met,wan_conditions_met,contract_end_date
190859,882805,District,143714,BARSTOW UNIFIED SCHOOL DIST,CA,997046,2800246,1,Transport,Y,1000,Lit Fiber Service,Fiber,11,0,28062.08,336744.96,Verizon California Inc.,FALSE,TRUE,FALSE,FALSE,FALSE,TRUE,6/30/2018 0:00
191074,883229,District,143850,DUCOR UNION ELEM SCHOOL DIST,CA,1030433,2800923,1,Transport,N,100,Lit Fiber Service,Fiber,1,0,2183,26196,"CVIN, LLC",FALSE,TRUE,FALSE,FALSE,TRUE,FALSE,6/30/2019 0:00
191093,883585,District,143864,LAKESIDE UNION ELEM SCH DIST,CA,1030646,2801706,1,Internet,N,200,"E.g., Microwave Service",Fixed Wireless,1,0,2083.33,24999.96,Kings County Office of Education,FALSE,TRUE,TRUE,FALSE,FALSE,FALSE,6/30/2018 0:00
191315,884236,District,122616,GREENWICH PUBLIC SCHOOLS,CT,1030499,2801104,1,Transport,Y,500,Dark Fiber Service,Fiber,16,0,13000,156000,"Fiber Technologies Networks, L.L.C.",FALSE,TRUE,FALSE,FALSE,FALSE,TRUE,6/30/2023 0:00
191563,888988,District,127858,SCHOOL DIST OF DESOTO COUNTY,FL,1005740,2784189,1,Transport,Y,1.54,DS-1 (T-1),Copper,1,0,318,3816,"CenturyLink-Embarq Florida, Inc. (FKA Embarq)",FALSE,TRUE,FALSE,FALSE,FALSE,TRUE,6/30/2016 0:00
192374,903499,District,137733,FRONTENAC-CRAWFORD DIST 249,KS,1010585,2743320,1,Internet,N,100,Standalone Internet Access,Other / Uncategorized,1,12000,0,12000,"KanREN, Inc.",FALSE,TRUE,FALSE,TRUE,FALSE,FALSE,6/30/2018 0:00
192451,903641,District,137898,FLINT HILLS UNIF SCH DIST 492,KS,1030410,2800846,1,Internet,N,100,Lit Fiber Service,Fiber,1,0,1308.83,15705.96,"KanREN, Inc.",FALSE,TRUE,TRUE,FALSE,FALSE,FALSE,6/30/2020 0:00
193244,922750,District,133705,ROCHESTER SCHOOL DIST 535,MN,1016109,2778860,1,Internet,N,400,Lit Fiber Service,Fiber,2,0,6930,83160,TIES (Technology and Information Educational Services),FALSE,TRUE,TRUE,FALSE,FALSE,FALSE,6/30/2017 0:00
193710,926692,District,128609,RANKIN COUNTY SCHOOL DISTRICT,MS,1027363,2790154,1,Transport,Y,1000,Lit Fiber Service,Fiber,25,0,22875,274500,"Telepak Networks, Inc.",FALSE,TRUE,FALSE,FALSE,FALSE,TRUE,6/30/2018 0:00
193711,926692,District,128609,RANKIN COUNTY SCHOOL DISTRICT,MS,1027363,2790139,1,Internet,N,1000,Lit Fiber Service,Fiber,1,0,4500,54000,"Telepak Networks, Inc.",FALSE,TRUE,TRUE,FALSE,FALSE,FALSE,7/1/2018 0:00
193715,926609,District,128555,GREENVILLE PUBLIC SCHOOLS,MS,1024882,2801086,1,Transport,Y,1000,Lit Fiber Service,Fiber,19,0,14250,171000,"BellSouth Telecommunications, LLC",FALSE,TRUE,FALSE,FALSE,FALSE,TRUE,6/30/2018 0:00
194004,943386,District,143437,ELKO COUNTY SCHOOL DISTRICT,NV,1006692,2733559,1,Internet,N,25,Lit Fiber Service,Fiber,1,0,500,6000,Rural Telephone Company,FALSE,TRUE,TRUE,FALSE,FALSE,FALSE,6/30/2016 0:00
196173,967107,District,128345,GREENE COUNTY SCHOOL DISTRICT,TN,1016218,2771399,2,Internet,N,300,Lit Fiber Service,Fiber,1,0,14500,174000,"ENA Services, LLC",FALSE,TRUE,TRUE,FALSE,FALSE,FALSE,6/30/2016 0:00
196393,967176,District,128458,OBION COUNTY SCHOOL DISTRICT,TN,1030318,2800583,1,Transport,Y,100,Lit Fiber Service,Fiber,1,0,1000,12000,"ENA Services, LLC",FALSE,TRUE,FALSE,FALSE,FALSE,TRUE,6/30/2016 0:00
196395,967176,District,128458,OBION COUNTY SCHOOL DISTRICT,TN,1030318,2800583,3,Internet,N,500,Lit Fiber Service,Fiber,2,0,18500,222000,"ENA Services, LLC",FALSE,TRUE,TRUE,FALSE,FALSE,FALSE,6/30/2016 0:00
196398,967141,District,128436,LAKE COUNTY SCHOOL,TN,1030372,2800723,2,Internet,N,200,Lit Fiber Service,Fiber,2,0,13000,156000,"ENA Services, LLC",FALSE,TRUE,TRUE,FALSE,FALSE,FALSE,6/30/2016 0:00
