line_item_id,service_provider_name,postal_cd,bandwidth_in_mbps,num_students,connect_category,cost_per_line,frn_complete
767218,"Time Warner Cable Information Services (New York), LLC",NY,1000.0,0,Fiber,20402.64,2741639-1
767223,"Time Warner Cable Information Services (New York), LLC",NY,1000.0,0,Fiber,20402.64,2741679-1
769239,"Time Warner Cable Information Services (New York), LLC",NY,1000.0,0,Fiber,11276.65,2741752-1
769243,"Time Warner Cable Information Services (New York), LLC",NY,1000.0,0,Fiber,11276.65,2742018-1
769245,"Time Warner Cable Information Services (New York), LLC",NY,1000.0,0,Fiber,12301.8,2742042-1
769249,"Time Warner Cable Information Services (New York), LLC",NY,1000.0,0,Fiber,10251.5,2742083-1
769253,"Time Warner Cable Information Services (New York), LLC",NY,1000.0,0,Fiber,11276.65,2742161-1
769255,"Time Warner Cable Information Services (New York), LLC",NY,1000.0,0,Fiber,12301.8,2742181-1
769257,"Time Warner Cable Information Services (New York), LLC",NY,1000.0,0,Fiber,8201.2,2742209-1
769259,"Time Warner Cable Information Services (New York), LLC",NY,1000.0,0,Fiber,11276.65,2742227-1
769262,"Time Warner Cable Information Services (New York), LLC",NY,1000.0,0,Fiber,11276.65,2742253-1
769330,"Time Warner Cable Information Services (New York), LLC",NY,1000.0,0,Fiber,9405.0,2742738-1
769333,"Time Warner Cable Information Services (New York), LLC",NY,1000.0,0,Fiber,9405.0,2742747-1
769337,"Time Warner Cable Information Services (New York), LLC",NY,1000.0,0,Fiber,9405.0,2742762-1
769338,"Time Warner Cable Information Services (New York), LLC",NY,1000.0,0,Fiber,9405.0,2742765-1
769340,"Time Warner Cable Information Services (New York), LLC",NY,100.0,0,Fiber,7837.5,2742779-1
769341,"Time Warner Cable Information Services (New York), LLC",NY,1000.0,0,Fiber,9405.0,2742784-1
769368,"Fiber Technologies Networks, L.L.C.",NY,1000.0,0,Fiber,9840.0,2743210-1
769378,"Time Warner Cable Information Services (New York), LLC",NY,1000.0,0,Fiber,11035.2,2743625-1
769383,"Time Warner Cable Information Services (New York), LLC",NY,1000.0,0,Fiber,11035.2,2743703-1
769386,"Time Warner Cable Information Services (New York), LLC",NY,1000.0,0,Fiber,11035.2,2743817-1
769391,"Fiber Technologies Networks, L.L.C.",NY,1000.0,0,Fiber,9840.0,2744633-1
769460,"Time Warner Cable Information Services (New York), LLC",NY,1000.0,0,Fiber,11035.2,2744691-1
769464,"Fiber Technologies Networks, L.L.C.",NY,1000.0,0,Fiber,9840.0,2744724-1
769465,"Fiber Technologies Networks, L.L.C.",NY,100.0,0,Fiber,3690.0,2744732-1
769466,"Time Warner Cable Information Services (New York), LLC",NY,1000.0,0,Fiber,11035.2,2744739-1
769467,"Time Warner Cable Information Services (New York), LLC",NY,1000.0,0,Fiber,11035.2,2744745-1
769468,"Time Warner Cable Information Services (New York), LLC",NY,1000.0,0,Fiber,11035.2,2744752-1
769469,"Fiber Technologies Networks, L.L.C.",NY,1000.0,0,Fiber,9840.0,2744759-1
769471,"Time Warner Cable Information Services (New York), LLC",NY,1000.0,0,Fiber,11035.2,2744823-1
769473,"Fiber Technologies Networks, L.L.C.",NY,1000.0,0,Fiber,9840.0,2744838-1
769476,"Time Warner Cable Information Services (New York), LLC",NY,1000.0,0,Fiber,11035.2,2744870-1
769478,"Fiber Technologies Networks, L.L.C.",NY,1000.0,0,Fiber,9020.0,2744895-1
769480,"Fiber Technologies Networks, L.L.C.",NY,1000.0,0,Fiber,9840.0,2744920-1
770184,Verizon New York Inc.,NY,1000.0,966712,Fiber,1571.123227917121,2787056-7
770763,"Fiber Technologies Networks, L.L.C.",NY,1000000.0,595,Fiber,71415.0,2750243-1
770764,"Fiber Technologies Networks, L.L.C.",NY,1000000.0,595,Fiber,56014.2,2750250-1
770770,"Time Warner Cable Information Services (New York), LLC",NY,768.0,595,Fiber,1283.4,2750295-1
772509,"Hudson Valley DataNet, LLC",NY,10000.0,,Fiber,37348.743157894736,2768329-1
772847,Verizon Business Global LLC,NY,1.5,,Copper,7580.67,2785332-1
772848,Verizon Business Global LLC,NY,0.5,,Copper,6324.0,2785332-2
773253,"Frontier Communications of New York, Inc.",NY,1000.0,,Fiber,7480.32,2817615-1
773524,Cablevision Lightpath,NY,300.0,0,Fiber,33492.0,2812977-1
775351,Southern Tier Network Inc.,NY,1000.0,,Fiber,3648.0,2793022-1
775405,Southern Tier Network Inc.,NY,10000.0,,Fiber,3336.0,2793578-1
775993,"Level 3 Communications, LLC",NY,4500.0,0,Fiber,61200.0,2801549-1
775995,"Fiber Technologies Networks, L.L.C.",NY,100.0,0,Fiber,12240.0,2801701-1
775996,"Fiber Technologies Networks, L.L.C.",NY,2500.0,0,Fiber,75000.0,2801752-1
776296,"Time Warner Cable Information Services (New York), LLC",NY,10000.0,,Fiber,128832.0,2810837-1
776297,"Time Warner Cable Information Services (New York), LLC",NY,1000.0,,Fiber,19883.614054054055,2810837-2
776391,"Fiber Technologies Networks, L.L.C.",NY,1000.0,,Fiber,28619.76,2810076-1
778300,"Time Warner Cable Information Services (New York), LLC",NY,50.0,0,Other / Uncategorized,26244.0,2822360-1
778301,"Time Warner Cable Information Services (New York), LLC",NY,50.0,0,Other / Uncategorized,26244.0,2822363-1
779208,"Fiber Technologies Networks, L.L.C.",NY,1000.0,,Fiber,23581.8,2834240-1
779210,"Fiber Technologies Networks, L.L.C.",NY,100.0,,Fiber,16923.6,2834244-1
779212,"Time Warner Cable Information Services (New York), LLC",NY,1000.0,,Fiber,10518.96,2834246-1
779213,"Time Warner Cable Information Services (New York), LLC",NY,100.0,,Fiber,13200.0,2834247-1
779215,"Time Warner Cable Information Services (New York), LLC",NY,1000.0,,Fiber,18911.76,2834250-1
779216,"Time Warner Cable Information Services (New York), LLC",NY,1000.0,,Fiber,13135.464,2834251-1
779688,Southern Tier Network Inc.,NY,1000.0,,Fiber,3396.0,2841040-1
779689,Southern Tier Network Inc.,NY,1000.0,,Fiber,3300.0,2841068-1
782204,"Northland Networks, Ltd.",NY,100.0,0,Other / Uncategorized,7872.0,2863333-1
785156,North Coast Council,OH,100.0,7066,Fiber,37200.0,2740166-1
790018,South Central Ohio Computer Association,OH,500.0,1462,Fiber,33327.0,2787248-1
792198,South Central Ohio Computer Association,OH,100.0,4024,Fiber,9852.0,2827501-1
795701,AT&T Corp.,OK,6.0,79,Other / Uncategorized,31700.04,2745929-1
795710,OneNet (Oklahoma State Regents),OK,10.0,265,Other / Uncategorized,37020.0,2722628-1
795711,OneNet (Oklahoma State Regents),OK,100.0,265,Other / Uncategorized,28668.0,2722628-2
796099,OneNet (Oklahoma State Regents),OK,20.0,490,Other / Uncategorized,13212.0,2725830-1
796175,OneNet (Oklahoma State Regents),OK,9.0,308,Fiber,37008.0,2741064-1
796905,OneNet (Oklahoma State Regents),OK,100.0,216,Other / Uncategorized,27600.0,2733692-2
796941,OneNet (Oklahoma State Regents),OK,100.0,1028,Other / Uncategorized,28668.0,2739568-1
797314,OneNet (Oklahoma State Regents),OK,80.0,414,Other / Uncategorized,14400.0,2741038-1
797320,"Northeast Rural Services, Inc.",OK,1000.0,815,Fiber,213960.0,2737438-1
797566,OneNet (Oklahoma State Regents),OK,30.0,418,Other / Uncategorized,19212.0,2755526-1
797567,OneNet (Oklahoma State Regents),OK,50.0,418,Other / Uncategorized,20436.0,2755526-2
797879,OneNet (Oklahoma State Regents),OK,20.0,182,Other / Uncategorized,16296.0,2735336-1
797981,"CoxCom, Inc. dba Cox Communications Oklahoma City",OK,50.0,,Fiber,50100.0,2734715-1
797982,"CoxCom, Inc. dba Cox Communications Oklahoma City",OK,5.0,,Fiber,4559.4,2734715-2
798149,OneNet (Oklahoma State Regents),OK,100.0,604,Other / Uncategorized,28668.0,2747778-1
798312,"Panhandle Telephone Cooperative, Inc.",OK,100.0,219,Other / Uncategorized,37926.84,2772337-1
799097,OneNet (Oklahoma State Regents),OK,50.0,348,Other / Uncategorized,23376.0,2739899-1
799282,"Windstream Communications, Inc.",OK,50.0,956,Fiber,33948.0,2739232-1
799283,"Windstream Communications, Inc.",OK,100000.0,956,Fiber,0,2739232-2
799357,"Unite Private Networks, LLC",OK,10000.0,7548,Fiber,21540.0,2755097-1
799358,OneNet (Oklahoma State Regents),OK,1000.0,7548,Fiber,43068.0,2755149-1
800614,"K-PowerNet, LLC",OK,20.0,119,Other / Uncategorized,67536.0,2744303-1
800615,"Northeast Rural Services, Inc.",OK,50.0,119,Other / Uncategorized,91536.0,2744315-1
801522,"Cox Oklahoma Telcom, LLC",OK,100.0,41076,Other / Uncategorized,37344.0,2748398-1
805034,"Unite Private Networks, LLC",OK,1000.0,5958,Fiber,189360.0,2769445-1
808712,"Cox Oklahoma Telcom, LLC",OK,1000.0,22489,Fiber,16835.0,2837427-1
808713,"Cox Oklahoma Telcom, LLC",OK,100.0,22489,Other / Uncategorized,10985.0,2837427-2
808714,"Cox Oklahoma Telcom, LLC",OK,2000.0,22489,Fiber,31200.0,2837427-3
809413,"Mid-America Telephone, Inc.",OK,25.0,444,Fiber,33000.0,2863235-1
809631,Wtechlink Inc,OR,100.0,231,Fixed Wireless,6900.0,2717945-2
809638,"Cable One, Inc.",OR,10.0,80,Other / Uncategorized,21000.0,2718048-1
809644,CenturyLink Qwest Corporation,OR,1.544,10,Other / Uncategorized,16860.0,2718071-1
809647,"Charter Fiberlink OR-CCVII, LLC",OR,1000.0,567,Fiber,15624.0,2718083-1
