"","verified_category","predicted_category","raw_category","test_data.frn_complete","guessed_correctly","clean_the_line_item"
"1887","Fiber","Fiber","Fiber","2822989-1",TRUE,FALSE
"1894","Fiber","Fiber","Fiber","2823419-2",TRUE,FALSE
"1902","Fiber","Fiber","Fiber","2823990-1",TRUE,FALSE
"1903","Fiber","Fiber","Fiber","2824000-1",TRUE,FALSE
"1929","Fiber","Fiber","Other / Uncategorized","2825758-1",TRUE,TRUE
"1933","Fiber","Fiber","Cable / DSL","2826554-1",TRUE,TRUE
"1938","Fiber","Fiber","Fiber","2826942-1",TRUE,FALSE
"1946","Fiber","Fiber","Fiber","2827120-1",TRUE,FALSE
"1952","Fiber","Fiber","Fiber","2827501-1",TRUE,FALSE
"1954","Fiber","Fiber","Fiber","2827636-1",TRUE,FALSE
"1964","Fiber","Fiber","Fiber","2828480-2",TRUE,FALSE
"1984","Fiber","Copper","Other / Uncategorized","2828808-9",FALSE,FALSE
"1985","Fiber","Fiber","Other / Uncategorized","2828933-1",TRUE,TRUE
"1986","Fiber","Fiber","Other / Uncategorized","2828968-1",TRUE,TRUE
"1999","Fiber","Fiber","Fiber","2829724-2",TRUE,FALSE
"2002","Fixed Wireless","Fixed Wireless","Other / Uncategorized","2830319-1",TRUE,TRUE
"2007","Fiber","Fiber","Other / Uncategorized","2830644-1",TRUE,TRUE
"2013","Fiber","Fiber","Fiber","2831446-1",TRUE,FALSE
"2023","Fiber","Fiber","Fiber","2832375-2",TRUE,FALSE
"2031","Fiber","Fiber","Fiber","2832885-1",TRUE,FALSE
"2034","Cable / DSL","Fiber","Other / Uncategorized","2833191-1",FALSE,FALSE
"2035","Cable / DSL","Cable / DSL","Other / Uncategorized","2833205-1",TRUE,TRUE
"2038","Copper","Fiber","Other / Uncategorized","2833556-1",FALSE,FALSE
"2046","Other / Uncategorized","Other / Uncategorized","Other / Uncategorized","2834835-1",TRUE,FALSE
"2048","Fiber","Fiber","Fiber","2835212-1",TRUE,FALSE
"2050","Other / Uncategorized","Fiber","Other / Uncategorized","2835279-1",FALSE,FALSE
"2054","Fiber","Fiber","Other / Uncategorized","2835702-1",TRUE,TRUE
"2055","Cable / DSL","Cable / DSL","Other / Uncategorized","2835812-1",TRUE,TRUE
"2060","Fiber","Fiber","Fiber","2836432-1",TRUE,FALSE
"2070","Fiber","Fiber","Fiber","2837406-1",TRUE,FALSE
"2077","Fiber","Fiber","Other / Uncategorized","2838310-1",TRUE,TRUE
"2079","Fiber","Fiber","Other / Uncategorized","2839400-1",TRUE,TRUE
"2083","Fiber","Fiber","Fiber","2840329-1",TRUE,FALSE
"2084","Fiber","Fiber","Other / Uncategorized","2840405-1",TRUE,TRUE
"2097","Other / Uncategorized","Fiber","Other / Uncategorized","2840954-1",FALSE,FALSE
"2105","Fiber","Fiber","Fiber","2841558-1",TRUE,FALSE
"2110","Other / Uncategorized","Other / Uncategorized","Fiber","2842054-1",TRUE,TRUE
"2113","Fiber","Fiber","Other / Uncategorized","2842470-1",TRUE,TRUE
"2121","Fiber","Fiber","Other / Uncategorized","2843224-1",TRUE,TRUE
"2123","Fixed Wireless","Fiber","Fixed Wireless","2843242-1",FALSE,FALSE
"2127","Cable / DSL","Cable / DSL","Cable / DSL","2844055-1",TRUE,FALSE
"2128","Other / Uncategorized","Fiber","Other / Uncategorized","2844481-1",FALSE,FALSE
"2130","Other / Uncategorized","Other / Uncategorized","Other / Uncategorized","2844640-1",TRUE,FALSE
"2135","Cable / DSL","Cable / DSL","Cable / DSL","2845553-1",TRUE,FALSE
"2136","Fiber","Fiber","Other / Uncategorized","2846525-1",TRUE,TRUE
"2142","Other / Uncategorized","Other / Uncategorized","Other / Uncategorized","2847579-1",TRUE,FALSE
"2145","Fiber","Fiber","Fiber","2847717-2",TRUE,FALSE
"2149","Fiber","Fiber","Fiber","2848182-1",TRUE,FALSE
"2150","Fiber","Fiber","Fiber","2848212-1",TRUE,FALSE
"2153","Fiber","Fiber","Fiber","2848417-1",TRUE,FALSE
"2160","Fiber","Fiber","Fiber","2848940-1",TRUE,FALSE
"2165","Other / Uncategorized","Other / Uncategorized","Fiber","2849299-1",TRUE,TRUE
"2179","Other / Uncategorized","Other / Uncategorized","Other / Uncategorized","2850875-1",TRUE,FALSE
"2181","Fiber","Fiber","Fiber","2851323-1",TRUE,FALSE
"2184","Fiber","Fiber","Fiber","2851533-2",TRUE,FALSE
"2191","Other / Uncategorized","Fiber","Other / Uncategorized","2852318-1",FALSE,FALSE
"2193","Fiber","Fiber","Fiber","2852433-1",TRUE,FALSE
"2200","Fiber","Fiber","Other / Uncategorized","2853015-1",TRUE,TRUE
"2208","Other / Uncategorized","Other / Uncategorized","Fixed Wireless","2854182-1",TRUE,TRUE
"2211","Fiber","Fiber","Fiber","2854332-1",TRUE,FALSE
"2213","Other / Uncategorized","Other / Uncategorized","Fiber","2854571-1",TRUE,TRUE
"2237","Other / Uncategorized","Other / Uncategorized","Fiber","2856479-1",TRUE,TRUE
"2238","Fiber","Fiber","Fiber","2856589-1",TRUE,FALSE
"2239","Copper","Copper","Copper","2856612-1",TRUE,FALSE
"2246","Fiber","Fiber","Fiber","2856738-2",TRUE,FALSE
"2247","Fiber","Fiber","Fiber","2856757-1",TRUE,FALSE
"2249","Fiber","Fiber","Other / Uncategorized","2856912-1",TRUE,TRUE
"2252","Fiber","Fiber","Fiber","2857289-3",TRUE,FALSE
"2262","Fiber","Fiber","Fiber","2857871-1",TRUE,FALSE
"2263","Fiber","Fiber","Other / Uncategorized","2857952-1",TRUE,TRUE
"2264","Other / Uncategorized","Other / Uncategorized","Other / Uncategorized","2858454-1",TRUE,FALSE
"2267","Fixed Wireless","Fiber","Other / Uncategorized","2858838-1",FALSE,FALSE
"2277","Other / Uncategorized","Other / Uncategorized","Other / Uncategorized","2860539-1",TRUE,FALSE
"2279","Other / Uncategorized","Other / Uncategorized","Other / Uncategorized","2860601-1",TRUE,FALSE
"2280","Other / Uncategorized","Other / Uncategorized","Fiber","2860917-1",TRUE,TRUE
"2281","Other / Uncategorized","Other / Uncategorized","Fiber","2861022-1",TRUE,TRUE
"2289","Fiber","Fiber","Fiber","2861831-1",TRUE,FALSE
"2292","Fiber","Fiber","Fiber","2862062-1",TRUE,FALSE
"2297","Fiber","Fiber","Fiber","2862070-1",TRUE,FALSE
"2298","Fiber","Fiber","Fiber","2863235-1",TRUE,FALSE
"2300","Other / Uncategorized","Other / Uncategorized","Other / Uncategorized","2863813-1",TRUE,FALSE
"2307","Fiber","Fiber","Fiber","2864190-2",TRUE,FALSE
"2308","Fiber","Fiber","Fiber","2864190-3",TRUE,FALSE
"2310","Fiber","Other / Uncategorized","Fiber","2864414-1",FALSE,FALSE
"2311","Fiber","Fiber","Fiber","2864432-1",TRUE,FALSE
