"","verified_category","predicted_category","raw_category","test_data.frn_complete","guessed_correctly","clean_the_line_item"
"880","Other / Uncategorized","Other / Uncategorized","Other / Uncategorized","2756716-1",TRUE,FALSE
"885","Fiber","Fiber","Other / Uncategorized","2756961-2",TRUE,TRUE
"886","Fiber","Fiber","Fiber","2757027-1",TRUE,FALSE
"902","Other / Uncategorized","Other / Uncategorized","Other / Uncategorized","2757657-1",TRUE,FALSE
"908","Fiber","Fiber","Fiber","2757802-1",TRUE,FALSE
"914","Fiber","Fiber","Fiber","2758765-1",TRUE,FALSE
"919","Fiber","Fiber","Fiber","2758922-1",TRUE,FALSE
"921","Fiber","Fiber","Fiber","2758942-2",TRUE,FALSE
"922","Fiber","Fiber","Fiber","2758942-3",TRUE,FALSE
"924","Cable / DSL","Cable / DSL","Cable / DSL","2758983-1",TRUE,FALSE
"925","Fiber","Fiber","Fiber","2759093-1",TRUE,FALSE
"931","Fiber","Fiber","Fiber","2759497-1",TRUE,FALSE
"932","Fiber","Fiber","Fiber","2759497-10",TRUE,FALSE
"936","Fiber","Fiber","Other / Uncategorized","2759497-2",TRUE,TRUE
"938","Fiber","Fiber","Other / Uncategorized","2759497-6",TRUE,TRUE
"945","Fiber","Fiber","Fiber","2759823-3",TRUE,FALSE
"946","Fiber","Fiber","Fiber","2759843-2",TRUE,FALSE
"947","Fiber","Fiber","Fiber","2759946-1",TRUE,FALSE
"948","Cable / DSL","Cable / DSL","Cable / DSL","2759960-1",TRUE,FALSE
"950","Fiber","Fiber","Fiber","2760298-2",TRUE,FALSE
"976","Fiber","Fiber","Fiber","2762360-2",TRUE,FALSE
"980","Fiber","Fiber","Fiber","2762570-1",TRUE,FALSE
"998","Fiber","Fiber","Fiber","2763436-5",TRUE,FALSE
"1000","Fiber","Fiber","Fiber","2763454-1",TRUE,FALSE
"1007","Fiber","Fiber","Fiber","2763828-1",TRUE,FALSE
"1011","Fiber","Fiber","Fiber","2763938-3",TRUE,FALSE
"1015","Fiber","Fiber","Other / Uncategorized","2763966-2",TRUE,TRUE
"1016","Fiber","Fiber","Fiber","2763966-3",TRUE,FALSE
"1019","Fiber","Fiber","Fiber","2763994-3",TRUE,FALSE
"1020","Cable / DSL","Fiber","Other / Uncategorized","2764004-1",FALSE,FALSE
"1024","Fiber","Fiber","Other / Uncategorized","2764227-1",TRUE,TRUE
"1027","Fiber","Fiber","Fiber","2764306-1",TRUE,FALSE
"1028","Fiber","Fiber","Fiber","2764442-1",TRUE,FALSE
"1031","Fiber","Fiber","Fiber","2764543-1",TRUE,FALSE
"1038","Other / Uncategorized","Other / Uncategorized","Other / Uncategorized","2764582-1",TRUE,FALSE
"1042","Fiber","Fiber","Fiber","2764973-1",TRUE,FALSE
"1058","Fiber","Fiber","Fiber","2765367-4",TRUE,FALSE
"1059","Fiber","Fiber","Fiber","2765367-5",TRUE,FALSE
"1078","Fiber","Fiber","Fiber","2766670-2",TRUE,FALSE
"1081","Fiber","Fiber","Other / Uncategorized","2766918-1",TRUE,TRUE
"1083","Fiber","Fiber","Fiber","2767004-1",TRUE,FALSE
"1092","Cable / DSL","Fiber","Cable / DSL","2767602-1",FALSE,FALSE
"1094","Fiber","Fiber","Fiber","2767669-2",TRUE,FALSE
"1096","Fiber","Fiber","Fiber","2767669-6",TRUE,FALSE
"1098","Fiber","Fiber","Fiber","2767701-1",TRUE,FALSE
"1104","Fiber","Fiber","Other / Uncategorized","2767777-1",TRUE,TRUE
"1108","Fiber","Fiber","Other / Uncategorized","2768001-1",TRUE,TRUE
"1110","Fiber","Fiber","Fiber","2768086-1",TRUE,FALSE
"1121","Fiber","Fiber","Fiber","2768687-1",TRUE,FALSE
"1128","Fiber","Fiber","Fiber","2769445-1",TRUE,FALSE
"1132","Fiber","Fiber","Fiber","2769870-1",TRUE,FALSE
"1142","Fiber","Fiber","Fiber","2770279-1",TRUE,FALSE
"1151","Cable / DSL","Cable / DSL","Cable / DSL","2771324-2",TRUE,FALSE
"1156","Fiber","Fiber","Fiber","2771525-2",TRUE,FALSE
"1167","Fiber","Fiber","Fiber","2771923-1",TRUE,FALSE
"1173","Fiber","Fiber","Fiber","2772379-5",TRUE,FALSE
"1175","Other / Uncategorized","Other / Uncategorized","Other / Uncategorized","2772551-1",TRUE,FALSE
"1176","Fiber","Fiber","Fiber","2772560-1",TRUE,FALSE
"1185","Fiber","Fiber","Other / Uncategorized","2772974-1",TRUE,TRUE
"1189","Fiber","Fiber","Fiber","2773260-1",TRUE,FALSE
"1192","Cable / DSL","Cable / DSL","Cable / DSL","2773471-1",TRUE,FALSE
"1200","Cable / DSL","Cable / DSL","Cable / DSL","2773887-1",TRUE,FALSE
"1201","Fiber","Fiber","Other / Uncategorized","2773964-1",TRUE,TRUE
"1209","Fiber","Fiber","Fiber","2774384-1",TRUE,FALSE
"1210","Fiber","Fiber","Fiber","2774398-1",TRUE,FALSE
"1213","Fiber","Fiber","Fiber","2774660-1",TRUE,FALSE
"1215","Fiber","Fiber","Fiber","2774803-1",TRUE,FALSE
"1216","Fiber","Fiber","Fiber","2774848-2",TRUE,FALSE
"1221","Fixed Wireless","Fiber","Fiber","2775724-1",FALSE,FALSE
"1233","Other / Uncategorized","Other / Uncategorized","Other / Uncategorized","2776096-1",TRUE,FALSE
"1238","Fiber","Fiber","Other / Uncategorized","2776482-1",TRUE,TRUE
"1239","Fiber","Fiber","Fiber","2776501-1",TRUE,FALSE
"1241","Fiber","Fiber","Fiber","2776530-1",TRUE,FALSE
"1248","Other / Uncategorized","Cable / DSL","Other / Uncategorized","2776999-1",FALSE,FALSE
"1251","Fiber","Fiber","Fiber","2777091-1",TRUE,FALSE
"1256","Fiber","Fiber","Fiber","2777112-1",TRUE,FALSE
"1263","Fiber","Fiber","Fiber","2777269-3",TRUE,FALSE
"1265","Fiber","Fiber","Fiber","2777350-1",TRUE,FALSE
"1267","Fiber","Fiber","Fiber","2777547-1",TRUE,FALSE
"1271","Fiber","Fiber","Fiber","2778013-1",TRUE,FALSE
"1276","Other / Uncategorized","Other / Uncategorized","Other / Uncategorized","2778412-1",TRUE,FALSE
"1285","Fiber","Fiber","Other / Uncategorized","2779175-1",TRUE,TRUE
"1286","Fiber","Fiber","Fiber","2779263-1",TRUE,FALSE
"1287","Fiber","Fiber","Fiber","2779328-1",TRUE,FALSE
"1290","Fiber","Fiber","Fiber","2779456-1",TRUE,FALSE
"1293","Cable / DSL","Fiber","Other / Uncategorized","2779899-1",FALSE,FALSE
"1294","Fiber","Fiber","Other / Uncategorized","2779911-1",TRUE,TRUE
"1297","Fiber","Fiber","Fiber","2779982-1",TRUE,FALSE
"1300","Fiber","Fiber","Other / Uncategorized","2780194-1",TRUE,TRUE
"1312","Other / Uncategorized","Other / Uncategorized","Other / Uncategorized","2780836-1",TRUE,FALSE
"1314","Fiber","Fiber","Other / Uncategorized","2780998-1",TRUE,TRUE
"1319","Other / Uncategorized","Other / Uncategorized","Other / Uncategorized","2781296-1",TRUE,FALSE
"1338","Fiber","Fiber","Fiber","2782690-3",TRUE,FALSE
"1340","Other / Uncategorized","Other / Uncategorized","Other / Uncategorized","2782905-1",TRUE,FALSE
"1351","Fiber","Fiber","Fiber","2783610-1",TRUE,FALSE
"1352","Fiber","Fiber","Other / Uncategorized","2783792-1",TRUE,TRUE
"1370","Fiber","Fiber","Fiber","2784885-1",TRUE,FALSE
"1376","Fixed Wireless","Fiber","Other / Uncategorized","2785370-1",FALSE,FALSE
"1387","Fiber","Fiber","Other / Uncategorized","2786060-1",TRUE,TRUE
"1400","Fiber","Fiber","Fiber","2786684-3",TRUE,FALSE
"1402","Fiber","Fiber","Fiber","2786758-1",TRUE,FALSE
"1404","Fiber","Fiber","Fiber","2786758-3",TRUE,FALSE
"1408","Other / Uncategorized","Other / Uncategorized","Other / Uncategorized","2787195-1",TRUE,FALSE
"1413","Fiber","Fiber","Other / Uncategorized","2787624-1",TRUE,TRUE
"1416","Fiber","Fiber","Other / Uncategorized","2787879-1",TRUE,TRUE
"1423","Fiber","Fiber","Fiber","2787993-1",TRUE,FALSE
"1428","Other / Uncategorized","Fiber","Fiber","2788651-1",FALSE,FALSE
"1434","Fiber","Fiber","Fiber","2789117-1",TRUE,FALSE
"1436","Fiber","Fiber","Fiber","2789376-1",TRUE,FALSE
"1440","Fiber","Other / Uncategorized","Fiber","2789665-1",FALSE,FALSE
"1452","Cable / DSL","Copper","Cable / DSL","2790656-1",FALSE,FALSE
"1453","Fiber","Fiber","Fiber","2790664-1",TRUE,FALSE
"1458","Fiber","Fiber","Fiber","2790959-1",TRUE,FALSE
"1468","Fiber","Fiber","Fiber","2792136-1",TRUE,FALSE
"1474","Fiber","Fiber","Fiber","2792447-2",TRUE,FALSE
"1480","Fiber","Fiber","Fiber","2792960-2",TRUE,FALSE
"1483","Fiber","Fiber","Fiber","2793273-1",TRUE,FALSE
"1484","Fiber","Fiber","Fiber","2793495-1",TRUE,FALSE
"1487","Fiber","Fiber","Fiber","2793559-3",TRUE,FALSE
"1492","Fiber","Fiber","Other / Uncategorized","2794251-1",TRUE,TRUE
"1502","Fiber","Fiber","Cable / DSL","2795190-1",TRUE,TRUE
"1504","Fiber","Fiber","Fiber","2795284-1",TRUE,FALSE
"1506","Fiber","Fiber","Fiber","2795396-1",TRUE,FALSE
"1509","Fiber","Fiber","Fiber","2795547-1",TRUE,FALSE
"1510","Fiber","Fiber","Fiber","2795662-1",TRUE,FALSE
