"esh_id","name","postal_cd","c2_prediscount_budget_15","c2_prediscount_remaining_17","c2_postdiscount_remaining_17","needs_wifi"
"951354","Hanna Indep School District 64","OK",18825.6,1195.72,1016.362,"t"
"951361","Hartshorne Indep School Dist 1","OK",126766.22,5346.38,4277.104,"f"
"951362","Haskell Indep School Dist 2","OK",131370.32,6005.59,5104.7515,"t"
"951365","Haywood School","OK",17955.99,0,0,"t"
"951367","Heavener Public Schools","OK",148712.43,13044.23,10672.0995,"f"
"951369","Hennessey Indep School Dist 16","OK",139811.17,4881.49,4149.2665,"f"
"951373","Hinton Indep School Dist 161","OK",100676.32,0,0,"f"
"951387","Howe Indep School District 67","OK",80571.75,1821.83,1517.499,"f"
"951389","Hugo Indep School District I39","OK",189995.86,18644.8,15848.08,"f"
"951393","Idabel School District 5","OK",186619.52,3224.58,2740.893,"f"
"951394","Indiahoma Public School","OK",32382.17,0,0,"f"
"951400","Jennings School District 2","OK",30540.53,2677.57,2275.9345,"f"
"951401","Jones Indep School District I9","OK",166361.48,0,0,"t"
"951404","Justus-Tiawah School Dist 9","OK",59699.83,0,0,"f"
"951406","Kellyville Indep Sch Dist 31","OK",159455.33,1597.19,1277.752,"f"
"951408","Kenwood","OK",15193.53,0,0,NA
"951409","Keota Indep School District 43","OK",63843.52,1470.82,1250.197,"f"
"951415","Kiefer Indep School Dist 18","OK",119399.66,7197.02,5757.616,"t"
"951416","Kildare School District 50","OK",13351.89,1201.89,961.512,"t"
"951420","Kingston Indep School Dist 3","OK",184931.35,20594.04,17504.934,"f"
"951422","Kinta Indep School District 13","OK",28085.01,0,0,"f"
"951423","Kiowa Public Schools","OK",50338.16,2323.19,1858.552,"f"
"951425","Konawa Indep School District 4","OK",103745.72,5980.68,4784.544,"f"
"951427","Kremlin-Hillsdale Public Schs","OK",45887.53,6167.8,4160.384,"t"
"951431","Lane School District 22","OK",34530.75,5030.75,4276.1375,"f"
"951434","Laverne Public Schools","OK",75814.18,4233.73,3386.984,"f"
"951440","Leach School District 14","OK",21946.21,281.96,239.666,"f"
"951441","Leedey Public School","OK",34735.35,2300.85,1580.499,"f"
"951437","Leflore Indep School Dist 16","OK",34070.34,2617.02,2224.467,"f"
"951443","Liberty School District 01","OK",55556.14,2450.61,1960.488,"t"
"951449","Little Axe School Dist I 70","OK",198897.12,16804.39,14257.6685,"f"
"951452","Locust Grove School Dist 17","OK",172807.22,11887.7,10104.545,"f"
"951459","Lookeba-Sickles School Dist 12","OK",48343.05,0,0,"t"
"951462","Lukfata School District 9","OK",57397.78,0,0,"f"
"951463","Luther Indep School District 3","OK",122008.65,468,374.4,"t"
"951469","Mannford Indep School Dist 3","OK",232507.05,10722.39,8577.912,"t"
"951470","Mannsville School District 7","OK",15347,1580.84,1343.714,"f"
"951471","Maple School District 162","OK",21792.74,455.38,273.228,"f"
"951472","Marble City School Dist 35","OK",15040.06,0,0,"f"
"951475","Marietta Indep Sch District 16","OK",169891.29,12600.25,10710.2125,"f"
"951476","Marlow Indep School District 3","OK",202580.4,0,0,"t"
"951479","Mason Indep School District 2","OK",30131.25,0,0,"f"
"951481","Maud Indep School District 117","OK",30847.47,929.39,789.9815,"f"
"951484","Maysville Indep School District","OK",60620.65,4455.65,3583.88,"f"
"951486","Mcalester Public Schools I-80","OK",457238.26,11535.85,9805.4725,"f"
"951494","Meeker Indep School Dist Io-95","OK",134132.78,4115.46,3292.368,"t"
"951495","Merritt Indep School Dist 2","OK",126612.75,5278.75,4223,"f"
"951499","Midwest City-Del City Sch Dist","OK",2181115.64,220385.31,163759.3945,"f"
"951504","Mill Creek Indep School Dist 2","OK",25987.56,2331.94,1865.552,"f"
"951506","Millwood Indep School Dist 37","OK",151321.42,9742.82,7952.4915,"f"
"951507","Minco Indep School District 2","OK",88552.19,3875.79,3100.632,"f"
"951515","Morrison Public Schools","OK",91314.65,7281.44,5825.152,"f"
"951516","Moseley School District","OK",34377.28,560.19,448.152,"t"
"951521","Mounds Indep School District 5","OK",85482.79,7084.54,5952.333,"f"
"951730","Mountain View-Gotebo Dist 003","OK",44199.36,2018.92,1615.136,"f"
"951529","Muskogee Indep School Dist 20","OK",805103.62,3577.77,3041.1045,"f"
"951544","Ninnekah Indep Sch District 51","OK",83334.21,0,0,"t"
"951548","Norman Public School District","OK",2446618.74,102033.46,69103.917,"f"
"951556","Norwood School District 14","OK",25936.43,0,0,"t"
"951560","Oak Grove School District 104","OK",25782.96,0,0,"f"
"951568","Okarche Indep Sch District 105","OK",53254.09,6219.92,3731.952,"f"
"951574","Oklahoma City School Dist I-89","OK",6234104.87,420960.94,295684.4695,"t"
"951585","Oologah-Talala School Dist I 4","OK",252611.62,11884.01,8318.807,"f"
"951588","Osage Hills","OK",23327.44,2342.56,1874.048,"f"
"951587","Osage School District 43","OK",19951.1,0,0,"f"
"951592","Panama Indep School Dist 20","OK",109424.11,1852.97,1575.0245,"t"
"951594","Paoli Indep School District 5","OK",33916.87,0,0,"f"
"951598","Pawnee Public Schools","OK",109577.58,0,0,"f"
"951276","Peavine School District 19","OK",19183.75,762.05,647.7425,"t"
"951600","Peggs","OK",34070.34,0,0,"f"
"951603","Perry Indep School District 1","OK",164980.25,19617.25,15529.35,"f"
"951608","Plainview Indep School Dist 27","OK",224833.55,10684.7,6722.523,"f"
"951609","Pleasant Grove School Dist 29","OK",45734.06,0,0,"f"
"951613","Ponca City Indep Sch Dist 71","OK",728829.03,2151.77,1724.2375,"f"
"951737","Porter Cons School Dist I-35","OK",79804.4,0,0,"t"
"951622","Preston School District","OK",77809.29,0,0,"f"
"951623","Pretty Water School Dist 34","OK",39902.2,0,0,"f"
"951624","Prue Indep School District 50","OK",56630.43,7588.43,6450.1655,"f"
"951626","Pryor Indep School Dist 1","OK",413601.65,56498.45,44458.281,"f"
"951627","Purcell Indep School Dist 15","OK",221917.62,32192.74,25754.192,"f"
"951631","Quinton Indep School Dist 17","OK",73512.13,0,0,"f"
"951637","Red Oak Indep School Dist 2","OK",45273.65,4197.89,3568.2065,"t"
"951643","Ringwood Indep Sch District 1","OK",58625.54,8313.9,7066.815,"f"
