"esh_id","postal_cd","service_provider_2015","service_provider_2016","bandwidth_in_mbps_2015","contract_end_date_2015","purpose_2015","percent_bw_2015","total_monthly_cost_2015","predominant_sp_2015","exclude_from_analysis","bandwidth_in_mbps_2016","contract_end_date_2016","purpose_2016","percent_bw_2016","total_monthly_cost_2016","predominant_sp_2016","exclude_from_ia_analysis","district_name","locale","num_students_2015","num_students_2016","upgrade","meeting_goals_2015","meeting_goals_2016","sp_bw_per_student_2015","sp_bw_per_student_2016","sp_meeting_goals_2015","sp_meeting_goals_2016","sp_change","Freq","same","override","contract_ended_between_years","affordability_goal_knapsack_2015","district_ia_monthly_cost_per_mbps_2015","affordability_goal_knapsack_2016","district_ia_monthly_cost_per_mbps_2016","district_size","purpose2_2015","purpose2_2016","eligible_for_cost_per_mbps","sp_ia_monthly_cost_per_mbps_2015","sp_ia_monthly_cost_per_mbps_2016","bw.change","bw.change.perc","total.cost.change","total.cost.change.perc","cost.per.mbps.change","cost.per.mbps.change.perc"
881452,"CA","Michael R. Limotta","Michael R. Limotta",4.5,"2017-06-30","Internet",1,2850,TRUE,FALSE,3.088,"2017-06-30","Internet",1,1055.55555555556,TRUE,FALSE,"CUYAMA JOINT UNF","Rural",240,246,FALSE,FALSE,FALSE,18.75,12.5528455284553,FALSE,FALSE,0,NA,NA,NA,FALSE,FALSE,633.333333333333,FALSE,341.824985607369,"Small","Internet","Internet",1,633.33,341.82,-1.412,-0.31,-1794.44444444444,-0.63,-291.51,-0.46
881453,"AR","E. Ritter","E. Ritter",100,"2019-06-30","Internet",1,1500,TRUE,FALSE,250,"2017-06-30","Upstream",1,232,TRUE,FALSE,"RIVERSIDE SCHOOL DISTRICT","Rural",817,809,TRUE,TRUE,TRUE,122.399020807834,309.02348578492,TRUE,TRUE,0,NA,NA,NA,FALSE,TRUE,15,TRUE,2.41385376727357,"Small","Internet","Upstream",NA,NA,NA,150,1.5,-1268,-0.85,NA,NA
881454,"CO","Affiniti","Affiniti",1000,"2016-06-30","Upstream",0.96,1693.06,TRUE,FALSE,1000,"2019-06-30","Upstream",0.98,1599,TRUE,FALSE,"IDALIA RJ-3 SCHOOL DISTRICT","Rural",155,156,FALSE,TRUE,TRUE,6451.61290322581,6410.25641025641,TRUE,TRUE,0,NA,NA,NA,TRUE,TRUE,1.805,TRUE,2.42098654011154,"Small","Upstream","Upstream",1,1.69,1.6,0,0,-94.0599999999999,-0.06,-0.0899999999999999,-0.05
881455,"AZ","GovNET Inc.","GovNET Inc.",20,"2020-06-30","Internet",0.8,600,TRUE,FALSE,20,"2020-06-30","Internet",1,554.52,TRUE,FALSE,"SALOME CONSOLIDATED ELEMENTARY DISTRICT","Rural",98,108,FALSE,TRUE,TRUE,204.081632653061,185.185185185185,TRUE,TRUE,0,NA,NA,NA,FALSE,FALSE,68.6666666666667,FALSE,27.726,"Tiny","Internet","Internet",1,30,27.73,0,0,-45.48,-0.08,-2.27,-0.08
881456,"CA","Citizens Tel","Frontier",200,"2019-06-30","Upstream",1,1768,TRUE,FALSE,200,"2019-06-30","Upstream",1,1977.98,TRUE,FALSE,"FORT SAGE UNF","Rural",197,295,FALSE,TRUE,TRUE,1015.22842639594,677.966101694915,TRUE,TRUE,0,25,1,NA,FALSE,FALSE,25.0183333333333,FALSE,39.7235334363886,"Small","Upstream","Upstream",1,8.84,9.89,0,0,209.98,0.12,1.05,0.12
881458,"CO","Affiniti","Affiniti",1000,"2016-06-30","Upstream",1,1693.06,TRUE,FALSE,1000,"2019-06-30","Upstream",1,1599,TRUE,FALSE,"LIBERTY J-4 SCHOOL DISTRICT","Rural",69,58,FALSE,TRUE,TRUE,14492.7536231884,17241.3793103448,TRUE,TRUE,0,NA,NA,NA,TRUE,TRUE,1.8125,TRUE,2.30642360728075,"Small","Upstream","Upstream",1,1.69,1.6,0,0,-94.0599999999999,-0.06,-0.0899999999999999,-0.05
881462,"AR","Windstream","Windstream",400,"2018-06-30","Internet",0.67,3750,TRUE,FALSE,520,"2017-06-30","Internet, Upstream",0.72,5427.6,TRUE,FALSE,"SHERIDAN SCHOOL DISTRICT","Small Town",4183,4210,TRUE,TRUE,TRUE,95.625149414296,123.515439429929,FALSE,TRUE,0,NA,NA,NA,FALSE,FALSE,9.175,FALSE,12.6606655851796,"Medium","Internet","Both",NA,NA,NA,120,0.3,1677.6,0.45,NA,NA
881464,"AR","CenturyTel","CenturyLink",20,"2019-06-30","Internet",1,1379,TRUE,FALSE,250,"2017-06-30","Upstream",1,928,TRUE,FALSE,"MARMADUKE SCHOOL DISTRICT","Rural",714,733,TRUE,FALSE,TRUE,28.0112044817927,341.06412005457,FALSE,TRUE,0,9,1,NA,FALSE,FALSE,68.95,TRUE,5.05826799927259,"Small","Internet","Upstream",NA,NA,NA,230,11.5,-451,-0.33,NA,NA
881466,"AR","AT&T","AT&T",300,"2017-06-30","Internet",1,2476,TRUE,FALSE,420,"2017-06-30","Internet, Upstream",1,3883.39,TRUE,FALSE,"PARAGOULD SCHOOL DISTRICT","Small Town",2489,2919,TRUE,TRUE,TRUE,120.530333467256,143.884892086331,TRUE,TRUE,0,NA,NA,NA,FALSE,TRUE,8.25333333333333,FALSE,12.4373544548469,"Medium","Internet","Both",NA,NA,NA,120,0.4,1407.39,0.57,NA,NA
881468,"AZ","SC UT Tele","SC UT Tele",100,"2016-06-28","Internet",1,2113.15,TRUE,FALSE,200,"2019-05-17","Internet",1,2860.42,TRUE,FALSE,"COLORADO CITY UNIFIED DISTRICT","Rural",376,421,TRUE,TRUE,TRUE,265.957446808511,475.059382422803,TRUE,TRUE,0,NA,NA,NA,TRUE,FALSE,21.1316666666667,FALSE,14.3021,"Small","Internet","Internet",1,21.13,14.3,100,1,747.27,0.35,-6.83,-0.32
881470,"AR","TCA Communications","TCA Communications",100,"2018-06-30","Internet",1,1800,TRUE,FALSE,100,"2018-06-30","Internet",0.99,1800,TRUE,FALSE,"BATESVILLE SCHOOL DISTRICT","Rural",2914,3015,FALSE,FALSE,FALSE,34.3170899107756,33.167495854063,FALSE,FALSE,0,NA,NA,NA,FALSE,FALSE,18,FALSE,37.3328924851876,"Medium","Internet","Internet",1,18,18,0,0,0,0,0,0
881473,"AZ","Apache Co","Apache Co",25,"2017-06-30","Upstream",1,3060,TRUE,FALSE,30,"2017-06-30","Upstream",1,3060,TRUE,FALSE,"VERNON ELEMENTARY DISTRICT","Rural",112,96,TRUE,TRUE,TRUE,223.214285714286,312.5,TRUE,TRUE,0,NA,NA,NA,FALSE,FALSE,132.669166666667,FALSE,115.966664254329,"Tiny","Upstream","Upstream",1,122.4,102,5,0.2,0,0,-20.4,-0.17
881480,"AZ","Citizens Utilities","Frontier",40,"2020-06-30","Internet",1,2427.57,TRUE,FALSE,40,"2020-06-30","Internet",1,1987.79,TRUE,FALSE,"HEBER-OVERGAARD UNIFIED DISTRICT","Rural",478,475,FALSE,FALSE,FALSE,83.6820083682008,84.2105263157895,FALSE,FALSE,0,NA,NA,1,FALSE,FALSE,60.6891666666667,FALSE,49.69475,"Small","Internet","Internet",1,60.69,49.69,0,0,-439.78,-0.18,-11,-0.18
881483,"AR","TCA Communications","TCA Communications",260,"2016-06-30","Internet",1,11457,TRUE,FALSE,250,"2018-06-30","Internet",0.98,11247,TRUE,FALSE,"NEWPORT SCHOOL DISTRICT","Small Town",1332,1284,FALSE,TRUE,TRUE,195.195195195195,194.704049844237,TRUE,TRUE,0,NA,NA,NA,TRUE,FALSE,44.2108333333333,FALSE,49.0877409618895,"Small","Internet","Internet",1,44.07,44.99,-10,-0.04,-210,-0.02,0.920000000000002,0.02
