QA Switched?,notes,esh_id,service_provider_2015,service_provider_2016,bandwidth_in_mbps_2015,contract_end_date_2015,percent_bw_2015,predominant_sp_2015,exclude_from_analysis,bandwidth_in_mbps_2016,contract_end_date_2016,percent_bw_2016,predominant_sp_2016,exclude_from_ia_analysis,postal_cd,district_name,locale,num_students_2015,num_students_2016,upgrade,meeting_goals_2015,meeting_goals_2016,sp_bw_per_student_2015,sp_bw_per_student_2016,sp_meeting_goals_2015,sp_meeting_goals_2016,sp_change,Freq,same,contract_ended_between_years,affordability_goal_knapsack_2015,ia_monthly_cost_per_mbps_2015,affordability_goal_knapsack_2016,ia_monthly_cost_per_mbps_2016,NOTES
,,882080,EAGLE-Net Alliance,"Zayo Group, LLC",150,6/30/16,1,TRUE,FALSE,200,6/30/19,1,TRUE,FALSE,CO,ESTES PARK SCHOOL DISTRICT R-3,Small Town,1112,1062,TRUE,TRUE,TRUE,134.8920863,188.3239171,TRUE,TRUE,1,13,0,TRUE,TRUE,7.191666667,TRUE,4.85415,Eaglenet and Zayo merged - not sure if it's considered a  switch
,,882093,Yelcot Tele Co,Mountain View,100,6/30/16,1,TRUE,FALSE,250,6/30/17,1,TRUE,FALSE,AR,COTTER SCHOOL DISTRICT,Rural,646,676,TRUE,TRUE,TRUE,154.7987616,369.8224852,TRUE,TRUE,1,NA,NA,TRUE,TRUE,6.184166667,TRUE,4.618928728,
,,882095,NewCloud Networks,"CableCo, LLC",1.5,6/30/16,1,TRUE,FALSE,10,6/30/17,0.87,TRUE,FALSE,CO,PARK COUNTY SCHOOL DISTRICT NO. RE-2,Rural,385,386,TRUE,FALSE,FALSE,3.896103896,25.90673575,FALSE,FALSE,1,NA,NA,TRUE,FALSE,104.3333333,FALSE,79.79559748,
,,882120,TCA Communications,Suddenlink,200,6/30/19,1,TRUE,FALSE,500,6/30/17,1,TRUE,FALSE,AR,DARDANELLE SCHOOL DISTRICT,Small Town,2017,2051,FALSE,TRUE,TRUE,99.15716411,243.7835202,FALSE,TRUE,1,NA,NA,FALSE,FALSE,10.46666667,TRUE,3.641193151,
,,882125,EAGLE-Net Alliance,Cablevision,600,6/30/16,1,TRUE,FALSE,1000,6/30/21,1,TRUE,FALSE,CO,"SCHOOL DISTRICT NO. RE-3, FORT MORGAN",Small Town,2979,2969,TRUE,TRUE,TRUE,201.4098691,336.813742,TRUE,TRUE,1,NA,NA,TRUE,TRUE,4.519166667,TRUE,2.89712,
,,882129,EAGLE-Net Alliance,CenturyLink,1000,6/30/16,1,TRUE,FALSE,1000,6/30/19,1,TRUE,FALSE,CO,"FOUNTAIN, SCHOOL DISTRICT NO. 8, IN THE COUNTY OF EL PASO AN",Suburban,7515,7717,FALSE,TRUE,TRUE,133.0671989,129.5840352,TRUE,TRUE,1,NA,NA,TRUE,FALSE,8.896666667,FALSE,4.95,
,,882138,Jade Communications,Blanca Telephone Company,100,6/30/26,1,TRUE,FALSE,100,6/30/21,1,TRUE,FALSE,CO,SIERRA GRANDE SCHOOL DISTRICT NO. R-30,Rural,270,256,FALSE,TRUE,TRUE,370.3703704,390.625,TRUE,TRUE,1,NA,NA,FALSE,TRUE,10.4,TRUE,7.49,
,,882144,EAGLE-Net Alliance,"Zayo Group, LLC",100,6/30/16,1,TRUE,FALSE,400,6/30/19,1,TRUE,FALSE,CO,WELD COUNTY REORGANIZED SCHOOL DISTRICT NO. RE-1,Rural,1815,1803,TRUE,FALSE,TRUE,55.09641873,221.8524681,FALSE,TRUE,1,13,0,TRUE,TRUE,10.2,TRUE,2.5273,Eaglenet and Zayo merged - not sure if it's considered a  switch
,,882145,Pine Bluff,AT&T,100,6/30/16,1,TRUE,FALSE,500,6/30/17,0.83,TRUE,FALSE,AR,DOLLARWAY SCHOOL DISTRICT,Urban,1299,1296,TRUE,FALSE,TRUE,76.98229407,385.8024691,FALSE,TRUE,1,NA,NA,TRUE,FALSE,12.32,TRUE,4.731049181,
,,882149,Cable Montana,CAP Cable LLC,100,6/30/16,1,TRUE,FALSE,100,6/30/17,1,TRUE,FALSE,CO,GILPIN COUNTY SCHOOL DISTRICT NO. RE-1,Rural,342,380,FALSE,TRUE,TRUE,292.3976608,263.1578947,TRUE,TRUE,1,NA,NA,TRUE,TRUE,4.323333333,TRUE,13,
,,882151,TCA Communications,Suddenlink,100,6/30/17,1,TRUE,FALSE,500,6/30/17,0.83,TRUE,FALSE,AR,DOVER SCHOOL DISTRICT,Rural,1402,1411,TRUE,FALSE,TRUE,71.32667618,354.3586109,FALSE,TRUE,1,NA,NA,FALSE,FALSE,20,FALSE,5.873282763,
,,882195,EAGLE-Net Alliance,"Zayo Group, LLC",60,6/30/16,0.98,TRUE,FALSE,100,6/30/19,0.98,TRUE,FALSE,CO,"HANOVER, SCHOOL DISTRICT NO. 28, IN THE COUNTY OF EL PASO AN",Rural,212,225,TRUE,TRUE,TRUE,283.0188679,444.4444444,TRUE,TRUE,1,13,0,TRUE,FALSE,31.56166667,TRUE,13.22086977,Eaglenet and Zayo merged - not sure if it's considered a  switch
,,882198,South AR Tele,AT&T,1.5,6/30/16,1,TRUE,FALSE,1000,6/30/17,1,TRUE,FALSE,AR,CAMDEN FAIRVIEW SCHOOL DIST.,Small Town,2429,2437,TRUE,FALSE,TRUE,0.617538082,410.3405827,FALSE,TRUE,1,NA,NA,TRUE,FALSE,122.2208333,TRUE,2.335499685,
,,882209,TW Telecom Holdings,CenturyLink,2000,6/30/17,0.83,TRUE,FALSE,2500,6/30/19,1,TRUE,FALSE,CO,"HARRISON, SCHOOL DISTRICT NO. 2, IN THE COUNTY OF EL PASO AN",Urban,8809,10092,TRUE,TRUE,TRUE,227.0405267,247.7209671,TRUE,TRUE,1,NA,NA,FALSE,FALSE,4.704166667,FALSE,5.32784,
,,882218,Citizens Utilities,Frontier,1000,6/30/16,1,TRUE,FALSE,1000,6/30/17,1,TRUE,FALSE,AZ,KINGMAN UNIFIED SCHOOL DISTRICT,Small Town,6957,6836,FALSE,TRUE,TRUE,143.7401179,146.2843768,TRUE,TRUE,1,NA,NA,TRUE,FALSE,6.500833333,FALSE,6.54126,
