"esh_id","service_provider_2016","bandwidth_in_mbps_2016","contract_end_date_2016","purpose_2016","percent_bw_2016","total_monthly_cost_2016","predominant_sp_2016","exclude_from_ia_analysis"
881522,"AT&T",50,"2017-06-30","Upstream",0.04,1067.14,FALSE,FALSE
881526,"Comcast",10000,"2020-06-30","Upstream",1,2181.82,TRUE,FALSE
881528,"Fiber Optic LLC",1000,"2017-06-30","Upstream",1,4775,TRUE,NA
881532,"Nexus Systems, Inc.",250,"2019-06-30","Internet",0.5,2650,FALSE,FALSE
881532,"CenturyLink",250,"2017-06-30","Upstream",0.5,3074,FALSE,FALSE
881533,"AT&T",1000,"2018-06-30","Upstream",1,903.73,TRUE,FALSE
881539,"E. Ritter",500,"2017-06-30","Upstream",1,363,TRUE,FALSE
881542,"AT&T",50,"2018-06-30","Upstream",1,1006.37,TRUE,FALSE
881543,"Affiniti",1000,"2019-06-30","Upstream",1,1599,TRUE,NA
881545,"AireArk Inc",100,"2017-06-30","Internet",0.4,1199.99,FALSE,TRUE
881545,"South AR Tele",150,"2017-06-30","Upstream",0.6,348,TRUE,TRUE
881548,"Comcast",1000,"2021-06-30","Upstream",1,2939.52,TRUE,FALSE
881549,"Cox",100,"2020-06-30","Internet",1,309,TRUE,FALSE
881550,"South AR Tele",100,"2017-06-30","Upstream",1,116,TRUE,NA
881554,"LACOE",1000,"2017-06-30","Internet",1,0,TRUE,FALSE
881558,"Frazier Mountain",10,"2017-06-30","Internet",0,1100,FALSE,TRUE
881558,"AT&T",3000,"2020-06-30","Upstream",1,10284.36,TRUE,TRUE
881560,"Windstream",150,"2017-06-30","Upstream",1,1891.1,TRUE,FALSE
881562,"Cox",80,"2019-06-30","Internet",1,434,TRUE,FALSE
881564,"AT&T",2000,"2017-06-30","Upstream",1,1206,TRUE,NA
881566,"TW Telecom Holdings",30,"2017-06-30","Internet",1,1193.19,TRUE,FALSE
881567,"Comcast",50,"2017-06-30","Internet",1,222.05,TRUE,NA
881568,"E. Ritter",100,"2017-06-30","Upstream",1,174,TRUE,NA
881573,"Computer Sciences",500,"2021-06-30","Internet",1,3698.02,TRUE,FALSE
881574,"Charter",5000,"2018-06-30","Internet",1,12144.6,TRUE,FALSE
881577,"Sunesys, LLC",1000,"2018-07-31","Upstream",1,1548.18,TRUE,FALSE
881578,"Computer Sciences",250,"2021-06-30","Internet",1,2891.08,TRUE,FALSE
881580,"Comcast",100,"2017-06-30","Internet",1,206.9,TRUE,NA
881583,"Sunesys, LLC",1000,"2018-09-30","Upstream",1,2000,TRUE,FALSE
881584,"Computer Sciences",750,"2021-06-30","Internet",1,5447.51,TRUE,FALSE
881585,"Windstream",20,"2017-06-30","Internet",1,863.12,TRUE,FALSE
881587,"GC Pivotal, LLC",100,"2021-06-30","Upstream",1,4478.86,TRUE,FALSE
881588,"Computer Sciences",1000,"2021-06-30","Internet",1,4808.82,TRUE,FALSE
881589,"Windstream",100,"2017-06-30","Upstream",1,1158.84,TRUE,NA
881590,"Cox",50,"2019-07-30","Internet",1,261,TRUE,FALSE
881591,"LACOE",10000,"2019-06-30","Internet",1,0,TRUE,FALSE
881594,"Windstream",100,"2017-06-30","Upstream",1,829.47,TRUE,NA
881597,"Comcast",2000,"2021-06-30","Upstream",1,1881.26,TRUE,FALSE
881598,"E. Ritter",100,"2017-06-30","Upstream",0.93,174,TRUE,NA
881598,"AT&T",8,"2017-06-30","Upstream",0.07,686.48,FALSE,NA
881601,"AT&T",250,"2018-02-10","Upstream",1,1032.11,TRUE,FALSE
881602,"AT&T",3,"2017-06-30","Upstream",1,1130.05,TRUE,TRUE
881605,"CVIN, LLC",200,"2017-06-30","Upstream",1,2809.2,TRUE,FALSE
881606,"Nexus Systems, Inc.",200,"2019-06-30","Internet",0.98,2960,TRUE,FALSE
881606,"AT&T",4.5,"2017-06-30","Upstream",0.02,1580.37,FALSE,FALSE
