"models","total_funding","erate_funding","district_portion","total_funding_per_student","erate_funding_per_student","district_portion_per_student","districts_meeting","students_meeting_goals_extrap"
"Today",2859542376.08384,2081600103.64153,777942272.442311,61.5792642289028,44.8265442306895,16.7527199982133,0.883806374575181,34822592.4907999
"Pai OOP",2050703385.15412,1538027538.86559,512675846.288531,44.1611939958216,33.1208954968662,11.0402984989554,0.679250482226509,29273486.6070797
"Same OOP",2859542376.08384,1791255478.23491,1068286897.84894,61.5792642289028,38.5740723124933,23.0051919164095,0.883806374575181,34783164.9905265
"Pay to Keep BW",2315969811.3079,1538027538.86559,777942272.442311,49.8736154950795,33.1208954968662,16.7527199982133,0.773123909249564,30612185.9669022
