"locale","cost_constant_total_per_student","bw_constant_total_per_student","max_cost_total_per_student","current_total_per_student","cost_constant_erate_per_student","bw_constant_erate_per_student","max_cost_erate_per_student","current_erate_per_student","cost_constant_dist_per_student","bw_constant_dist_per_student","max_cost_dist_per_student","current_dist_per_student"
"Rural",63.9124866517527,90.9964613731008,68.7034436960042,90.9964613731008,47.9343649888146,53.101925938488,47.9343649888145,70.2273826659112,15.9781216629382,37.8945354346129,20.7690787071896,20.7690787071896
"Suburban",38.3827638333673,53.3950234329881,47.3895942897435,53.3950234329881,28.7870728750255,32.3037840045445,28.7870728750255,34.79250201827,9.59569095834183,21.0912394284436,18.602521414718,18.602521414718
"Town",56.1926934604257,69.1881266261644,57.6467997212466,69.1881266261644,42.1445200953193,48.5023318470883,42.1445200953193,53.6858470002371,14.0481733651064,20.6857947790761,15.5022796259273,15.5022796259273
"Urban",38.139153887375,55.9447370001469,41.2312196040994,55.9447370001469,28.6043654155312,36.6129398565565,28.6043654155312,43.3178828115788,9.53478847184374,19.3317971435904,12.6268541885681,12.6268541885681
