line_item_id,ben,bandwidth_in_mbps,num_students,connect_category,providers_typical_category,consultant_app,consultants_cat,total_cost,num_lines,frn_complete,copper_line,exception_not_fiber,likely_other_uncategorized,likely_wan_fiber,wan_fiber_3_lines,wireless_service,ia_circuit_only,isp_conditions_met,upstream_conditions_met,postal_cd,esh_id,district_name,other_location,nces_cd,num_of_services,highest_connect_type,free_and_reduced,cost_per_line
143719,132723,97.0,1195,Other / Uncategorized,Other / Uncategorized,false,N/A,11285.0,1,2751880-1,false,true,true,false,false,false,true,true,false,WI,983803,CHILTON SCHOOL DISTRICT,false,5502520,3,Fiber,401,11285.0
143729,132886,700.0,2059,Other / Uncategorized,Other / Uncategorized,false,N/A,28200.0,2,2758727-1,false,false,false,true,false,false,false,false,false,WI,984189,SHOREWOOD SCHOOL DISTRICT,false,5513800,4,Fiber,401,14100.0
143745,132886,250.0,2059,Fiber,Fiber,false,N/A,47064.0,1,2761169-1,false,false,true,false,false,false,false,false,false,WI,984189,SHOREWOOD SCHOOL DISTRICT,false,5513800,4,Fiber,401,47064.0
143767,132836,100.0,118,Other / Uncategorized,Other / Uncategorized,false,N/A,6500.04,1,2776096-1,false,true,true,false,false,false,true,true,false,WI,983996,LINN J6 SCHOOL DISTRICT,false,5508070,2,Fiber,40,6500.04
143783,133307,45.0,567,Other / Uncategorized,Other / Uncategorized,true,Other / Uncategorized,7500.0,1,2774292-1,true,true,true,false,false,false,true,true,false,WI,983735,BANGOR SCHOOL DISTRICT,false,5500780,3,Fiber,179,7500.0
143790,132997,100.0,279,Other / Uncategorized,Other / Uncategorized,false,N/A,6500.04,1,2775653-1,false,true,true,false,false,false,true,true,false,WI,984179,SHARON J11 SCHOOL DISTRICT,false,5513560,2,Fiber,173,6500.04
143797,133322,1000.0,3829,Other / Uncategorized,Other / Uncategorized,false,N/A,15600.0,1,2777750-1,false,true,true,false,false,false,true,true,false,WI,983953,HOLMEN SCHOOL DISTRICT,false,5506540,8,Fiber,1177,15600.0
143802,132840,100.0,111,Other / Uncategorized,Other / Uncategorized,false,N/A,6500.04,1,2780350-1,false,true,true,false,false,false,true,true,false,WI,983994,LINN J4 SCHOOL DISTRICT,false,5508040,2,Fiber,57,6500.04
143859,132869,50.0,190,Fiber,Other / Uncategorized,true,Fiber,5000.0,1,2780527-1,false,false,true,false,false,false,false,false,false,WI,984253,WASHINGTON-CALDWELL SCHOOL DISTRICT,false,5515700,2,Fiber,23,5000.0
143861,133500,50.0,1052,Fiber,Fiber,false,N/A,13200.0,1,2779456-1,false,false,false,true,false,false,false,false,false,WI,984160,ROSENDALE-BRANDON SCHOOL DISTRICT,false,5513100,3,Fiber,261,13200.0
143865,132898,500.0,1622,Fiber,Fiber,true,Fiber,59400.0,4,2773393-1,false,false,false,true,true,false,false,false,false,WI,983773,BROWN DEER SCHOOL DISTRICT,false,5501800,4,Fiber,667,14850.0
143881,133322,1000.0,3829,Fiber,Fiber,false,N/A,71280.0,7,2778644-1,false,false,false,true,true,false,false,false,false,WI,983953,HOLMEN SCHOOL DISTRICT,false,5506540,8,Fiber,1177,10182.857142857143
144124,139544,1000.0,25097,Fiber,Other / Uncategorized,true,Fiber,81828.0,1,2747442-1,false,false,true,false,false,false,false,false,false,AR,882469,LITTLE ROCK SCHOOL DISTRICT,false,0509000,480,Fiber,0,81828.0
144125,139553,200.0,2633,Fiber,Fiber,false,N/A,35397.0,1,2737129-1,false,false,true,false,false,false,false,false,false,AR,881968,BLYTHEVILLE SCHOOL DISTRICT,false,0503320,252,Fiber,0,35397.0
144131,139544,1000.0,25097,Fiber,Fiber,true,Fiber,1137907.68,56,2735842-1,false,false,false,true,true,false,false,false,false,AR,882469,LITTLE ROCK SCHOOL DISTRICT,false,0509000,480,Fiber,0,20319.78
144141,139454,5.0,356,Other / Uncategorized,Fiber,true,Other / Uncategorized,6216.0,1,2771945-1,false,false,true,false,false,false,false,false,false,AR,882441,KIRBY SCHOOL DISTRICT,false,0508490,367,Insufficient data,0,6216.0
144142,139454,6.0,356,Other / Uncategorized,Fiber,true,Other / Uncategorized,719.88,1,2771945-3,false,false,true,false,false,false,false,false,false,AR,882441,KIRBY SCHOOL DISTRICT,false,0508490,367,Insufficient data,0,719.88
144268,143760,1000.0,3233,Fiber,Fiber,true,Fiber,120000.0,5,2738174-1,false,false,false,true,true,false,false,false,false,CA,883859,ROMOLAND ELEM,false,0633390,313,Fiber,0,24000.0
144417,144429,100.0,659,Fiber,Fiber,true,Fiber,12000.0,1,2777104-2,false,false,false,false,false,false,false,false,true,CA,883093,CHATOM UNION,false,0608250,312,Fiber,0,12000.0
144418,144429,100.0,659,Fiber,Fiber,true,Fiber,26746.8,2,2777104-1,false,false,false,true,false,false,false,false,false,CA,883093,CHATOM UNION,false,0608250,312,Fiber,0,13373.4
144419,144429,100.0,659,Other / Uncategorized,Other / Uncategorized,true,Other / Uncategorized,10000.0,1,2777124-1,false,true,true,false,false,false,true,true,false,CA,883093,CHATOM UNION,false,0608250,312,Fiber,0,10000.0
144786,142250,100.0,1547,Other / Uncategorized,Fiber,false,N/A,10442.4,1,2782424-1,false,false,true,false,false,false,false,false,false,CO,881861,"SCHOOL DISTRICT NO. RE-2, BRUSH",false,0802610,5,Fiber,0,10442.4
144791,122536,1000.0,6019,Fiber,Fiber,true,Fiber,224683.32,11,2783218-1,false,false,false,true,true,false,false,false,false,CT,884342,WEST HAVEN SCHOOL DISTRICT,false,0904950,11,Fiber,0,20425.756363636363
144792,122593,100.0,4355,Fiber,Fiber,true,Fiber,52284.0,1,2781284-1,false,false,true,false,false,false,false,false,false,CT,884332,TORRINGTON SCHOOL DISTRICT,false,0904590,9,Fiber,0,52284.0
144796,122299,15.0,4277,Cable / DSL,Fiber,true,Cable / DSL,22281.12,8,2782535-1,false,false,false,false,false,false,false,false,false,CT,884319,SOUTH WINDSOR SCHOOL DISTRICT,false,0904170,18,Fiber,0,2785.14
144798,122321,1000.0,667,Fiber,Fiber,true,Fiber,10800.0,3,2781711-1,false,false,false,true,false,false,false,false,false,CT,884349,WINCHESTER SCHOOL DISTRICT,false,0905160,4,Fiber,0,3600.0
144810,122601,1000.0,1922,Fiber,Fiber,true,Fiber,49152.0,4,2781670-1,false,false,false,true,true,false,false,false,false,CT,884295,REGIONAL SCHOOL DISTRICT 14,false,0903536,5,Fiber,0,12288.0
144825,122299,1000.0,4277,Fiber,Fiber,true,Fiber,21216.0,1,2782647-1,false,false,false,true,false,false,false,false,false,CT,884319,SOUTH WINDSOR SCHOOL DISTRICT,false,0904170,18,Fiber,0,21216.0
144829,122536,16.0,6019,Cable / DSL,Fiber,true,Cable / DSL,14962.56,2,2783177-1,false,false,true,false,false,false,false,false,false,CT,884342,WEST HAVEN SCHOOL DISTRICT,false,0904950,11,Fiber,0,7481.28
