"","verified_category","predicted_category","raw_category","test_data.frn_complete","guessed_correctly"
"1273","Fiber","Fiber","Fiber","2736564-4",TRUE
"1275","Cable / DSL","Cable / DSL","Cable / DSL","2736585-1",TRUE
"1277","Fiber","Fiber","Other / Uncategorized","2736638-1",TRUE
"1294","Fiber","Fiber","Fiber","2736861-1",TRUE
"1320","Fiber","Fiber","Other / Uncategorized","2737310-2",TRUE
"1322","Other / Uncategorized","Other / Uncategorized","Other / Uncategorized","2737326-1",TRUE
"1330","Fiber","Fiber","Fiber","2737438-1",TRUE
"1336","Fiber","Fiber","Fiber","2737549-1",TRUE
"1337","Fiber","Fiber","Fiber","2737566-1",TRUE
"1340","Fiber","Fiber","Fiber","2737604-1",TRUE
"1342","Fiber","Fiber","Fiber","2737642-1",TRUE
"1345","Fiber","Fiber","Fiber","2737786-1",TRUE
"1352","Fiber","Fiber","Fiber","2737844-1",TRUE
"1355","Fiber","Fiber","Other / Uncategorized","2737990-1",TRUE
"1356","Fiber","Fiber","Cable / DSL","2738001-1",TRUE
"1357","Fiber","Fiber","Fiber","2738094-1",TRUE
"1362","Fiber","Fiber","Cable / DSL","2738180-1",TRUE
"1365","Fiber","Fiber","Cable / DSL","2738240-1",TRUE
"1370","Fiber","Fiber","Fiber","2738301-1",TRUE
"1375","Fiber","Fiber","Fiber","2738361-1",TRUE
"1376","Cable / DSL","Cable / DSL","Other / Uncategorized","2738383-1",TRUE
"1389","Other / Uncategorized","Other / Uncategorized","Other / Uncategorized","2738558-1",TRUE
"1391","Fiber","Fiber","Fiber","2738576-1",TRUE
"1396","Fiber","Fiber","Other / Uncategorized","2738696-1",TRUE
"1400","Fiber","Fiber","Fiber","2738776-1",TRUE
"1402","Other / Uncategorized","Other / Uncategorized","Other / Uncategorized","2738806-1",TRUE
"1404","Cable / DSL","Cable / DSL","Cable / DSL","2738818-2",TRUE
"1405","Fiber","Fiber","Fiber","2738822-1",TRUE
"1422","Other / Uncategorized","Other / Uncategorized","Fiber","2739004-1",TRUE
"1447","Fixed Wireless","Fixed Wireless","Fixed Wireless","2739431-1",TRUE
"1455","Fiber","Fiber","Other / Uncategorized","2739591-1",TRUE
"1466","Cable / DSL","Cable / DSL","Cable / DSL","2739708-1",TRUE
"1485","Fiber","Fiber","Fiber","2739931-1",TRUE
"1498","Fixed Wireless","Fixed Wireless","Other / Uncategorized","2740044-4",TRUE
"1516","Other / Uncategorized","Other / Uncategorized","Fiber","2740124-2",TRUE
"1521","Other / Uncategorized","Other / Uncategorized","Fiber","2740222-1",TRUE
"1524","Other / Uncategorized","Other / Uncategorized","Other / Uncategorized","2740273-1",TRUE
"1530","Fiber","Fiber","Fiber","2740316-1",TRUE
"1534","Fiber","Fiber","Other / Uncategorized","2740380-1",TRUE
"1552","Fiber","Fiber","Fiber","2740601-1",TRUE
"1555","Fixed Wireless","Fixed Wireless","Other / Uncategorized","2740732-1",TRUE
"1557","Fiber","Fiber","Fiber","2740865-1",TRUE
"1559","Fiber","Fiber","Fiber","2740875-1",TRUE
"1563","Cable / DSL","Cable / DSL","Cable / DSL","2740902-1",TRUE
"1565","Fiber","Fiber","Fiber","2740957-2",TRUE
"1566","Copper","Copper","Copper","2740957-3",TRUE
"1571","Fiber","Fiber","Other / Uncategorized","2741038-1",TRUE
"1575","Fiber","Fiber","Fiber","2741061-1",TRUE
"1576","Copper","Copper","Fiber","2741064-1",TRUE
"1577","Fiber","Fiber","Fiber","2741067-1",TRUE
"1578","Other / Uncategorized","Other / Uncategorized","Fiber","2741068-1",TRUE
"1584","Copper","Copper","Copper","2741178-1",TRUE
"1591","Fiber","Fiber","Fiber","2741245-2",TRUE
"1594","Fiber","Fiber","Fiber","2741261-2",TRUE
"1601","Fiber","Fiber","Other / Uncategorized","2741334-1",TRUE
"1603","Fiber","Fiber","Fiber","2741368-1",TRUE
"1619","Fiber","Fiber","Fiber","2741629-1",TRUE
"1627","Fiber","Fiber","Fiber","2741696-2",TRUE
"1629","Fiber","Fiber","Cable / DSL","2741707-2",TRUE
"1633","Fiber","Fiber","Fiber","2741751-1",TRUE
