line_item_id,ben,bandwidth_in_mbps,num_students,connect_category,providers_typical_category,consultant_app,consultants_cat,total_cost,num_lines,frn_complete,copper_line,exception_not_fiber,likely_other_uncategorized,likely_wan_fiber,wan_fiber_3_lines,wireless_service,ia_circuit_only,isp_conditions_met,upstream_conditions_met,postal_cd,esh_id,district_name,other_location,other_location_no_district,nces_cd,num_of_services,highest_connect_type,free_and_reduced,entity_type,cost_per_line
193297,136880,1000.0,11723,Fiber,Fiber,true,Fiber,79125.0,26,2770198-1,false,false,false,true,true,false,false,false,false,MO,924224,FERGUSON-FLORISSANT R-II,false,false,2912010,93,Fiber,7896,District,3043.269230769231
193407,136880,2000.0,11723,Fiber,Fiber,true,Fiber,132000.0,1,2770208-1,false,false,true,false,false,false,false,false,false,MO,924224,FERGUSON-FLORISSANT R-II,false,false,2912010,93,Fiber,7896,District,132000.0
193408,136880,1000.0,11723,Fiber,Fiber,true,Fiber,279390.06,26,2776390-1,false,false,false,true,true,false,false,false,false,MO,924224,FERGUSON-FLORISSANT R-II,false,false,2912010,93,Fiber,7896,District,10745.771538461539
193410,,25.0,0,Other / Uncategorized,Fiber,true,Other / Uncategorized,8635.08,0,2781012-1,false,false,true,false,false,false,false,false,false,MO,,,true,true,,0,unknown,0,OtherLocation,0
193412,,100.0,0,Cable / DSL,Fiber,false,N/A,1319.76,1,2791462-1,false,false,true,false,false,false,false,false,false,MO,,,true,true,,0,unknown,0,OtherLocation,1319.76
193416,,100.0,0,Cable / DSL,Fiber,true,Cable / DSL,4140.0,0,2794130-1,false,false,true,false,false,false,false,false,false,MO,,,true,true,,0,unknown,0,OtherLocation,0
193576,137436,20.0,76,Fiber,Fiber,true,Fiber,18000.0,1,2798809-1,false,false,true,false,false,false,false,false,false,MO,924586,SWEDEBORG R-III,false,false,2929850,1,Fiber,27,District,18000.0
193583,,10.0,0,Cable / DSL,Cable / DSL,true,Cable / DSL,719.4,1,2802800-1,false,false,true,false,false,false,false,false,false,MO,,,true,true,,0,unknown,0,OtherLocation,719.4
193610,,50.0,0,Cable / DSL,Fiber,true,Cable / DSL,714.0,1,2803325-1,false,false,true,false,false,false,false,false,false,MO,,,true,true,,0,unknown,0,OtherLocation,714.0
193614,,300.0,0,Fiber,Fiber,true,Fiber,23964.0,1,2781027-1,false,false,true,false,false,false,false,false,false,MO,,,true,true,,0,unknown,0,OtherLocation,23964.0
193646,137125,750.0,11549,Fiber,Fiber,false,N/A,383468.64,2,2802720-1,false,false,false,true,false,false,false,false,false,MO,924348,LIBERTY 53,false,false,2918540,51,Fiber,2360,District,191734.32
193980,143363,50.0,139,Other / Uncategorized,Other / Uncategorized,true,Other / Uncategorized,2399.4,1,2769437-1,false,false,true,false,false,false,false,false,false,NM,942881,CARRIZOZO MUNICIPAL SCHOOLS,false,false,3500330,2,Fiber,124,District,2399.4
201632,,50.0,0,Fiber,Fiber,true,Fiber,16800.0,1,2749660-1,false,false,true,false,false,false,false,false,false,MO,,,true,true,,0,unknown,0,OtherLocation,16800.0
201635,137412,10000.0,4473,Fiber,Fiber,true,Fiber,16200.0,9,2756369-1,false,false,false,true,true,false,false,false,false,MO,924337,LEBANON R-III,false,false,2918270,49,Fiber,2553,District,1800.0
201637,137109,10000.0,3846,Fiber,Fiber,true,Fiber,114000.0,7,2773138-1,false,false,false,true,true,false,false,false,false,MO,924246,GRAIN VALLEY R-V,false,false,2913080,47,Fiber,856,District,16285.714285714286
201693,137273,100.0,1353,Fiber,Cable / DSL,false,N/A,9780.0,1,2799634-1,false,false,false,true,false,false,false,false,false,MO,924329,LAMAR R-I,false,false,2917850,41,Fiber,722,District,9780.0
201706,136964,10.0,732,Other / Uncategorized,Fiber,false,N/A,1800.0,1,2798897-2,false,false,true,false,false,false,true,true,false,MO,924494,RALLS CO. R-II,false,false,2925710,4,Fiber,366,District,1800.0
201721,136964,1000.0,732,Fiber,Fiber,false,N/A,13500.0,4,2798897-1,false,false,false,true,true,false,false,false,false,MO,924494,RALLS CO. R-II,false,false,2925710,4,Fiber,366,District,3375.0
201723,137495,1.5,1462,Cable / DSL,Other / Uncategorized,false,N/A,636.0,1,2801713-1,true,false,true,false,false,false,false,false,false,MO,924408,MT. VERNON R-V,false,false,2921600,2,Fiber,773,District,636.0
201725,137039,10.0,4814,Fiber,Fiber,false,N/A,8640.0,1,2800648-1,false,false,true,false,false,false,false,false,false,MO,924300,JACKSON R-II,false,false,2915600,45,Fiber,1643,District,8640.0
