line_item_id,ben,bandwidth_in_mbps,num_students,connect_category,providers_typical_category,consultant_app,consultants_cat,total_cost,num_lines,frn_complete,copper_line,exception_not_fiber,likely_other_uncategorized,likely_wan_fiber,wan_fiber_3_lines,wireless_service,ia_circuit_only,isp_conditions_met,upstream_conditions_met,postal_cd,esh_id,district_name,other_location,nces_cd,num_of_services,highest_connect_type,free_and_reduced,cost_per_line
117554,140603,100.0,619,Fiber,Fiber,false,N/A,28740.0,1,2733725-1,false,false,true,false,false,false,false,false,false,TX,969055,BLAND ISD,false,4810350,4,Fiber,350,28740.0
117555,142049,500.0,3619,Other / Uncategorized,Other / Uncategorized,true,Other / Uncategorized,97404.0,1,2733727-1,false,true,true,false,false,false,true,true,false,TX,968989,ANDREWS ISD,false,4808280,36,Fiber,1489,97404.0
117561,141911,41.0,513,Other / Uncategorized,Other / Uncategorized,false,N/A,39852.0,1,2733593-1,false,true,true,false,false,false,true,true,false,TX,969640,LOCKNEY ISD,false,4827890,110,Fiber,354,39852.0
117562,141610,50.0,1345,Fiber,Other / Uncategorized,true,Fiber,24396.0,1,2733602-1,false,true,true,false,false,false,false,false,false,TX,969977,SAN DIEGO ISD,false,4838820,25,Fiber,1058,24396.0
117574,141277,25.0,2087,Fixed Wireless,Fixed Wireless,true,Fixed Wireless,57420.0,1,2739437-2,false,false,false,false,false,true,false,false,false,TX,969041,BELLVILLE ISD,false,4809810,4,Fixed Wireless,971,57420.0
117575,141277,20.0,2087,Fixed Wireless,Fixed Wireless,true,Fixed Wireless,29136.0,1,2739437-1,false,false,true,false,false,true,false,false,false,TX,969041,BELLVILLE ISD,false,4809810,4,Fixed Wireless,971,29136.0
117587,141880,50.0,589,Fiber,Other / Uncategorized,true,Fiber,8000.0,1,2744946-1,false,true,true,false,false,false,false,false,false,TX,970176,WELLINGTON ISD,false,4844890,25,Fiber,387,8000.0
117591,141870,40.0,639,Copper,Other / Uncategorized,false,N/A,4000.0,1,2744765-1,false,true,true,false,false,false,false,false,false,TX,970069,PLEMONS-STINNETT-PHILLIPS CISD,false,4841580,24,Insufficient data,258,4000.0
117596,141669,10000.0,4760,Fiber,Fiber,false,N/A,47229.12,6,2750969-1,false,false,false,true,true,false,false,false,false,TX,970144,VALLEY VIEW ISD,false,4843800,19,Fiber,4421,7871.52
117601,140457,500.0,42707,Fiber,Fiber,true,Fiber,33600.0,1,2750012-2,false,false,true,false,false,false,false,false,false,TX,969367,FRISCO ISD,false,4820010,13,Fiber,5132,33600.0
117602,140457,1000.0,42707,Fiber,Fiber,true,Fiber,117000.0,2,2750012-1,false,false,true,false,false,false,false,false,false,TX,969367,FRISCO ISD,false,4820010,13,Fiber,5132,58500.0
117603,141331,30.0,180,Other / Uncategorized,Fixed Wireless,true,Other / Uncategorized,37440.0,1,2750746-1,false,false,true,false,false,false,false,false,false,TX,969269,DEVERS ISD,false,4816920,2,Insufficient data,67,37440.0
117604,140807,50.0,928,Other / Uncategorized,Copper,true,Other / Uncategorized,41400.0,1,2752935-1,false,true,true,false,false,false,true,true,false,TX,969468,HEMPHILL ISD,false,4822890,24,Insufficient data,576,41400.0
117605,16060897,100.0,572,Other / Uncategorized,Copper,false,N/A,53340.0,1,2753564-1,false,true,true,false,false,false,true,true,false,TX,970097,TENAHA ISD,false,4842360,18,Insufficient data,483,53340.0
117608,141945,1000.0,1429,Fiber,Other / Uncategorized,false,N/A,6611.64,1,2741866-1,false,false,false,true,false,false,false,false,false,TX,969636,LITTLEFIELD ISD,false,4827750,110,Fiber,1080,6611.64
117609,,10.0,804,Other / Uncategorized,Fiber,true,Other / Uncategorized,17760.0,1,2741873-1,false,false,true,false,false,false,true,true,false,TX,,,false,,,,0,17760.0
117610,,20.0,804,Other / Uncategorized,Fiber,true,Other / Uncategorized,23040.0,1,2741873-2,false,false,true,false,false,false,true,true,false,TX,,,false,,,,0,23040.0
117612,141884,50.0,140,Fiber,Other / Uncategorized,true,Fiber,65199.96,1,2741393-1,false,true,true,false,false,false,false,false,false,TX,969550,KELTON ISD,false,4825290,25,Fiber,60,65199.96
117619,141102,100.0,384,Fixed Wireless,Fiber,false,N/A,23760.0,1,2723573-1,false,false,true,false,false,true,false,false,false,TX,969368,FROST ISD,false,4820040,1,Fixed Wireless,215,23760.0
117626,,100.0,0,Fiber,Fiber,true,Fiber,7200.0,1,2733765-1,false,false,false,false,false,false,false,false,true,TX,,,false,,,,0,7200.0
117627,,100.0,0,Other / Uncategorized,Other / Uncategorized,true,Other / Uncategorized,14757.12,1,2733770-2,false,false,false,false,false,false,true,false,false,TX,,,false,,,,0,14757.12
117628,,60.0,0,Other / Uncategorized,Other / Uncategorized,true,Other / Uncategorized,3312.0,1,2733770-1,false,false,false,false,false,false,true,false,false,TX,,,false,,,,0,3312.0
117630,141306,200.0,3009,Fiber,Fiber,true,Fiber,30000.0,1,2726804-1,false,false,true,false,false,false,false,false,false,TX,969194,COLUMBIA-BRAZORIA ISD,false,4814670,2,Fiber,1577,30000.0
117636,141856,94.0,3676,Other / Uncategorized,Other / Uncategorized,true,Other / Uncategorized,97440.0,1,2724817-1,false,true,true,false,false,false,true,true,false,TX,969836,PAMPA ISD,false,4834170,34,Insufficient data,2088,97440.0
117638,141856,5.0,3676,Other / Uncategorized,Other / Uncategorized,true,Other / Uncategorized,3699.96,1,2724819-1,false,true,true,false,false,false,false,false,false,TX,969836,PAMPA ISD,false,4834170,34,Insufficient data,2088,3699.96
117639,141316,0.0,18886,Fiber,Other / Uncategorized,false,N/A,6500.0,1,2724828-1,false,true,false,false,false,false,false,false,false,TX,968982,ALVIN ISD,false,4808090,4,Fiber,9739,6500.0
117640,141986,100.0,29219,Other / Uncategorized,Fiber,false,N/A,4920.0,1,2722796-1,false,false,false,false,false,false,false,false,false,TX,969657,LUBBOCK ISD,false,4828500,54,Fiber,19291,4920.0
117641,141563,50.0,1841,Fiber,Fiber,true,Fiber,3108.0,1,2722675-1,false,false,true,false,false,false,false,false,false,TX,969001,ARANSAS PASS ISD,false,4808580,2,Fiber,1241,3108.0
117642,141563,100.0,1841,Fiber,Fiber,true,Fiber,32760.0,1,2722675-2,false,false,true,false,false,false,false,false,false,TX,969001,ARANSAS PASS ISD,false,4808580,2,Fiber,1241,32760.0
117644,140648,100.0,805,Other / Uncategorized,Other / Uncategorized,true,Other / Uncategorized,50760.0,1,2732726-1,false,false,true,false,false,false,true,true,false,TX,969629,LINDEN-KILDARE CISD,false,4827540,10,Fixed Wireless,568,50760.0
117649,140738,10000.0,406,Fiber,Fiber,true,Fiber,10749.96,1,2740453-1,false,false,false,true,false,false,false,false,false,TX,969770,NECHES ISD,false,4832250,27,Fiber,168,10749.96
117650,140738,50.0,406,Other / Uncategorized,Copper,true,Other / Uncategorized,12000.0,1,2740465-1,false,true,true,false,false,false,true,true,false,TX,969770,NECHES ISD,false,4832250,27,Fiber,168,12000.0
117653,140972,30.0,887,Other / Uncategorized,Other / Uncategorized,false,N/A,15600.0,1,2744802-1,false,true,true,false,false,false,true,true,false,TX,969485,HOLLIDAY ISD,false,4823400,25,Fiber,269,15600.0
117657,141253,100.0,187,Fiber,Fiber,true,Fiber,42600.0,1,2745468-1,false,true,true,false,false,false,false,false,false,TX,969615,LEGGETT ISD,false,4827120,25,Fiber,154,42600.0
117658,141957,80.0,447,Other / Uncategorized,Other / Uncategorized,true,Other / Uncategorized,72000.0,1,2745598-1,false,true,true,false,false,false,true,true,false,TX,969862,PLAINS ISD,false,4835040,109,Fiber,302,72000.0
117659,141036,20.0,203,Fiber,Other / Uncategorized,false,N/A,11220.0,1,2745131-1,false,false,true,false,false,false,false,false,false,TX,970112,THROCKMORTON ISD,false,4842780,24,Fiber,115,11220.0
117661,140809,750.0,1735,Fiber,Fiber,true,Fiber,99000.0,1,2746086-1,false,false,true,false,false,false,false,false,false,TX,969506,HUNTINGTON ISD,false,4824000,5,Fiber,904,99000.0
117663,141976,25.0,163,Other / Uncategorized,Other / Uncategorized,true,Other / Uncategorized,25500.0,1,2747384-1,false,true,true,false,false,false,true,true,false,TX,969253,DAWSON ISD,false,4816350,86,Fiber,80,25500.0
117664,141331,1.5,180,Fiber,Other / Uncategorized,true,Fiber,6491.04,1,2747390-1,true,true,true,false,false,false,false,false,false,TX,969269,DEVERS ISD,false,4816920,2,Insufficient data,67,6491.04
117673,,768.0,498,Cable / DSL,Fiber,false,N/A,35982.0,30,2754653-1,false,false,true,false,false,false,false,false,false,TX,,,false,,,,0,1199.4
117675,,30.0,,Cable / DSL,Fiber,true,Cable / DSL,1800.0,1,2755341-1,false,false,true,false,false,false,false,false,false,TX,,,true,,,,0,1800.0
117682,141715,200.0,16568,Fiber,Fiber,false,N/A,19200.0,1,2742063-1,false,false,true,false,false,false,false,false,false,TX,968680,HAYS CISD,false,4800010,26,Fiber,7614,19200.0
117683,141715,1000.0,16568,Fiber,Fiber,false,N/A,9000.0,1,2742070-1,false,false,false,true,false,false,false,false,false,TX,968680,HAYS CISD,false,4800010,26,Fiber,7614,9000.0
117685,,50.0,,Other / Uncategorized,Other / Uncategorized,true,Other / Uncategorized,48600.0,1,2742118-1,false,true,true,false,false,false,true,true,false,TX,,,false,,,,0,48600.0
