,verified_category,predicted_category,raw_category,frn_complete,guessed_correct,cleaned_line_item,made_line_item_dirty,,
111,Fiber,Fiber,Fiber,2737287-1,TRUE,FALSE,FALSE,,
112,Fiber,Fiber,Fiber,2737291-1,TRUE,FALSE,FALSE,,
113,Fiber,Fiber,Fiber,2737539-1,TRUE,FALSE,FALSE,,
114,Fiber,Fiber,Fiber,2737672-1,TRUE,FALSE,FALSE,,
116,Fiber,Fiber,Fiber,2737697-1,TRUE,FALSE,FALSE,,
117,Fiber,Fiber,Fiber,2737701-1,TRUE,FALSE,FALSE,,
118,Fiber,Fiber,Fiber,2737707-1,TRUE,FALSE,FALSE,,
120,Fiber,Fiber,Fiber,2739521-1,TRUE,FALSE,FALSE,,
121,Fiber,Fiber,Fiber,2740069-1,TRUE,FALSE,FALSE,,
122,Fiber,Fiber,Fiber,2740248-1,TRUE,FALSE,FALSE,,
123,Fiber,Fiber,Fiber,2740310-1,TRUE,FALSE,FALSE,,
124,Fiber,Fiber,Fiber,2740326-1,TRUE,FALSE,FALSE,,
128,Fiber,Fiber,Fiber,2741712-1,TRUE,FALSE,FALSE,,
129,Cable / DSL,Cable / DSL,Cable / DSL,2742071-1,TRUE,FALSE,FALSE,,
130,Cable / DSL,Cable / DSL,Cable / DSL,2742079-1,TRUE,FALSE,FALSE,,
132,Fiber,Fiber,Fiber,2742541-1,TRUE,FALSE,FALSE,,
133,Fiber,Fiber,Fiber,2742543-1,TRUE,FALSE,FALSE,,
134,Fiber,Fiber,Fiber,2742778-1,TRUE,FALSE,FALSE,,
136,Fiber,Fiber,Fiber,2743096-1,TRUE,FALSE,FALSE,,
138,Fiber,Fiber,Fiber,2743624-1,TRUE,FALSE,FALSE,,
139,Fiber,Fiber,Fiber,2743624-2,TRUE,FALSE,FALSE,,
140,Fiber,Fiber,Fiber,2743687-1,TRUE,FALSE,FALSE,,
141,Fiber,Fiber,Fiber,2743701-1,TRUE,FALSE,FALSE,,
142,Cable / DSL,Cable / DSL,Cable / DSL,2743728-1,TRUE,FALSE,FALSE,,
143,Fiber,Fiber,Fiber,2743735-1,TRUE,FALSE,FALSE,,
144,Fiber,Fiber,Fiber,2743780-1,TRUE,FALSE,FALSE,,
145,Fiber,Fiber,Fiber,2743813-1,TRUE,FALSE,FALSE,,
146,Copper,Copper,Copper,2743853-1,TRUE,FALSE,FALSE,,
147,Cable / DSL,Cable / DSL,Cable / DSL,2744024-1,TRUE,FALSE,FALSE,,
149,Fiber,Fiber,Fiber,2745016-1,TRUE,FALSE,FALSE,,
151,Fiber,Fiber,Fiber,2745251-1,TRUE,FALSE,FALSE,,
152,Fiber,Fiber,Fiber,2745265-1,TRUE,FALSE,FALSE,,
153,Fiber,Fiber,Fiber,2745343-1,TRUE,FALSE,FALSE,,
156,Fiber,Fiber,Fiber,2745573-1,TRUE,FALSE,FALSE,,
159,Fiber,Fiber,Fiber,2745610-1,TRUE,FALSE,FALSE,,
160,Fiber,Fiber,Fiber,2745665-1,TRUE,FALSE,FALSE,,
161,Fiber,Fiber,Fiber,2745676-1,TRUE,FALSE,FALSE,,
162,Fiber,Fiber,Fiber,2746194-1,TRUE,FALSE,FALSE,,
164,Cable / DSL,Cable / DSL,Cable / DSL,2746796-1,TRUE,FALSE,FALSE,,
165,Fiber,Fiber,Fiber,2746798-1,TRUE,FALSE,FALSE,,
166,Fiber,Fiber,Fiber,2746855-1,TRUE,FALSE,FALSE,,
167,Cable / DSL,Cable / DSL,Cable / DSL,2746975-1,TRUE,FALSE,FALSE,,
168,Cable / DSL,Cable / DSL,Cable / DSL,2746977-1,TRUE,FALSE,FALSE,,
169,Fiber,Fiber,Fiber,2747254-1,TRUE,FALSE,FALSE,,
170,Fiber,Fiber,Fiber,2747344-1,TRUE,FALSE,FALSE,,
172,Other / Uncategorized,Other / Uncategorized,Other / Uncategorized,2747382-1,TRUE,FALSE,FALSE,,
173,Fiber,Fiber,Fiber,2747412-1,TRUE,FALSE,FALSE,,
174,Fiber,Fiber,Fiber,2747515-1,TRUE,FALSE,FALSE,,
175,Fiber,Fiber,Fiber,2747549-1,TRUE,FALSE,FALSE,,
176,Cable / DSL,Cable / DSL,Cable / DSL,2747713-1,TRUE,FALSE,FALSE,,
177,Fiber,Fiber,Other / Uncategorized,2747822-1,TRUE,TRUE,FALSE,,
178,Fiber,Fiber,Fiber,2748047-1,TRUE,FALSE,FALSE,,
179,Cable / DSL,Cable / DSL,Cable / DSL,2748801-1,TRUE,FALSE,FALSE,,
180,Fiber,Fiber,Fiber,2749326-1,TRUE,FALSE,FALSE,,
181,Fiber,Fiber,Fiber,2749326-2,TRUE,FALSE,FALSE,,
182,Fiber,Fiber,Fiber,2749326-3,TRUE,FALSE,FALSE,,
183,Fiber,Fiber,Fiber,2749326-4,TRUE,FALSE,FALSE,,
184,Fiber,Fiber,Fiber,2749326-5,TRUE,FALSE,FALSE,,
185,Fiber,Fiber,Fiber,2749326-6,TRUE,FALSE,FALSE,,
186,Fiber,Fiber,Fiber,2749326-7,TRUE,FALSE,FALSE,,
187,Fiber,Fiber,Fiber,2749520-1,TRUE,FALSE,FALSE,,
188,Copper,Copper,Copper,2750350-1,TRUE,FALSE,FALSE,,
