,verified_category,predicted_category,raw_category,frn_complete,guessed_correct,cleaned_line_item,made_line_item_dirty,,
406,Fiber,Fiber,Fiber,2784559-1,TRUE,FALSE,FALSE,,
407,Fiber,Fiber,Fiber,2784688-1,TRUE,FALSE,FALSE,,
408,Fiber,Fiber,Fiber,2784795-1,TRUE,FALSE,FALSE,,
409,Other / Uncategorized,Other / Uncategorized,Other / Uncategorized,2784870-1,TRUE,FALSE,FALSE,,
410,Other / Uncategorized,Other / Uncategorized,Other / Uncategorized,2784870-2,TRUE,FALSE,FALSE,,
411,Cable / DSL,Cable / DSL,Cable / DSL,2784882-1,TRUE,FALSE,FALSE,,
414,Fixed Wireless,Fixed Wireless,Fixed Wireless,2784939-1,TRUE,FALSE,FALSE,,
416,Cable / DSL,Cable / DSL,Cable / DSL,2785023-1,TRUE,FALSE,FALSE,,
417,Fiber,Fiber,Fiber,2785079-1,TRUE,FALSE,FALSE,,
418,Fiber,Fiber,Fiber,2785298-1,TRUE,FALSE,FALSE,,
419,Cable / DSL,Cable / DSL,Cable / DSL,2785770-1,TRUE,FALSE,FALSE,,
420,Fiber,Fiber,Fiber,2785772-1,TRUE,FALSE,FALSE,,
421,Copper,Copper,Copper,2786542-1,TRUE,FALSE,FALSE,,
422,Fiber,Fiber,Other / Uncategorized,2786905-1,TRUE,TRUE,FALSE,,
423,Fixed Wireless,Fixed Wireless,Fixed Wireless,2786925-1,TRUE,FALSE,FALSE,,
424,Fiber,Fiber,Other / Uncategorized,2786991-1,TRUE,TRUE,FALSE,,
425,Fiber,Fiber,Other / Uncategorized,2787030-1,TRUE,TRUE,FALSE,,
426,Copper,Copper,Copper,2787048-1,TRUE,FALSE,FALSE,,
427,Fiber,Fiber,Cable / DSL,2787264-1,TRUE,TRUE,FALSE,,
428,Fiber,Fiber,Fiber,2787307-1,TRUE,FALSE,FALSE,,
429,Fiber,Fiber,Fiber,2787307-2,TRUE,FALSE,FALSE,,
430,Fiber,Fiber,Other / Uncategorized,2787624-1,TRUE,TRUE,FALSE,,
432,Fiber,Fiber,Fiber,2787871-1,TRUE,FALSE,FALSE,,
433,Fiber,Fiber,Fiber,2787871-2,TRUE,FALSE,FALSE,,
434,Fiber,Fiber,Fiber,2788352-1,TRUE,FALSE,FALSE,,
435,Fixed Wireless,Fixed Wireless,Fixed Wireless,2788757-1,TRUE,FALSE,FALSE,,
437,Copper,Copper,Copper,2788820-1,TRUE,FALSE,FALSE,,
438,Fiber,Fiber,Fiber,2788837-1,TRUE,FALSE,FALSE,,
440,Fiber,Fiber,Fiber,2788848-1,TRUE,FALSE,FALSE,,
441,Copper,Copper,Copper,2788859-1,TRUE,FALSE,FALSE,,
442,Copper,Copper,Copper,2788914-1,TRUE,FALSE,FALSE,,
443,Copper,Copper,Copper,2789330-1,TRUE,FALSE,FALSE,,
444,Fiber,Fiber,Fiber,2789376-1,TRUE,FALSE,FALSE,,
445,Cable / DSL,Cable / DSL,Cable / DSL,2789639-1,TRUE,FALSE,FALSE,,
446,Fiber,Fiber,Fiber,2790914-1,TRUE,FALSE,FALSE,,
447,Other / Uncategorized,Other / Uncategorized,Other / Uncategorized,2790916-1,TRUE,FALSE,FALSE,,
448,Fiber,Fiber,Fiber,2791077-1,TRUE,FALSE,FALSE,,
449,Fiber,Fiber,Fiber,2791412-1,TRUE,FALSE,FALSE,,
450,Fiber,Fiber,Fiber,2791855-1,TRUE,FALSE,FALSE,,
451,Other / Uncategorized,Other / Uncategorized,Other / Uncategorized,2792117-1,TRUE,FALSE,FALSE,,
452,Cable / DSL,Cable / DSL,Cable / DSL,2792117-2,TRUE,FALSE,FALSE,,
453,Other / Uncategorized,Other / Uncategorized,Other / Uncategorized,2792117-3,TRUE,FALSE,FALSE,,
455,Cable / DSL,Cable / DSL,Cable / DSL,2792463-1,TRUE,FALSE,FALSE,,
457,Cable / DSL,Cable / DSL,Cable / DSL,2793573-1,TRUE,FALSE,FALSE,,
458,Cable / DSL,Cable / DSL,Cable / DSL,2793714-1,TRUE,FALSE,FALSE,,
459,Other / Uncategorized,Other / Uncategorized,Other / Uncategorized,2793773-1,TRUE,FALSE,FALSE,,
460,Fiber,Fiber,Fiber,2794091-1,TRUE,FALSE,FALSE,,
462,Fiber,Fiber,Fiber,2794739-1,TRUE,FALSE,FALSE,,
463,Copper,Copper,Copper,2794830-1,TRUE,FALSE,FALSE,,
464,Fiber,Fiber,Fiber,2795114-1,TRUE,FALSE,FALSE,,
465,Fiber,Fiber,Other / Uncategorized,2795124-1,TRUE,TRUE,FALSE,,
466,Fiber,Fiber,Fiber,2795375-1,TRUE,FALSE,FALSE,,
468,Cable / DSL,Cable / DSL,Cable / DSL,2796016-1,TRUE,FALSE,FALSE,,
471,Fiber,Fiber,Fiber,2796992-1,TRUE,FALSE,FALSE,,
472,Fiber,Fiber,Fiber,2796992-2,TRUE,FALSE,FALSE,,
473,Cable / DSL,Cable / DSL,Cable / DSL,2796992-3,TRUE,FALSE,FALSE,,
474,Fiber,Fiber,Fiber,2797000-1,TRUE,FALSE,FALSE,,
476,Fiber,Fiber,Fiber,2797652-1,TRUE,FALSE,FALSE,,
477,Fiber,Fiber,Fiber,2798056-1,TRUE,FALSE,FALSE,,
478,Fiber,Fiber,Fiber,2798159-1,TRUE,FALSE,FALSE,,
480,Other / Uncategorized,Other / Uncategorized,Other / Uncategorized,2798517-1,TRUE,FALSE,FALSE,,
481,Fiber,Fiber,Fiber,2798809-1,TRUE,FALSE,FALSE,,
482,Fiber,Fiber,Fiber,2798897-1,TRUE,FALSE,FALSE,,
483,Other / Uncategorized,Other / Uncategorized,Other / Uncategorized,2798897-2,TRUE,FALSE,FALSE,,
484,Fiber,Fiber,Fiber,2798954-1,TRUE,FALSE,FALSE,,
487,Fiber,Fiber,Fiber,2799491-1,TRUE,FALSE,FALSE,,
489,Fiber,Fiber,Fiber,2799634-1,TRUE,FALSE,FALSE,,
490,Fiber,Fiber,Fiber,2799653-1,TRUE,FALSE,FALSE,,
492,Cable / DSL,Cable / DSL,Cable / DSL,2800068-1,TRUE,FALSE,FALSE,,
493,Fiber,Fiber,Fiber,2800175-1,TRUE,FALSE,FALSE,,
494,Fiber,Fiber,Fiber,2800183-1,TRUE,FALSE,FALSE,,
495,Fiber,Fiber,Fiber,2800251-1,TRUE,FALSE,FALSE,,
496,Fiber,Fiber,Fiber,2800648-1,TRUE,FALSE,FALSE,,
498,Fiber,Fiber,Fiber,2801185-1,TRUE,FALSE,FALSE,,
501,Fiber,Fiber,Fiber,2801458-1,TRUE,FALSE,FALSE,,
503,Fiber,Fiber,Fiber,2801707-1,TRUE,FALSE,FALSE,,
504,Cable / DSL,Cable / DSL,Cable / DSL,2801713-1,TRUE,FALSE,FALSE,,
506,Fiber,Fiber,Fiber,2802720-1,TRUE,FALSE,FALSE,,
507,Cable / DSL,Cable / DSL,Cable / DSL,2802831-1,TRUE,FALSE,FALSE,,
508,Fiber,Fiber,Fiber,2802840-1,TRUE,FALSE,FALSE,,
509,Fiber,Fiber,Fiber,2802850-1,TRUE,FALSE,FALSE,,
510,Cable / DSL,Cable / DSL,Cable / DSL,2803667-1,TRUE,FALSE,FALSE,,
511,Fiber,Fiber,Fiber,2804924-1,TRUE,FALSE,FALSE,,
512,Fiber,Fiber,Fiber,2805083-1,TRUE,FALSE,FALSE,,
513,Fiber,Fiber,Fiber,2805097-1,TRUE,FALSE,FALSE,,
515,Fiber,Fiber,Fiber,2806331-1,TRUE,FALSE,FALSE,,
516,Fiber,Fiber,Fiber,2806879-1,TRUE,FALSE,FALSE,,
518,Fiber,Fiber,Fiber,2807295-1,TRUE,FALSE,FALSE,,
519,Cable / DSL,Cable / DSL,Cable / DSL,2807304-1,TRUE,FALSE,FALSE,,
520,Fiber,Fiber,Fiber,2807314-1,TRUE,FALSE,FALSE,,
522,Fiber,Fiber,Fiber,2807566-1,TRUE,FALSE,FALSE,,
524,Fiber,Fiber,Fiber,2807693-1,TRUE,FALSE,FALSE,,
525,Fiber,Fiber,Fiber,2807835-1,TRUE,FALSE,FALSE,,
526,Fiber,Fiber,Fiber,2807843-1,TRUE,FALSE,FALSE,,
527,Fiber,Fiber,Fiber,2807888-1,TRUE,FALSE,FALSE,,
528,Copper,Copper,Copper,2808073-1,TRUE,FALSE,FALSE,,
529,Copper,Copper,Copper,2808074-1,TRUE,FALSE,FALSE,,
530,Fiber,Fiber,Fiber,2808116-1,TRUE,FALSE,FALSE,,
531,Fiber,Fiber,Fiber,2808116-2,TRUE,FALSE,FALSE,,
537,Fiber,Fiber,Fiber,2808195-1,TRUE,FALSE,FALSE,,
538,Cable / DSL,Cable / DSL,Cable / DSL,2809208-1,TRUE,FALSE,FALSE,,
539,Fiber,Fiber,Fiber,2809684-1,TRUE,FALSE,FALSE,,
541,Cable / DSL,Cable / DSL,Cable / DSL,2809969-1,TRUE,FALSE,FALSE,,
542,Other / Uncategorized,Other / Uncategorized,Other / Uncategorized,2810269-1,TRUE,FALSE,FALSE,,
543,Fiber,Fiber,Fiber,2810910-1,TRUE,FALSE,FALSE,,
544,Other / Uncategorized,Other / Uncategorized,Fiber,2811630-1,TRUE,TRUE,FALSE,,
545,Fiber,Fiber,Fiber,2811632-1,TRUE,FALSE,FALSE,,
547,Fiber,Fiber,Fiber,2811637-1,TRUE,FALSE,FALSE,,
548,Fiber,Fiber,Fiber,2811639-1,TRUE,FALSE,FALSE,,
549,Fiber,Fiber,Fiber,2811643-1,TRUE,FALSE,FALSE,,
550,Fiber,Fiber,Fiber,2811649-1,TRUE,FALSE,FALSE,,
551,Fiber,Fiber,Fiber,2811673-1,TRUE,FALSE,FALSE,,
552,Fiber,Fiber,Fiber,2811675-1,TRUE,FALSE,FALSE,,
553,Fiber,Fiber,Fiber,2811683-1,TRUE,FALSE,FALSE,,
555,Copper,Copper,Copper,2812000-1,TRUE,FALSE,FALSE,,
556,Fiber,Fiber,Fiber,2812440-1,TRUE,FALSE,FALSE,,
557,Copper,Copper,Copper,2812560-1,TRUE,FALSE,FALSE,,
559,Cable / DSL,Cable / DSL,Cable / DSL,2812610-1,TRUE,FALSE,FALSE,,
560,Cable / DSL,Cable / DSL,Cable / DSL,2812813-1,TRUE,FALSE,FALSE,,
562,Fiber,Fiber,Fiber,2813105-1,TRUE,FALSE,FALSE,,
563,Fiber,Fiber,Fiber,2813125-1,TRUE,FALSE,FALSE,,
565,Fiber,Fiber,Fiber,2813404-1,TRUE,FALSE,FALSE,,
568,Copper,Copper,Copper,2814566-1,TRUE,FALSE,FALSE,,
569,Fiber,Fiber,Fiber,2814650-1,TRUE,FALSE,FALSE,,
570,Other / Uncategorized,Other / Uncategorized,Other / Uncategorized,2814932-1,TRUE,FALSE,FALSE,,
571,Cable / DSL,Cable / DSL,Cable / DSL,2815144-1,TRUE,FALSE,FALSE,,
572,Other / Uncategorized,Other / Uncategorized,Other / Uncategorized,2815336-1,TRUE,FALSE,FALSE,,
573,Copper,Copper,Copper,2815391-1,TRUE,FALSE,FALSE,,
574,Fiber,Fiber,Fiber,2815474-1,TRUE,FALSE,FALSE,,
575,Fiber,Fiber,Other / Uncategorized,2816680-1,TRUE,TRUE,FALSE,,
576,Fiber,Fiber,Fiber,2816939-1,TRUE,FALSE,FALSE,,
577,Fiber,Fiber,Fiber,2817019-1,TRUE,FALSE,FALSE,,
578,Fixed Wireless,Fixed Wireless,Fixed Wireless,2817678-1,TRUE,FALSE,FALSE,,
579,Cable / DSL,Cable / DSL,Cable / DSL,2817697-1,TRUE,FALSE,FALSE,,
580,Fiber,Fiber,Fiber,2817703-1,TRUE,FALSE,FALSE,,
581,Fiber,Fiber,Fiber,2817858-1,TRUE,FALSE,FALSE,,
582,Fiber,Fiber,Fiber,2817961-1,TRUE,FALSE,FALSE,,
583,Fiber,Fiber,Fiber,2817961-2,TRUE,FALSE,FALSE,,
584,Fiber,Fiber,Fiber,2818007-1,TRUE,FALSE,FALSE,,
586,Fiber,Fiber,Fiber,2818231-1,TRUE,FALSE,FALSE,,
587,Fiber,Fiber,Fiber,2818301-1,TRUE,FALSE,FALSE,,
588,Fiber,Fiber,Fiber,2819303-1,TRUE,FALSE,FALSE,,
591,Fiber,Fiber,Fiber,2819769-1,TRUE,FALSE,FALSE,,
592,Fiber,Fiber,Fiber,2819769-2,TRUE,FALSE,FALSE,,
593,Fiber,Fiber,Fiber,2820163-1,TRUE,FALSE,FALSE,,
595,Cable / DSL,Cable / DSL,Cable / DSL,2820206-1,TRUE,FALSE,FALSE,,
597,Fiber,Fiber,Fiber,2820359-1,TRUE,FALSE,FALSE,,
598,Fiber,Fiber,Fiber,2820565-1,TRUE,FALSE,FALSE,,
599,Fiber,Fiber,Fiber,2820573-1,TRUE,FALSE,FALSE,,
600,Fiber,Fiber,Fiber,2820849-1,TRUE,FALSE,FALSE,,
601,Fiber,Fiber,Fiber,2820849-2,TRUE,FALSE,FALSE,,
602,Copper,Copper,Copper,2822481-1,TRUE,FALSE,FALSE,,
603,Fiber,Fiber,Fiber,2823056-1,TRUE,FALSE,FALSE,,
604,Fiber,Fiber,Fiber,2823262-1,TRUE,FALSE,FALSE,,
612,Fiber,Fiber,Fiber,2823520-1,TRUE,FALSE,FALSE,,
613,Fiber,Fiber,Fiber,2824340-1,TRUE,FALSE,FALSE,,
614,Other / Uncategorized,Other / Uncategorized,Other / Uncategorized,2824420-1,TRUE,FALSE,FALSE,,
615,Cable / DSL,Cable / DSL,Cable / DSL,2824554-1,TRUE,FALSE,FALSE,,
617,Cable / DSL,Cable / DSL,Cable / DSL,2825136-1,TRUE,FALSE,FALSE,,
618,Fiber,Fiber,Fiber,2826058-1,TRUE,FALSE,FALSE,,
620,Fiber,Fiber,Fiber,2826117-1,TRUE,FALSE,FALSE,,
621,Fiber,Fiber,Fiber,2826117-2,TRUE,FALSE,FALSE,,
622,Other / Uncategorized,Other / Uncategorized,Other / Uncategorized,2826145-1,TRUE,FALSE,FALSE,,
623,Other / Uncategorized,Other / Uncategorized,Other / Uncategorized,2826145-2,TRUE,FALSE,FALSE,,
624,Cable / DSL,Cable / DSL,Cable / DSL,2826619-1,TRUE,FALSE,FALSE,,
625,Fiber,Fiber,Fiber,2826788-1,TRUE,FALSE,FALSE,,
626,Cable / DSL,Cable / DSL,Cable / DSL,2826811-1,TRUE,FALSE,FALSE,,
628,Fiber,Fiber,Fiber,2827166-1,TRUE,FALSE,FALSE,,
629,Other / Uncategorized,Other / Uncategorized,Other / Uncategorized,2827214-1,TRUE,FALSE,FALSE,,
630,Fiber,Fiber,Fiber,2827959-1,TRUE,FALSE,FALSE,,
631,Fiber,Fiber,Other / Uncategorized,2828089-1,TRUE,TRUE,FALSE,,
632,Fiber,Fiber,Other / Uncategorized,2828175-1,TRUE,TRUE,FALSE,,
633,Cable / DSL,Cable / DSL,Cable / DSL,2828179-1,TRUE,FALSE,FALSE,,
634,Fiber,Fiber,Other / Uncategorized,2828196-1,TRUE,TRUE,FALSE,,
635,Fiber,Fiber,Other / Uncategorized,2828213-1,TRUE,TRUE,FALSE,,
636,Fiber,Fiber,Other / Uncategorized,2828225-1,TRUE,TRUE,FALSE,,
637,Fiber,Fiber,Fiber,2828233-1,TRUE,FALSE,FALSE,,
639,Cable / DSL,Cable / DSL,Cable / DSL,2828557-1,TRUE,FALSE,FALSE,,
640,Fiber,Fiber,Other / Uncategorized,2828671-1,TRUE,TRUE,FALSE,,
641,Fiber,Fiber,Other / Uncategorized,2828684-1,TRUE,TRUE,FALSE,,
642,Fiber,Fiber,Other / Uncategorized,2828699-1,TRUE,TRUE,FALSE,,
643,Fiber,Fiber,Other / Uncategorized,2828711-1,TRUE,TRUE,FALSE,,
644,Fiber,Fiber,Other / Uncategorized,2828931-1,TRUE,TRUE,FALSE,,
645,Fiber,Fiber,Fiber,2828946-1,TRUE,FALSE,FALSE,,
646,Fiber,Fiber,Fiber,2828963-1,TRUE,FALSE,FALSE,,
647,Fiber,Fiber,Other / Uncategorized,2828982-1,TRUE,TRUE,FALSE,,
648,Fiber,Fiber,Other / Uncategorized,2829004-1,TRUE,TRUE,FALSE,,
649,Fiber,Fiber,Other / Uncategorized,2829033-1,TRUE,TRUE,FALSE,,
650,Fiber,Fiber,Other / Uncategorized,2829059-1,TRUE,TRUE,FALSE,,
651,Fiber,Fiber,Other / Uncategorized,2829640-1,TRUE,TRUE,FALSE,,
652,Fiber,Fiber,Other / Uncategorized,2829674-1,TRUE,TRUE,FALSE,,
653,Other / Uncategorized,Other / Uncategorized,Other / Uncategorized,2829746-1,TRUE,FALSE,FALSE,,
654,Other / Uncategorized,Other / Uncategorized,Other / Uncategorized,2829763-1,TRUE,FALSE,FALSE,,
655,Other / Uncategorized,Other / Uncategorized,Other / Uncategorized,2829789-1,TRUE,FALSE,FALSE,,
656,Fiber,Fiber,Other / Uncategorized,2829816-1,TRUE,TRUE,FALSE,,
657,Fiber,Fiber,Other / Uncategorized,2829851-1,TRUE,TRUE,FALSE,,
658,Fiber,Fiber,Fiber,2829851-2,TRUE,FALSE,FALSE,,
659,Fiber,Fiber,Other / Uncategorized,2829878-1,TRUE,TRUE,FALSE,,
660,Fiber,Fiber,Other / Uncategorized,2829878-2,TRUE,TRUE,FALSE,,
661,Fiber,Fiber,Other / Uncategorized,2829898-1,TRUE,TRUE,FALSE,,
662,Fiber,Fiber,Other / Uncategorized,2829898-2,TRUE,TRUE,FALSE,,
663,Fiber,Fiber,Fiber,2829898-3,TRUE,FALSE,FALSE,,
664,Fiber,Fiber,Fiber,2829898-4,TRUE,FALSE,FALSE,,
665,Cable / DSL,Cable / DSL,Cable / DSL,2830049-1,TRUE,FALSE,FALSE,,
666,Fiber,Fiber,Other / Uncategorized,2830552-1,TRUE,TRUE,FALSE,,
667,Fiber,Fiber,Fiber,2830552-2,TRUE,FALSE,FALSE,,
668,Fiber,Fiber,Fiber,2830563-1,TRUE,FALSE,FALSE,,
669,Fiber,Fiber,Fiber,2830563-2,TRUE,FALSE,FALSE,,
670,Copper,Copper,Copper,2830575-2,TRUE,FALSE,FALSE,,
671,Fiber,Fiber,Other / Uncategorized,2830578-1,TRUE,TRUE,FALSE,,
672,Fiber,Fiber,Fiber,2830578-2,TRUE,FALSE,FALSE,,
673,Fiber,Fiber,Other / Uncategorized,2830589-1,TRUE,TRUE,FALSE,,
674,Fiber,Fiber,Fiber,2830589-2,TRUE,FALSE,FALSE,,
675,Fiber,Fiber,Other / Uncategorized,2830596-1,TRUE,TRUE,FALSE,,
676,Fiber,Fiber,Fiber,2830596-2,TRUE,FALSE,FALSE,,
677,Fiber,Fiber,Other / Uncategorized,2830752-1,TRUE,TRUE,FALSE,,
678,Fiber,Fiber,Other / Uncategorized,2830755-1,TRUE,TRUE,FALSE,,
679,Fiber,Fiber,Other / Uncategorized,2830756-1,TRUE,TRUE,FALSE,,
680,Fiber,Fiber,Other / Uncategorized,2830759-1,TRUE,TRUE,FALSE,,
681,Fiber,Fiber,Other / Uncategorized,2830762-1,TRUE,TRUE,FALSE,,
682,Fiber,Fiber,Other / Uncategorized,2830765-1,TRUE,TRUE,FALSE,,
683,Fiber,Fiber,Other / Uncategorized,2830767-1,TRUE,TRUE,FALSE,,
684,Fiber,Fiber,Other / Uncategorized,2830769-1,TRUE,TRUE,FALSE,,
685,Fiber,Fiber,Fiber,2830776-1,TRUE,FALSE,FALSE,,
686,Fiber,Fiber,Other / Uncategorized,2830780-1,TRUE,TRUE,FALSE,,
687,Fiber,Fiber,Other / Uncategorized,2830785-1,TRUE,TRUE,FALSE,,
688,Fiber,Fiber,Other / Uncategorized,2830787-1,TRUE,TRUE,FALSE,,
689,Fiber,Fiber,Other / Uncategorized,2830790-1,TRUE,TRUE,FALSE,,
690,Fiber,Fiber,Other / Uncategorized,2830792-1,TRUE,TRUE,FALSE,,
691,Fiber,Fiber,Other / Uncategorized,2830796-1,TRUE,TRUE,FALSE,,
692,Fiber,Fiber,Fiber,2830796-2,TRUE,FALSE,FALSE,,
693,Other / Uncategorized,Other / Uncategorized,Other / Uncategorized,2830841-1,TRUE,FALSE,FALSE,,
694,Fiber,Fiber,Fiber,2831771-1,TRUE,FALSE,FALSE,,
695,Fiber,Fiber,Fiber,2831847-1,TRUE,FALSE,FALSE,,
696,Fiber,Fiber,Fiber,2831889-1,TRUE,FALSE,FALSE,,
697,Fiber,Fiber,Fiber,2831894-1,TRUE,FALSE,FALSE,,
698,Fiber,Fiber,Fiber,2831931-1,TRUE,FALSE,FALSE,,
699,Fiber,Fiber,Fiber,2832095-2,TRUE,FALSE,FALSE,,
700,Fiber,Fiber,Fiber,2832514-1,TRUE,FALSE,FALSE,,
701,Fiber,Fiber,Fiber,2832585-1,TRUE,FALSE,FALSE,,
702,Fiber,Fiber,Fiber,2832629-1,TRUE,FALSE,FALSE,,
703,Fiber,Fiber,Fiber,2832672-1,TRUE,FALSE,FALSE,,
704,Fiber,Fiber,Fiber,2832692-1,TRUE,FALSE,FALSE,,
705,Fiber,Fiber,Fiber,2832715-1,TRUE,FALSE,FALSE,,
706,Fiber,Fiber,Fiber,2832743-1,TRUE,FALSE,FALSE,,
707,Fiber,Fiber,Fiber,2832850-1,TRUE,FALSE,FALSE,,
708,Fiber,Fiber,Other / Uncategorized,2832850-2,TRUE,TRUE,FALSE,,
709,Fiber,Fiber,Other / Uncategorized,2832881-1,TRUE,TRUE,FALSE,,
710,Fiber,Fiber,Fiber,2832898-1,TRUE,FALSE,FALSE,,
711,Fiber,Fiber,Fiber,2832921-1,TRUE,FALSE,FALSE,,
712,Fiber,Fiber,Other / Uncategorized,2832944-1,TRUE,TRUE,FALSE,,
713,Fiber,Fiber,Fiber,2832956-1,TRUE,FALSE,FALSE,,
714,Fiber,Fiber,Other / Uncategorized,2832990-1,TRUE,TRUE,FALSE,,
715,Fiber,Fiber,Other / Uncategorized,2833004-1,TRUE,TRUE,FALSE,,
716,Fiber,Fiber,Other / Uncategorized,2833015-1,TRUE,TRUE,FALSE,,
717,Fiber,Fiber,Fiber,2833015-2,TRUE,FALSE,FALSE,,
718,Fiber,Fiber,Fiber,2833021-1,TRUE,FALSE,FALSE,,
719,Fiber,Fiber,Other / Uncategorized,2833033-1,TRUE,TRUE,FALSE,,
720,Fiber,Fiber,Other / Uncategorized,2833109-1,TRUE,TRUE,FALSE,,
721,Fiber,Fiber,Other / Uncategorized,2833150-1,TRUE,TRUE,FALSE,,
722,Fiber,Fiber,Other / Uncategorized,2833161-1,TRUE,TRUE,FALSE,,
723,Fiber,Fiber,Other / Uncategorized,2833178-1,TRUE,TRUE,FALSE,,
724,Fiber,Fiber,Other / Uncategorized,2833187-1,TRUE,TRUE,FALSE,,
725,Fiber,Fiber,Other / Uncategorized,2833242-1,TRUE,TRUE,FALSE,,
726,Fiber,Fiber,Other / Uncategorized,2833320-1,TRUE,TRUE,FALSE,,
727,Fiber,Fiber,Other / Uncategorized,2833320-2,TRUE,TRUE,FALSE,,
728,Fiber,Fiber,Fiber,2833343-1,TRUE,FALSE,FALSE,,
729,Fiber,Fiber,Fiber,2833352-1,TRUE,FALSE,FALSE,,
730,Fiber,Fiber,Other / Uncategorized,2833380-1,TRUE,TRUE,FALSE,,
731,Fiber,Fiber,Fiber,2833380-2,TRUE,FALSE,FALSE,,
732,Fiber,Fiber,Other / Uncategorized,2833406-1,TRUE,TRUE,FALSE,,
733,Fiber,Fiber,Fiber,2833420-1,TRUE,FALSE,FALSE,,
734,Fiber,Fiber,Fiber,2833437-1,TRUE,FALSE,FALSE,,
735,Fiber,Fiber,Fiber,2833449-1,TRUE,FALSE,FALSE,,
736,Fiber,Fiber,Fiber,2833457-1,TRUE,FALSE,FALSE,,
737,Fiber,Fiber,Fiber,2833472-1,TRUE,FALSE,FALSE,,
738,Fiber,Fiber,Fiber,2833472-2,TRUE,FALSE,FALSE,,
739,Fiber,Fiber,Other / Uncategorized,2833488-1,TRUE,TRUE,FALSE,,
740,Fiber,Fiber,Fiber,2833488-2,TRUE,FALSE,FALSE,,
741,Fiber,Fiber,Other / Uncategorized,2833509-1,TRUE,TRUE,FALSE,,
742,Fiber,Fiber,Other / Uncategorized,2833509-2,TRUE,TRUE,FALSE,,
743,Fiber,Fiber,Other / Uncategorized,2833540-1,TRUE,TRUE,FALSE,,
744,Fiber,Fiber,Other / Uncategorized,2833578-1,TRUE,TRUE,FALSE,,
745,Fiber,Fiber,Fiber,2833578-2,TRUE,FALSE,FALSE,,
746,Fiber,Fiber,Other / Uncategorized,2833594-1,TRUE,TRUE,FALSE,,
747,Fiber,Fiber,Fiber,2833658-1,TRUE,FALSE,FALSE,,
748,Fiber,Fiber,Other / Uncategorized,2833699-1,TRUE,TRUE,FALSE,,
749,Fiber,Fiber,Fiber,2833706-1,TRUE,FALSE,FALSE,,
750,Fiber,Fiber,Other / Uncategorized,2833720-1,TRUE,TRUE,FALSE,,
751,Fiber,Fiber,Fiber,2833728-1,TRUE,FALSE,FALSE,,
752,Fiber,Fiber,Fiber,2833736-1,TRUE,FALSE,FALSE,,
753,Fiber,Fiber,Fiber,2833736-2,TRUE,FALSE,FALSE,,
754,Fiber,Fiber,Fiber,2833747-1,TRUE,FALSE,FALSE,,
755,Fiber,Fiber,Other / Uncategorized,2833751-1,TRUE,TRUE,FALSE,,
756,Fiber,Fiber,Fiber,2833751-2,TRUE,FALSE,FALSE,,
757,Fiber,Fiber,Fiber,2833751-3,TRUE,FALSE,FALSE,,
759,Other / Uncategorized,Other / Uncategorized,Other / Uncategorized,2833954-1,TRUE,FALSE,FALSE,,
760,Fiber,Fiber,Other / Uncategorized,2834174-1,TRUE,TRUE,FALSE,,
761,Fiber,Fiber,Fiber,2834177-1,TRUE,FALSE,FALSE,,
762,Fiber,Fiber,Fiber,2834183-1,TRUE,FALSE,FALSE,,
763,Fiber,Fiber,Other / Uncategorized,2834188-1,TRUE,TRUE,FALSE,,
764,Fiber,Fiber,Fiber,2834191-1,TRUE,FALSE,FALSE,,
765,Fiber,Fiber,Fiber,2834191-2,TRUE,FALSE,FALSE,,
766,Fiber,Fiber,Fiber,2834198-1,TRUE,FALSE,FALSE,,
767,Fiber,Fiber,Other / Uncategorized,2834199-1,TRUE,TRUE,FALSE,,
768,Fiber,Fiber,Fiber,2834201-1,TRUE,FALSE,FALSE,,
769,Fiber,Fiber,Fiber,2834203-1,TRUE,FALSE,FALSE,,
770,Fiber,Fiber,Other / Uncategorized,2834205-1,TRUE,TRUE,FALSE,,
771,Fiber,Fiber,Fiber,2834205-2,TRUE,FALSE,FALSE,,
772,Fiber,Fiber,Fiber,2834208-1,TRUE,FALSE,FALSE,,
773,Fiber,Fiber,Fiber,2834209-1,TRUE,FALSE,FALSE,,
774,Fiber,Fiber,Fiber,2834210-1,TRUE,FALSE,FALSE,,
775,Fiber,Fiber,Other / Uncategorized,2834213-1,TRUE,TRUE,FALSE,,
776,Fiber,Fiber,Fiber,2834213-2,TRUE,FALSE,FALSE,,
777,Fiber,Fiber,Other / Uncategorized,2834215-1,TRUE,TRUE,FALSE,,
778,Fiber,Fiber,Fiber,2834216-1,TRUE,FALSE,FALSE,,
779,Fiber,Fiber,Fiber,2834217-1,TRUE,FALSE,FALSE,,
780,Fiber,Fiber,Other / Uncategorized,2834219-1,TRUE,TRUE,FALSE,,
781,Fiber,Fiber,Other / Uncategorized,2834219-2,TRUE,TRUE,FALSE,,
782,Fiber,Fiber,Other / Uncategorized,2834222-1,TRUE,TRUE,FALSE,,
783,Fiber,Fiber,Other / Uncategorized,2834222-2,TRUE,TRUE,FALSE,,
784,Fiber,Fiber,Fiber,2834223-1,TRUE,FALSE,FALSE,,
785,Fiber,Fiber,Fiber,2834445-1,TRUE,FALSE,FALSE,,
