bigram,count
"('support', 'services')",76
"('review', 'member')",76
"('applicants', 'required')",75
"('based', 'review')",74
"('since', 'meet')",74
"('ysleta', 'order')",74
"('dr1', 'per')",74
"('471', 'certification')",74
"('winning', 'bid')",74
"('schools', 'receive')",73
"('secondary', 'schools')",73
"('years', 'ago')",73
"('potential', 'providers')",73
"('bids', 'fcc')",73
"('met', 'requirement')",73
"('definition', 'elementary')",73
"('dr1', 'documentation')",73
"('elementary', 'secondary')",73
"('statutory', 'definition')",73
"('meet', 'statutory')",73
"('services', 'order')",72
"('services', 'required')",72
"('detail', 'specific')",72
"('violated', 'fcc’s')",72
"('accountability', 'part')",72
"('accurate', 'proposal')",72
"('accurate', 'valid')",72
"('services', 'sought')",72
"('ago', 'changes')",72
"('“', '1')",72
"('160029101', 'failed')",72
"('determined', 'violated')",72
"('“intended', 'require')",72
"('services', 'occurred')",72
"('service', 'order')",72
"('elaborated', 'meaning')",72
"('effectively', 'discounted')",72
"('”', 'therefore')",72
"('”', 'however')",72
"('dr2', 'frn')",72
"('necessary', 'use')",72
"('service', 'potential')",72
"('“bona', 'fide”')",72
"('services', 'bidders')",72
"('services', 'current')",72
"('“was', 'created')",72
"('services', 'mtm')",72
"('document', 'included')",72
"('discounted', 'services')",72
"('160029101', '“was')",72
"('stated', 'congress')",72
"('solicitation', 'referenced')",72
"('bidders', 'would')",72
"('answered', 'mr')",72
"('bidders', 'service')",72
"('bidders', 'choosing')",72
"('bidders', 'answered')",72
"('bid', '”')",72
"('bid', 'rules')",72
"('upon', 'current')",72
"('based', 'upon')",72
"('would', 'deemed')",72
"('use', 'effectively')",72
"('assessments', 'components')",72
"('used', 'merely')",72
"('used', 'way')",72
"('valid', 'proposals')",72
"('way', 'evaluate')",72
"('bidders', 'submit')",72
"('therefore', 'required')",72
"('deemed', 'essential')",72
"('bids', 'determined')",72
"('sought', 'instance')",72
"('specific', 'instructions')",72
"('stand', 'alone')",72
"('created', 'years')",72
"('could', 'provide')",72
"('stated', 'rfp')",72
"('congress', '“intended')",72
"('conduct', 'internal')",72
"('components', 'necessary')",72
"('alone', 'solicitation')",72
"('submit', 'accurate')",72
"('competing', 'providers')",72
"('submit', 'complete')",72
"('changes', 'free')",72
"('submitting', 'accurate')",72
"('choosing', 'winning')",72
"('merely', 'guideline')",72
"('questions', 'prospective')",72
"('instance', 'stated')",72
"('fcc', 'forms')",72
"('part', 'schools')",72
"('2', 'submit')",72
"('fcc’s', 'requirements')",72
"('fcc’s', 'ysleta')",72
"('meaning', '“bona')",72
"('fide', 'requests')",72
"('fide”', 'universal')",72
"('process', 'funding')",72
"('malavé', 'rfp')",72
"('make', 'pertinent')",72
"('forms', '470')",72
"('order', '2')",72
"('order', 'applicant’s')",72
"('instructions', 'prospective')",72
"('free', 'services')",72
"('providers', 'provide')",72
"('libraries', '”')",72
"('providers', 'could')",72
"('internal', 'assessments')",72
"('provider', 'selected')",72
"('per', 'fcc’s')",72
"('provide', 'pertinent')",72
"('order', 'stated')",72
"('proposals', 'failed')",72
"('fcc', 'elaborated')",72
"('guideline', 'services')",72
"('requests', 'service')",72
"('evaluate', 'prospective')",72
"('must', 'detail')",72
"('needs', 'failed')",72
"('rfp', 'posted')",72
"('posted', 'fy2016')",72
"('must', 'based')",72
"('information', 'available')",72
"('requirements', 'fair')",72
"('needs', 'must')",72
"('required', '“')",72
"('required', 'questions')",72
"('essential', 'submitting')",72
"('occurred', 'rfp')",72
"('evaluate', 'per')",72
"('proposal', 'stand')",72
"('failed', 'make')",72
"('however', 'document')",72
"('information', 'prospective')",72
"('mr', 'malavé')",72
"('required', 'provide')",72
"('included', 'specific')",72
"('require', 'accountability')",72
"('1', 'conduct')",72
"('basis', 'bidding')",71
"('bid', 'prices')",71
"('better', 'service')",71
"('bidders', 'possible')",71
"('bid', 'documentation')",71
"('basis', '”')",71
"('bidded', 'accordance')",71
"('information', 'determine')",71
"('benefits', 'forming')",71
"('therefore', 'single')",71
"('possible', 'respond')",71
"('rfp', 'solicitation')",71
"('use', 'shared')",71
"('month', 'basis')",71
"('must', 'competitively')",71
"('“not', 'subject')",71
"('mtm', 'basis')",71
"('accordance', 'program’s')",71
"('“because', 'telephone')",71
"('“', 'moreover')",71
"('moreover', 'rfp')",71
"('aggregate', 'demand')",71
"('month', 'remove')",71
"('method', 'applicant')",71
"('order', 'lower')",71
"('one', 'benefits')",71
"('many', 'bidders')",71
"('violation', 'fcc')",71
"('applicant', 'receive')",71
"('prices', 'goal')",71
"('applicants', 'ensure')",71
"('application', 'therefore')",71
"('order', 'eligible')",71
"('libraries', 'program')",71
"('bidders', 'sufficient')",71
"('subject', 'bidding')",71
"('bidding', 'considerations')",71
"('single', 'service')",71
"('rate', 'support')",71
"('receive', 'better')",71
"('shared', 'facilities')",71
"('services', '“not')",71
"('receiving', 'cost')",71
"('regulations', 'since')",71
"('determine', 'exact')",71
"('relates', 'schools')",71
"('requests', 'must')",71
"('documentation', 'frn')",71
"('fact', 'individual')",71
"('facilities', 'asked')",71
"('explained', '“because')",71
"('exact', 'bid')",71
"('service', 'lower')",71
"('service', 'handled')",71
"('selected', '“')",71
"('due', 'fact')",71
"('effective', 'services')",71
"('efficient', 'use')",71
"('school', 'month')",71
"('school', 'chooses')",71
"('ensure', 'receiving')",71
"('rules', 'regulations')",71
"('eligible', 'e')",71
"('forming', 'consortium')",71
"('demonstrate', 'met')",71
"('individually', 'school')",71
"('solicitation', 'method')",71
"('telephone', 'voice')",71
"('telecommunication', 'services')",71
"('individual', 'school')",71
"('prices', 'one')",71
"('prices', 'promote')",71
"('sufficient', 'information')",71
"('handled', 'individually')",71
"('goal', 'competitive')",71
"('rfp', 'specified')",71
"('competitively', 'bidded')",71
"('process', 'many')",71
"('process', 'needed')",71
"('program', 'aggregate')",71
"('program’s', 'competitive')",71
"('promote', 'efficient')",71
"('considerations', 'due')",71
"('consortium', 'application')",71
"('consortium', 'relates')",71
"('provide', 'competitive')",71
"('provided', 'explained')",71
"('specified', 'voice')",71
"('provider', 'telecommunication')",71
"('data', 'transmission')",71
"('frn', 'documentation')",71
"('demand', 'order')",71
"('needed', 'consortium')",71
"('”', 'violation')",71
"('effective', 'solution')",70
"('transmission', 'internet')",70
"('vendor', 'evaluation')",70
"('frn', 'requesting')",69
"('470', 'posted')",68
"('application', 'denied')",68
"('local', 'long')",68
"('since', 'frn')",68
"('accordance', 'ral')",67
"('ral', 'request')",67
"('vendor', 'selection')",67
"('administrator', 'selective')",67
"('act', '1996')",66
"('services', 'posted')",66
"('72', 'april')",66
"('requirements', 'fcc’s')",66
"('noncompliance', 'fcc’s')",66
"('effective', 'provider')",66
"('choose', 'cost')",66
"('red', 'light')",66
"('collection', 'improvement')",66
"('improvement', 'act')",66
"('april', '13')",66
"('04', '72')",66
"('rule', 'implements')",66
"('13', '2004')",66
"('based', 'noncompliance')",66
"('fcc’s', 'red')",66
"('fcc’s', 'debt')",66
"('fcc', '04')",66
"('implements', 'requirements')",66
"('provider', 'price')",66
"('1996', 'fcc')",66
"('light', 'rule')",66
"('posted', 'fcc')",66
"('debt', 'collection')",66
"('denied', 'based')",66
"('fiber', 'request')",65
"('contract', 'legally')",65
"('mr2', 'frn')",65
"('provided', 'review')",65
"('mr1', 'amount')",65
"('date', 'changed')",64
"('rules', 'mr1')",64
"('28', 'day')",64
"('applicant', 'violated')",63
"('therefore', 'applicant')",63
"('posted', 'requested')",63
"('selecting', 'service')",63
"('entered', 'prior')",63
"('solution', 'documentation')",62
"('frn', 'contains')",62
"('require', 'requested')",62
"('470', 'funding')",62
"('frn', '1699138580')",62
"('1699138580', '1699145599')",62
"('primary', 'evaluation')",62
"('dr1', 'contract')",61
"('schools', 'mr1')",60
"('rules', 'ineligible')",60
"('item', 'local')",58
"('request', 'data')",58
"('rate', 'productivity')",58
"('evaluation', 'process')",58
"('agree', 'documentation')",56
"('requesting', 'network')",56
"('filing', 'fcc')",56
"('review', 'fcc')",56
"('documentation', 'support')",56
"('productivity', 'portal')",56
"('entity', 'ies')",55
"('equipment', 'associated')",55
"('cellular', 'voice')",55
"('text', 'messaging')",54
"('data', 'text')",54
"('solutions', 'choose')",52
"('line', 'item')",52
"('ineligible', 'products')",51
"('consider', 'bids')",50
"('month', '1')",50
"('provided', 'failed')",49
"('request', 'documentation')",49
"('month', 'agree')",49
"('evaluate', 'cost')",49
"('applicants', 'evaluate')",49
"('effectiveness', 'fiber')",48
"('fiber', 'solutions')",48
"('access', 'services')",48
"('meet', 'requirement')",48
"('total', 'cost')",47
"('28', 'days')",47
"('demonstrate', 'price')",47
"('recipients', 'service')",47
"('dr2', 'applicant')",47
"('per', 'program')",47
"('provided', 'demonstrate')",47
"('cost', 'therefore')",46
"('based', 'total')",46
"('self', 'provisioned')",46
"('documentation', 'validate')",46
"('posting', 'fcc')",46
"('changed', '1')",46
"('respond', 'administrator’s')",46
"('services', 'must')",45
"('member', 'entity')",45
"('waiting', 'period')",44
"('provider', 'proposal')",44
"('phone', 'service')",44
"('solution', 'cost')",44
"('award', 'date')",43
"('associated', 'frn')",43
"('amp', 'amp')",43
"('contract', 'award')",43
