"","postal_cd","district_esh_id","pct_scalable"
"235","AR",882619,1
"236","AR",882624,1
"237","AR",882634,1
"238","AR",882644,0.666666666666667
"239","AR",882649,1
"240","AR",882660,1
"241","AR",882665,0.666666666666667
"242","AR",882670,1
"243","AR",882681,0.25
"244","AR",882685,0.333333333333333
"245","AR",882694,1
"246","AR",882699,1
"247","AR",882704,1
"248","AR",882710,1
"249","AR",882714,1
"250","AR",882719,0.5
"251","AR",882725,1
"252","AR",882731,0.5
"253","AR",882735,0.6
"254","AR",882741,1
"255","AR",882755,1
"256","AR",882759,1
"257","AR",882764,1
"258","AR",882777,0.25
"259","AR",882780,1
"260","AR",882785,1
"261","AR",882789,1
"262","AR",882799,1
"263","AR",882809,1
"264","AR",882813,0.5
"265","AR",882818,1
"266","AR",882821,1
"267","AR",882823,1
"268","AR",882830,1
"269","AR",882838,0.25
"270","AR",882842,1
"271","AZ",881424,1
"272","AZ",881455,1
"273","AZ",881468,0.5
"274","AZ",881473,1
"275","AZ",881477,1
"276","AZ",881480,0.25
"277","AZ",881993,0.333333333333333
"278","AZ",882684,1
"279","AZ",882739,0
"280","AZ",882803,1
"281","AZ",882848,1
"282","AZ",882856,0
"283","AZ",882915,1
"284","AZ",882979,1
"285","AZ",883028,1
"286","AZ",883047,1
"287","AZ",883049,1
"288","AZ",883053,0
"289","AZ",883055,0.75
"290","AZ",883061,0
"291","AZ",883063,0
"292","AZ",883065,1
"293","AZ",883068,1
"294","AZ",883076,1
"295","AZ",883078,1
"296","AZ",883084,0.333333333333333
"297","AZ",883088,1
"298","AZ",883092,0.375
"299","AZ",883097,1
"300","AZ",883101,1
"301","AZ",883107,1
"302","AZ",883109,0.8
"303","AZ",883114,1
"304","AZ",883116,1
"305","AZ",883120,1
"306","AZ",883123,1
"307","AZ",883125,1
"308","AZ",883129,1
"309","AZ",883137,1
"310","AZ",883139,1
"311","AZ",883146,1
"312","AZ",883147,0.5
"313","AZ",883149,1
"314","AZ",883151,0.918918918918919
"315","AZ",883153,1
"316","AZ",883155,1
"317","AZ",883157,1
"318","AZ",883162,0
"319","AZ",883166,1
"320","AZ",883168,0.6
"321","AZ",883174,1
"322","AZ",883176,1
"323","AZ",883178,1
"324","AZ",883180,1
"325","AZ",883182,0.333333333333333
"326","AZ",883188,0.714285714285714
"327","AZ",883190,1
"328","AZ",883192,1
"329","AZ",883194,1
"330","AZ",883196,1
"331","AZ",883198,1
"332","AZ",883200,1
"333","AZ",883202,1
"334","AZ",883210,1
"335","AZ",883212,1
"336","AZ",883216,1
"337","AZ",883218,1
"338","AZ",883220,0.926829268292683
"339","AZ",883226,1
"340","AZ",883228,1
"341","AZ",883232,0.5
"342","AZ",883234,1
"343","AZ",883238,1
"344","AZ",883240,1
"345","AZ",883242,1
"346","AZ",883245,1
"347","AZ",883247,0.5
"348","AZ",883248,0.8
"349","AZ",883250,1
"350","AZ",883254,1
"351","AZ",883256,1
"352","AZ",883258,1
"353","AZ",883260,1
"354","AZ",883262,0.833333333333333
"355","AZ",883267,0.8
"356","AZ",883272,1
"357","AZ",883274,1
"358","AZ",883276,0.9375
"359","AZ",883278,1
"360","AZ",883282,0.333333333333333
"361","AZ",883290,1
"362","AZ",883298,1
"363","AZ",883300,0.428571428571429
"364","AZ",883302,0
"365","AZ",883306,1
"366","AZ",883319,0.666666666666667
"367","AZ",883321,1
"368","AZ",883323,1
"369","AZ",883335,0.5
"370","AZ",883343,1
"371","AZ",883345,1
"372","AZ",883349,1
"373","AZ",883351,0
