recipient_id,recipient_name,postal_cd,line_item_id,consortium_shared,shared_service,quantity_of_lines_received_by_district,bandwidth_in_mbps,connect_type,connect_category,purpose,wan,line_item_district_monthly_cost,line_item_total_monthly_cost,cat.1_allocations_to_district,line_item_total_num_lines,line_item_total_cost,line_item_recurring_elig_cost,line_item_one-time_cost,orig_r_months_of_service,applicant_id,applicant_name,isp_conditions_met,internet_conditions_met,ia_conditions_met,wan_conditions_met,upstream_conditions_met,broadband,service_provider_name,exclude,open_flags,dqs_excluded,district_monthly_ia_cost_per_mbps,district_total_ia_rounded_to_nearest_mbps,ia_bandwidth_per_student,num_students,num_students_and_staff,num_schools,latitude,longitude,locale,district_size,exclude_from_analysis,consortium_member,recipient_districts,recipient_postal_cd,dirty_status,reporting_name
881428,CHINO VALLEY UNIFIED DISTRICT,AZ,305001,FALSE,District-dedicated,3,1000,Lit Fiber Service,Fiber,Transport,Y,4750,4750,3,3,57000,4750,0,12,881428,CHINO VALLEY UNIF SCH DIST 51,FALSE,FALSE,FALSE,TRUE,FALSE,TRUE,"Cable One, Inc.",FALSE,"funded, likely_fiber",FALSE,6.835,1000,440.72,2269,2488,4,34.74637,-112.453791,Small Town,Small,FALSE,TRUE,n/a,n/a,include clean,"Cable One, Inc."
881431,MADISON CITY,AL,329441,FALSE,District-dedicated,14,1000,Lit Fiber Service,Fiber,Transport,Y,11073.74,11073.74,14,14,132884.88,11073.74,0,12,881431,Madison City Schools,FALSE,FALSE,FALSE,TRUE,FALSE,TRUE,"CONTACT NETWORK, LLC",FALSE,funded,FALSE,3.755833333,980,105.39,9299,9850,11,34.687317,-86.744908,Suburban,Medium,FALSE,TRUE,n/a,n/a,include clean,"CONTACT NETWORK, LLC"
881431,MADISON CITY,AL,329943,TRUE,Backbone,Shared Circuit,10000,Lit Fiber Service,Fiber,Transport,Y,54.09969262,4247.62,4,4,50971.44,4247.62,0,12,1005870,ALABAMA SUPERCOMPUTER AUTHORITY,FALSE,FALSE,FALSE,TRUE,FALSE,TRUE,Computer Sciences Corporation,TRUE,"funded, previously_assumed_wan, backbone, consortium_shared_manual, entities_to_lines, likely_fiber, likely_wan_qty, consortium_shared",FALSE,3.755833333,980,105.39,9299,9850,11,34.687317,-86.744908,Suburban,Medium,FALSE,TRUE,n/a,n/a,include clean,Computer Sciences
881433,ACTON-AGUA DULCE UNF,CA,83826,FALSE,District-dedicated,3,100,Lit Fiber Service,Fiber,Transport,Y,1661.25,1661.25,3,3,19935,1661.25,0,12,881433,ACTON-AGUA DULCE UN SCH DIST,FALSE,FALSE,FALSE,TRUE,FALSE,TRUE,"Time Warner Cable Information Services (California), LLC",FALSE,"previously_assumed_wan, funded, previously_assumed_fiber, bundled_services",FALSE,94.76666667,20,14.52,1377,1501,4,34.471778,-118.197162,Rural,Small,TRUE,TRUE,n/a,n/a,exclude dirty,Time Warner Cable
881433,ACTON-AGUA DULCE UNF,CA,83955,TRUE,Backbone,Shared Circuit,45,DS-3 (T-3),Copper,Transport,Y,7.991916231,27611.2,3,3,331334.4,27611.2,0,12,1031023,CENIC-CORPORATION FOR EDUCATION NETWORK INITIATIVES IN CALIFORNIA,FALSE,FALSE,FALSE,TRUE,FALSE,TRUE,AT&T Corp.,TRUE,"funded, backbone, entities_to_lines, cost_per_qty, consortium_shared, likely_wan_qty",FALSE,94.76666667,20,14.52,1377,1501,4,34.471778,-118.197162,Rural,Small,TRUE,TRUE,n/a,n/a,exclude dirty,AT&T
881433,ACTON-AGUA DULCE UNF,CA,257279,TRUE,Backbone,Shared Circuit,1000,Lit Fiber Service,Fiber,Transport,Y,1.25754535,4344,1,1,52128,4344,0,12,1031023,CENIC-CORPORATION FOR EDUCATION NETWORK INITIATIVES IN CALIFORNIA,FALSE,FALSE,FALSE,TRUE,FALSE,TRUE,"Time Warner Cable Information Services (California), LLC",TRUE,"funded, backbone, entities_to_lines, consortium_shared, likely_fiber",FALSE,94.76666667,20,14.52,1377,1501,4,34.471778,-118.197162,Rural,Small,TRUE,TRUE,n/a,n/a,exclude dirty,Time Warner Cable
881433,ACTON-AGUA DULCE UNF,CA,257282,TRUE,Backbone,Shared Circuit,1000,Lit Fiber Service,Fiber,Transport,Y,1.223753161,4227.27,1,1,50727.24,4227.27,0,12,1031023,CENIC-CORPORATION FOR EDUCATION NETWORK INITIATIVES IN CALIFORNIA,FALSE,FALSE,FALSE,TRUE,FALSE,TRUE,"Time Warner Cable Information Services (California), LLC",TRUE,"funded, backbone, entities_to_lines, consortium_shared, likely_fiber",FALSE,94.76666667,20,14.52,1377,1501,4,34.471778,-118.197162,Rural,Small,TRUE,TRUE,n/a,n/a,exclude dirty,Time Warner Cable
881433,ACTON-AGUA DULCE UNF,CA,310838,TRUE,Backbone,Shared Circuit,1000,Lit Fiber Service,Fiber,Transport,Y,0.81419369,2818.22,1,1,33818.64,2818.22,0,12,1031023,CENIC-CORPORATION FOR EDUCATION NETWORK INITIATIVES IN CALIFORNIA,FALSE,FALSE,FALSE,TRUE,FALSE,TRUE,Comcast Business Communications,TRUE,"funded, previously_assumed_fiber, backbone, entities_to_lines, consortium_shared, likely_fiber",FALSE,94.76666667,20,14.52,1377,1501,4,34.471778,-118.197162,Rural,Small,TRUE,TRUE,n/a,n/a,exclude dirty,Comcast
881433,ACTON-AGUA DULCE UNF,CA,310847,TRUE,Backbone,Shared Circuit,10000,Lit Fiber Service,Fiber,Transport,Y,7.984553812,27637.44,4,4,331649.28,27637.44,0,12,1031023,CENIC-CORPORATION FOR EDUCATION NETWORK INITIATIVES IN CALIFORNIA,FALSE,FALSE,FALSE,TRUE,FALSE,TRUE,Comcast Business Communications,TRUE,"funded, backbone, consortium_shared, entities_to_lines, likely_fiber, likely_wan_qty",FALSE,94.76666667,20,14.52,1377,1501,4,34.471778,-118.197162,Rural,Small,TRUE,TRUE,n/a,n/a,exclude dirty,Comcast
881433,ACTON-AGUA DULCE UNF,CA,339103,TRUE,Backbone,Shared Circuit,100,Lit Fiber Service,Fiber,Transport,Y,1.532741855,5294.506667,1,1,63534.08,5002.84,3500,12,1031023,CENIC-CORPORATION FOR EDUCATION NETWORK INITIATIVES IN CALIFORNIA,FALSE,FALSE,FALSE,TRUE,FALSE,TRUE,Cal-Ore Telephone Co.,TRUE,"funded, possible_neca, neca, backbone, consortium_shared, entities_to_lines, cost_per_qty",FALSE,94.76666667,20,14.52,1377,1501,4,34.471778,-118.197162,Rural,Small,TRUE,TRUE,n/a,n/a,exclude dirty,Cal-Ore
881433,ACTON-AGUA DULCE UNF,CA,339106,TRUE,Backbone,Shared Circuit,1000,Lit Fiber Service,Fiber,Transport,Y,1.049245808,3624.38,1,1,43492.56,3624.38,0,12,1031023,CENIC-CORPORATION FOR EDUCATION NETWORK INITIATIVES IN CALIFORNIA,FALSE,FALSE,FALSE,TRUE,FALSE,TRUE,CITIZENS TELECOMM CO OF CA,TRUE,"funded, possible_neca, backbone, entities_to_lines, consortium_shared, likely_fiber",FALSE,94.76666667,20,14.52,1377,1501,4,34.471778,-118.197162,Rural,Small,TRUE,TRUE,n/a,n/a,exclude dirty,Citizens Tel
881433,ACTON-AGUA DULCE UNF,CA,339108,TRUE,Backbone,Shared Circuit,1000,Lit Fiber Service,Fiber,Transport,Y,0.435041066,1502.75,1,1,18033,1502.75,0,12,1031023,CENIC-CORPORATION FOR EDUCATION NETWORK INITIATIVES IN CALIFORNIA,FALSE,FALSE,FALSE,TRUE,FALSE,TRUE,"Time Warner Cable Information Services (California), LLC",TRUE,"funded, backbone, entities_to_lines, consortium_shared, likely_fiber",FALSE,94.76666667,20,14.52,1377,1501,4,34.471778,-118.197162,Rural,Small,TRUE,TRUE,n/a,n/a,exclude dirty,Time Warner Cable
881433,ACTON-AGUA DULCE UNF,CA,339122,TRUE,Backbone,Shared Circuit,10000,Lit Fiber Service,Fiber,Transport,Y,1.869469586,6456.89,1,1,77482.68,6456.89,0,12,1031023,CENIC-CORPORATION FOR EDUCATION NETWORK INITIATIVES IN CALIFORNIA,FALSE,FALSE,FALSE,TRUE,FALSE,TRUE,"TW Telecom Holdings, Inc.",TRUE,"funded, backbone, entities_to_lines, consortium_shared",FALSE,94.76666667,20,14.52,1377,1501,4,34.471778,-118.197162,Rural,Small,TRUE,TRUE,n/a,n/a,exclude dirty,TW Telecom Holdings
881433,ACTON-AGUA DULCE UNF,CA,339123,TRUE,Backbone,Shared Circuit,10000,Lit Fiber Service,Fiber,Transport,Y,84.01108702,296216.0767,46,46,3554592.92,272193.38,288272.36,12,1031023,CENIC-CORPORATION FOR EDUCATION NETWORK INITIATIVES IN CALIFORNIA,FALSE,FALSE,FALSE,TRUE,FALSE,TRUE,Pacific Bell Telephone Company,TRUE,"funded, possible_neca, backbone, entities_to_lines, likely_fiber, likely_wan_qty, consortium_shared",FALSE,94.76666667,20,14.52,1377,1501,4,34.471778,-118.197162,Rural,Small,TRUE,TRUE,n/a,n/a,exclude dirty,AT&T
881433,ACTON-AGUA DULCE UNF,CA,339133,TRUE,Backbone,Shared Circuit,1000,Lit Fiber Service,Fiber,Transport,Y,3.345660481,11556.82,3,3,138681.84,11556.82,0,12,1031023,CENIC-CORPORATION FOR EDUCATION NETWORK INITIATIVES IN CALIFORNIA,FALSE,FALSE,FALSE,TRUE,FALSE,TRUE,CITIZENS TELECOMM CO OF CA,TRUE,"funded, possible_neca, backbone, consortium_shared, entities_to_lines, likely_fiber, likely_wan_qty",FALSE,94.76666667,20,14.52,1377,1501,4,34.471778,-118.197162,Rural,Small,TRUE,TRUE,n/a,n/a,exclude dirty,Citizens Tel
881433,ACTON-AGUA DULCE UNF,CA,340658,TRUE,Backbone,Shared Circuit,10000,Lit Fiber Service,Fiber,Transport,Y,1.450964258,5025.613333,1,1,60307.36,4942.28,1000,12,1031023,CENIC-CORPORATION FOR EDUCATION NETWORK INITIATIVES IN CALIFORNIA,FALSE,FALSE,FALSE,TRUE,FALSE,TRUE,Pacific Bell Telephone Company,TRUE,"funded, possible_neca, backbone, consortium_shared, entities_to_lines, likely_fiber",FALSE,94.76666667,20,14.52,1377,1501,4,34.471778,-118.197162,Rural,Small,TRUE,TRUE,n/a,n/a,exclude dirty,AT&T
881433,ACTON-AGUA DULCE UNF,CA,342637,TRUE,Backbone,Shared Circuit,10000,Lit Fiber Service,Fiber,Transport,Y,7.930833257,27417,3,3,329004,27417,0,12,1031023,CENIC-CORPORATION FOR EDUCATION NETWORK INITIATIVES IN CALIFORNIA,FALSE,FALSE,FALSE,TRUE,FALSE,TRUE,California Broadband Cooperative Inc,TRUE,"funded, backbone, entities_to_lines, likely_fiber, likely_wan_qty, consortium_shared, cost_per_qty",FALSE,94.76666667,20,14.52,1377,1501,4,34.471778,-118.197162,Rural,Small,TRUE,TRUE,n/a,n/a,exclude dirty,CA Broadband Coop
881433,ACTON-AGUA DULCE UNF,CA,342665,TRUE,Backbone,Shared Circuit,1000,Lit Fiber Service,Fiber,Transport,Y,1.803777906,6230,1,1,74760,6105,1500,12,1031023,CENIC-CORPORATION FOR EDUCATION NETWORK INITIATIVES IN CALIFORNIA,FALSE,FALSE,FALSE,TRUE,FALSE,TRUE,Plumas Sierra Telecommunications,TRUE,"funded, backbone, entities_to_lines, consortium_shared, likely_fiber, cost_per_qty",FALSE,94.76666667,20,14.52,1377,1501,4,34.471778,-118.197162,Rural,Small,TRUE,TRUE,n/a,n/a,exclude dirty,Plumas Sierra
