frl_percentage,frl_ceiling,c1_urban,c1_rural,c2_urban,c2_rural
less than 1%,0.01,20,20,25,25
1% to 19%,0.2,40,50,40,50
20% to 34%,0.35,50,60,50,60
35% to 49%,0.5,60,70,60,70
50% to 74%,0.75,80,80,80,80
75% to 100%,1.01,90,90,85,85
