esh_id,id,MEMBER,TOTET
,60789,5442,5442
,12736,4991,4991
901976,32268,4684,4684
969376,86188,4664,4664
,10185,4634,4634
969247,84995,4555,4555
,61633,4403,4403
888980,20234,4375,4375
901803,31775,4373,4373
,8285,4332,4332
,31732,4291,4291
901027,28900,4238,4238
968979,83115,4147,4147
969208,84524,4144,4144
,61076,4142,4142
888987,20919,4132,4132
,10201,4109,4109
911047,42284,4081,4081
,15941,4081,4081
975536,93593,4033,4033
,61674,4027,4027
,7565,4022,4022
970137,90951,4013,4013
968977,83070,4010,4010
,10180,4009,4009
969258,85149,3972,3972
,30431,3963,3963
901821,31811,3961,3961
969293,85339,3949,3949
969546,87407,3944,3944
975536,93627,3934,3934
,12008,3934,3934
946246,62122,3929,3929
968977,83071,3927,3927
,4840,3900,3900
,61721,3890,3890
,31129,3856,3856
,61294,3848,3848
,61106,3832,3832
,10168,3831,3831
,61075,3774,3774
,8296,3747,3747
969569,87612,3730,3730
,8035,3726,3726
969840,89222,3723,3723
954159,77758,3720,3720
,10299,3720,3720
889027,22683,3651,3651
,61445,3625,3625
,5931,3615,3615
901747,31671,3614,3614
,30408,3613,3613
,5803,3608,3608
900920,28252,3607,3607
,1743,3604,3604
,10163,3604,3604
,60592,3601,3601
902252,33841,3587,3587
889931,25665,3578,3578
962237,78703,3577,3577
,3214,3573,3573
,7626,3571,3571
,9520,3568,3568
969242,84776,3560,3560
969569,87601,3549,3549
901448,30649,3544,3544
969491,86793,3520,3520
970054,90621,3518,3518
,6802,3514,3514
889027,22663,3473,3473
969569,87608,3473,3473
,16563,3472,3472
900998,28520,3462,3462
,8052,3457,3457
969242,84782,3440,3440
889027,22614,3439,3439
969569,87621,3435,3435
,7630,3433,3433
969541,87328,3430,3430
946652,63543,3417,3417
969242,84839,3402,3402
902256,33885,3402,3402
,61293,3401,3401
902154,33334,3400,3400
889931,25604,3397,3397
,10363,3393,3393
946659,63564,3386,3386
969242,84786,3378,3378
888987,20781,3376,3376
900919,28223,3371,3371
901448,30650,3365,3365
954043,77320,3364,3364
889036,23754,3361,3361
888987,20801,3361,3361
889931,25625,3343,3343
,7031,3332,3332
,12549,3328,3328
950271,71491,3327,3327
,5959,3323,3323
969005,83336,3316,3316
946207,61969,3314,3314
969546,87406,3311,3311
888987,20846,3306,3306
,10613,3305,3305
,19736,3301,3301
969242,84783,3298,3298
969792,88902,3298,3298
,6770,3294,3294
970047,90530,3288,3288
,60187,3285,3285
,61634,3285,3285
,61074,3282,3282
902076,32938,3281,3281
969005,83310,3279,3279
,16219,3276,3276
,3760,3275,3275
941152,57006,3274,3274
969491,86877,3269,3269
,3717,3269,3269
970054,90622,3260,3260
,7632,3260,3260
969623,87998,3257,3257
951753,73446,3247,3247
969208,84535,3243,3243
,58284,3242,3242
954012,76870,3241,3241
,13363,3239,3239
889931,25624,3236,3236
,7633,3233,3233
,6720,3232,3232
,8995,3229,3229
,8043,3225,3225
,30824,3225,3225
969623,87969,3224,3224
,61488,3220,3220
953839,76112,3219,3219
888987,20870,3212,3212
889931,25662,3208,3208
889027,22656,3207,3207
969208,84520,3207,3207
,10239,3203,3203
,6762,3198,3198
970014,90337,3191,3191
,11678,3191,3191
,30740,3187,3187
,61719,3184,3184
952195,73982,3180,3180
,11683,3179,3179
,7063,3176,3176
962281,79207,3166,3166
975485,93057,3161,3161
922809,49762,3160,3160
,8338,3158,3158
888987,20926,3157,3157
,11665,3153,3153
953999,76799,3152,3152
951399,72522,3152,3152
,7483,3151,3151
,6766,3148,3148
,7627,3140,3140
,3719,3134,3134
,3195,3127,3127
,10738,3126,3126
,13587,3121,3121
888980,20163,3121,3121
,8017,3119,3119
889027,22576,3118,3118
,4373,3118,3118
969242,84807,3113,3113
889931,25580,3113,3113
889027,22757,3112,3112
,61107,3108,3108
888987,20804,3107,3107
,61632,3104,3104
969546,87393,3102,3102
902257,33893,3101,3101
911161,42806,3099,3099
888980,20195,3099,3099
943383,55419,3093,3093
901466,30699,3085,3085
,15630,3083,3083
969242,84837,3080,3080
,5914,3079,3079
,12374,3076,3076
888980,20182,3075,3075
953964,76662,3072,3072
901027,29061,3060,3060
969866,89487,3056,3056
,14794,3056,3056
889029,22945,3055,3055
,56486,3054,3054
,60591,3054,3054
946820,64214,3051,3051
,10483,3048,3048
969242,84838,3041,3041
,14556,3041,3041
943383,55593,3040,3040
888980,20161,3032,3032
,15497,3030,3030
,11509,3030,3030
902158,33375,3029,3029
,15049,3025,3025
,10204,3023,3023
,7706,3022,3022
969005,83371,3021,3021
901027,29088,3018,3018
,13185,3017,3017
889027,22738,3016,3016
900927,28271,3016,3016
,57554,3015,3015
,4253,3014,3014
922632,48691,3008,3008
969792,88936,3007,3007
941380,57778,3007,3007
969504,87117,3006,3006
902206,33626,3006,3006
969801,89046,3004,3004
,61198,3003,3003
,8440,3001,3001
889959,25956,3000,3000
,3730,3000,3000
888991,21256,2998,2998
943383,55364,2993,2993
,7437,2993,2993
969792,88886,2992,2992
889027,22692,2989,2989
,7431,2989,2989
969700,88472,2988,2988
,3417,2987,2987
,29807,2985,2985
901282,30235,2981,2981
,3983,2975,2975
,7528,2975,2975
943383,55396,2973,2973
888987,20782,2973,2973
,10445,2971,2971
969242,84826,2968,2968
943383,55519,2967,2967
954018,77070,2965,2965
,15636,2965,2965
,61442,2965,2965
,10630,2965,2965
888987,20788,2954,2954
943383,55561,2950,2950
969005,83295,2940,2940
969801,89053,2940,2940
,7027,2940,2940
,60456,2939,2939
901282,30236,2937,2937
,15055,2935,2935
,7364,2932,2932
,29560,2930,2930
922594,48537,2929,2929
969315,85647,2923,2923
,6666,2923,2923
,8246,2922,2922
969840,89244,2920,2920
889027,22578,2918,2918
967213,82107,2918,2918
,14466,2916,2916
,13622,2915,2915
888987,20946,2912,2912
889027,22664,2910,2910
,9521,2909,2909
969011,83482,2902,2902
970137,90960,2901,2901
943383,55436,2899,2899
,9673,2897,2897
,6761,2897,2897
889029,23080,2896,2896
889027,22739,2894,2894
901466,30698,2889,2889
,15496,2887,2887
,18329,2887,2887
,9185,2886,2886
969801,89004,2885,2885
969213,84587,2879,2879
,12868,2876,2876
,13354,2876,2876
975536,93573,2871,2871
922513,48100,2868,2868
975625,94519,2862,2862
889931,25634,2858,2858
889029,23071,2857,2857
969955,89964,2855,2855
,7794,2851,2851
969005,83314,2851,2851
941615,58620,2851,2851
,7421,2851,2851
,8504,2850,2850
970041,90467,2849,2849
969717,88545,2844,2844
969546,87370,2842,2842
889029,22900,2841,2841
969792,88910,2838,2838
941112,56868,2835,2835
,12547,2833,2833
,15067,2833,2833
969491,87007,2831,2831
,30120,2828,2828
968977,83104,2826,2826
889044,23984,2825,2825
969840,89265,2823,2823
969302,85423,2821,2821
893740,26678,2821,2821
,5920,2817,2817
889896,24975,2816,2816
975536,93713,2816,2816
,15631,2816,2816
975625,94506,2815,2815
949586,68640,2815,2815
969546,87380,2814,2814
946604,63352,2812,2812
962255,78859,2809,2809
915459,41394,2806,2806
888987,20795,2803,2803
889006,21917,2802,2802
,13632,2797,2797
946616,63400,2797,2797
888987,20794,2797,2797
,9192,2796,2796
943383,55667,2794,2794
943383,55649,2793,2793
,15074,2789,2789
953648,75287,2786,2786
