"postal_cd","locale","n_locale","n","percent"
"WA","Urban",26,295,9
"WA","Suburban",54,295,18
"WA","Small Town",59,295,20
"WA","Rural",156,295,53
"WA Clean","Urban",13,221,6
"WA Clean","Suburban",35,221,16
"WA Clean","Small Town",42,221,19
"WA Clean","Rural",131,221,59
