BE Name,esh_id,c1_discount_rate_max,c1_discount_rate_min,num_schools
ALBANY CO SCHOOL DISTRICT 1,984853,60,50,14
ALBANY INDEP SCHOOL DISTRICT,968973,80,70,2
ALBANY SCHOOL DISTRICT,983711,70,60,3
ALBANY SCHOOL DISTRICT R 3,924070,80,80,3
ALBANY UNIFIED SCH DIST,882523,50,50,7
ALBA PUBLIC SCHOOL,919479,90,90,1
ALBEMARLE COUNTY SCHOOL DIST,975467,60,60,24
ALBERT CITY-TRUESDALE CSD,894149,80,80,1
ALBERT GALLATIN AREA SCH DIST,953603,80,80,9
ALBERT LEA SCHOOL DISTRICT 241,922509,80,80,9
ALBERTON SCHOOL DISTRICT 2,928764,90,90,3
ALBERTVILLE CITY SCHOOL DIST,882387,90,90,6
ALBIA COMMUNITY SCHOOL DIST,894159,70,70,4
ALBION CENTRAL SCHOOL DISTRICT,946188,80,80,3
ALBION SCHOOL DISTRICT,919480,90,90,4
ALBION SCHOOL DISTRICT 2,951072,90,90,1
ALBUQUERQUE SCHOOL DISTRICT,942810,80,80,141
ALBURNETT COMM SCHOOL DISTRICT,894160,60,50,2
ALCESTER-HUDSON SCHOOL DISTRICT 61-1,965822,60,60,3
ALCOA CITY SCHOOL DISTRICT,967050,80,80,3
ALCONA COMMUNITY SCHOOL DIST,919481,80,80,2
ALCORN SCHOOL DISTRICT,926551,80,80,12
ALDEN CENTRAL SCHOOL DISTRICT,946189,60,60,3
ALDEN COMMUNITY SCHOOL DIST,894150,60,60,1
ALDEN HEBRON SCHOOL DIST 19,900886,70,70,3
ALDEN SCHOOL DISTRICT 242,922510,70,70,2
ALDINE INDEP SCHOOL DISTRICT,968974,90,90,75
ALEDO INDEP SCHOOL DISTRICT,968975,50,50,8
ALEUTIAN EAST BOROUGH SCH DIST,882576,80,80,7
ALEUTIAN REGION SCHOOL DIST,882581,90,90,3
ALEXANDER CENTRAL SCH DISTRICT,946190,60,60,2
ALEXANDER CITY SCHOOL DISTRICT,881509,80,80,5
ALEXANDER CITY SCHOOL DISTRICT ,881509,80,80,5
ALEXANDER COUNTY SCHOOL DIST,929394,80,80,10
ALEXANDER LOCAL SCHOOL DIST,949818,70,70,3
ALEXANDER SCHOOL DISTRICT 2,933633,60,60,2
ALEXANDER VLY UN ELEM SCH DIST,882532,60,60,1
ALEXANDRIA CENTRAL SCHOOL DIST,946191,70,70,2
ALEXANDRIA CITY PUB SCH DIST,975485,80,80,19
ALEXANDRIA COMM SCHOOL CORP,901936,80,80,3
ALEXANDRIA SCHOOL DISTRICT 206,922511,60,60,8
ALEXANDRIA TWP SCHOOL DISTRICT,941010,50,50,2
ALEX PUBLIC SCHOOL DIST I-56,951074,90,90,3
ALFRED-ALMOND CENTRAL SCH DIST,946192,70,70,2
ALGOMA SCHOOL DISTRICT,983712,70,70,2
ALGONAC COMM SCHOOL DISTRICT,919482,60,60,5
ALGONA COMMUNITY SCHOOL DIST,894161,60,60,5
ALHAMBRA ELEM SCH DISTRICT 68,882750,90,90,15
ALHAMBRA UNIFIED SCHOOL DISTRICT,882117,80,80,18
ALICE INDEP SCHOOL DISTRICT,968976,90,90,10
ALIEF INDEP SCHOOL DISTRICT,968977,90,90,46
ALINE-CLEO INDEP SCHOOL DIST 4,951075,80,80,2
ALIQUIPPA SCHOOL DISTRICT,953604,90,90,2
ALISAL UNION ELEM SCH DISTRICT,882537,90,90,12
ALLAMAKEE COMM SCHOOL DIST,894162,80,80,5
ALLAMUCHY TOWNSHIP SCHOOL DIST,941016,40,40,2
ALLEGAN PUBLIC SCHOOL DISTRICT,919483,80,80,7
ALLEGANY COUNTY SCHOOL DIST,915443,80,80,27
ALLEGHANY COUNTY SCHOOL DISTRICT,929423,80,80,4
ALLEGHANY COUNTY SCHOOLS,975486,70,70,7
ALLEGHENY-CLARION VALLEY SCH DIST,953607,70,70,2
ALLEGHENY VALLEY SCHOOL DIST,953605,60,60,3
ALLEN-BOWDEN SCHOOL DIST 35,951078,90,90,1
ALLEN CONS SCHOOL DISTRICT 70,936016,70,70,2
ALLEN COUNTY SCHOOL DISTRICT,904367,80,80,5
ALLENDALE C C SCHOOL DIST 17,900888,80,80,1
ALLENDALE COUNTY SCHOOL DIST,962219,90,90,4
ALLENDALE PUBLIC SCHOOLS DISTRICT,919485,50,50,5
ALLENDALE SCHOOL DISTRICT,941042,40,40,2
ALLEN EAST LOCAL SCHOOL DIST,949802,50,50,2
ALLEN INDEP SCHOOL DISTRICT,968979,40,40,24
ALLEN INDEP SCHOOL DISTRICT 1,951077,80,80,2
ALLEN OTTER CREEK CCSD DISTRICT 65,900887,60,60,1
ALLEN PARISH SCHOOL DISTRICT,909655,80,80,12
ALLEN PARK SCHOOL DISTRICT,919484,50,50,6
ALLENSWORTH ELEM SCHOOL DIST,882547,90,90,1
