BE Name,esh_id,c1_discount_rate_max,c1_discount_rate_min,num_schools
ELK RAPIDS SCHOOL DISTRICT,919650,70,60,5
ELK RIVER INDEPENDENCE SCHOOL DISTRICT 728,922590,50,40,26
ELKTON PIGEON BAY PORT LAKER SCHOOL,919651,80,80,3
ELKTON SCHOOL DISTRICT 5-3,965897,70,60,5
ELK TOWNSHIP SCHOOL DISTRICT,941204,70,70,1
ELK VALLEY UNIF SCH DIST 283,903483,90,90,2
ELLENDALE SCHOOL DISTRICT 40,933658,60,60,3
Ellensburg School District 401,983042,70,70,7
ELLENSBURG SCHOOL DISTRICT 401,983042,70,70,7
ELLENVILLE CENTRAL SCHOOL DIST,946379,80,80,3
ELLICOTT SCHOOL DISTRICT 22,882071,80,80,3
ELLICOTTVILLE CENTRAL SCH DIST,946380,60,60,2
ELLINGTON SCHOOL DISTRICT,884228,40,40,6
ELLINWOOD UNIFIED SCH DIST 355,903487,80,80,3
ELLIOTT COUNTY SCHOOL DISTRICT,904446,90,90,4
ELLISTON SCHOOL DISTRICT 27,928898,80,80,1
ELLIS UNIFIED SCH DISTRICT 388,903488,60,60,2
ELL-SALINE UNIF SCH DIST 307,903486,70,70,2
ELLSWORTH COMM SCHOOL DIST,919652,80,80,1
ELLSWORTH COMM SCHOOL DISTRICT,983888,60,60,4
ELLSWORTH SCHOOL DISTRICT 514,922591,70,70,2
ELLSWORTH UNIF SCHOOL DIST 327,903489,70,70,3
ELLWOOD CITY AREA SCHOOL DIST,953771,70,70,4
ELMA SCHOOL DISTRICT 68,983043,80,80,4
ELMBROOK SCHOOL DISTRICT,983771,40,40,11
ELM CREEK PUBLIC SCHOOL DIST,936065,70,70,2
ELMHURST C U SCHOOL DIST 205,901126,40,40,12
ELMIRA CITY SCHOOL DISTRICT,946381,90,90,13
ELMIRA HEIGHTS CTRL SCH DIST,946382,80,80,3
ELMONT ADMINISTRATION BUILDING,946383,80,80,6
EL MONTE CITY ELEM SCHOOL DIST,883259,90,90,15
EL MONTE UNION HIGH SCH DIST,883261,90,90,8
ELMONT UNION FREE SCH DISTRICT,946383,80,80,6
ELMORE COUNTY SCHOOL DISTRICT,881892,80,80,15
ELMORE CTY-PERNELL SCHOOLS,951284,80,80,3
ELM RIVER TWP SCHOOL DISTRICT,919653,90,90,1
ELMSFORD UNION FREE SCH DIST,946384,80,80,3
ELMWOOD COMMUNTY UNIT SCHOOL DISTRICT 322,901127,60,60,3
ELMWOOD LOCAL SCHOOL DISTRICT,950296,70,70,3
ELMWOOD-MURDOCK PUBLIC SCHOOLS,936011,60,60,2
ELMWOOD PARK COMM UNIT S D 401,901128,80,80,5
ELMWOOD PARK SCHOOL DISTRICT,941206,60,60,5
ELMWOOD SCHOOL DISTRICT,983890,70,70,3
EL NIDO ELEM SCHOOL DISTRICT,883264,90,90,1
ELOY ELEM SCHOOL DISTRICT 11,883125,90,90,3
EL PASO - GRIDLEY COMMUNITY UNIT SCHOOL DIST 11,900850,70,70,5
EL PASO INDEP SCHOOL DISTRICT,969315,80,80,106
EL RANCHO UNIF SCHOOL DISTRICT,883266,90,90,15
EL RENO INDEP SCHOOL DIST 34,951278,80,80,7
EL SEGUNDO UNIFIED SCHOOL DIST,883268,40,40,5
ELSINBORO TOWNSHIP SCHOOL DIST,941207,70,70,1
EL TEJON UNIFIED SCHOOL DIST,881558,80,80,4
ELVERADO C U SCHOOL DIST 196,901123,80,80,4
ELVERTA JOINT ELEM SCHOOL DIST,883277,80,80,2
ELWOOD COMMUNITY SCHOOL CORP,902029,80,80,4
ELWOOD PUBLIC SCHOOL DISTRICT,936066,80,80,2
ELWOOD UNION FREE SCHOOL DIST,946386,40,40,4
ELYRIA CITY SCHOOL DISTRICT,949612,80,80,13
ELY SCHOOL DISTRICT 696,922592,70,70,2
ELYSIAN FIELDS SCHOOL DISTRICT,969322,70,70,3
ELYSIAN SCHOOL DISTRICT 23,928899,70,70,2
EMANUEL COUNTY SCHOOL DIST,889915,90,90,9
EMERADO SCHOOL DISTRICT 127,933660,80,80,1
EMERSON BD OF EDUC,941208,40,40,3
EMERSON-HUBBARD COMM SCHOOLS,935977,70,70,2
EMERSON-TAYLOR-BRADLEY SCHOOL DISTRICT,881728,80,80,4
EMERY COUNTY SCHOOL DISTRICT,972204,70,70,10
EMERY UNIFIED SCHOOL DISTRICT,883279,80,80,3
EMINENCE COMMUNITY SCHOOL CORPORATION,902030,70,60,2
EMINENCE INDEP SCHOOL DISTRICT,904447,80,80,3
EMINENCE SCHOOL DISTRICT R 1,924210,80,80,2
EMMETSBURG COMMUNITY SCH DIST,894272,70,70,3
EMMETT SCHOOL DISTRICT 221,895423,80,80,10
EMMONS SCHOOL DISTRICT 33,901132,40,40,1
EMPIRE SCHOOL DISTRICT I0-21,951285,70,70,3
EMPIRE UNION ELEM SCHOOL DIST,883281,90,90,6
EMPORIA UNIF SCH DISTRICT 253,903490,80,80,8
ENCINITAS UNION ELEM SCH DIST,883283,40,40,9
ENDERLIN AREA SCHOOL DISTRICT 24,933614,70,70,2
ENDICOTT SCHOOL DISTRICT 308,983044,80,80,1
ENFIELD SCHOOL DISTRICT,884229,60,60,12
ENGADINE CONSOLIDATED SCHOOL DISTRICT,919685,80,80,1
ENGLAND PUBLIC SCHOOL DIST 2,882187,90,90,2
ENGLAND SCHOOL DISTRICT,882187,90,90,2
ENGLEWOOD CLIFFS SCHOOL DIST,941210,40,40,2
ENGLEWOOD PUBLIC SCHOOLS,882075,80,80,8
ENGLEWOOD SCHOOL DISTRICT,941209,80,80,5
ENGLISH VALLEYS COMM SCH DIST,894274,70,70,2
ENID INDEP SCHOOL DISTRICT 57,951286,80,80,15
ENNIS INDEP SCHOOL DISTRICT,969323,80,80,10
ENNIS SCHOOL DISTRICT 52,928900,60,60,3
ENTERPRISE CITY SCHOOL DIST,881897,60,60,11
ENTERPRISE ELEM SCHOOL DIST,883285,80,80,8
ENTERPRISE SCHOOL DISTRICT,926598,80,80,3
ENTERPRISE SCHOOL DISTRICT 21,952217,70,70,2
ENTIAT SCHOOL DISTRICT 127,983045,80,80,2
ENUMCLAW SCHOOL DISTRICT 216,982923,50,50,9
EPHRATA AREA SCHOOL DISTRICT,953772,60,60,6
EPHRATA SCHOOL DISTRICT 165,983046,80,80,8
EPPING SCHOOL DISTRICT,937525,60,60,3
EPSOM SCHOOL DISTRICT,937526,60,60,1
ERA INDEPENDENT SCHOOL DIST,969324,70,70,1
ERICK INDEP SCHOOL DISTRICT 51,951288,70,70,2
ERIE CITY SCHOOL DISTRICT,953775,90,90,23
ERIE UNIF SCH DIST 101,903491,80,80,3
ERIN SCHOOL DISTRICT,983892,50,50,1
ERLANGER-ELSMERE IND. SCHOOL DIST.,904449,80,80,7
ESCALON UNIFIED SCHOOL DIST,883287,80,80,7
ESCAMBIA COUNTY SCHOOL DIST,888992,90,80,63
ESCANABA AREA SCHOOL DIST,919654,70,70,6
ESCONDIDO UNION ELEM SCH DIST,883289,90,90,23
ESCONDIDO UNION HIGH SCH DIST,883291,80,80,6
ESKO PUBLIC SCHOOL DISTRICT 99,922793,50,50,2
ESMERALDA CO SCHOOL DISTRICT,943387,80,80,3
ESPANOLA PUBLIC SCHOOL DIST,942899,90,90,14
ESPARTO UNIF SCHOOL DISTRICT,883293,80,80,3
ESSEX COMMUNITY SCHOOL DIST,894276,70,70,2
ESSEX COUNTY SCHOOL DISTRICT,975533,80,80,3
ESSEX FELLS ELEMENTARY SCHOOL,947838,20,20,
ESSEX TOWN SCHOOL DISTRICT 59,980717,50,50,3
ESSEXVILLE-HAMPTON SCHOOL DIST,919655,50,50,5
ESTACADA SCHOOL DISTRICT 108,952212,80,80,6
ESTANCIA MUNICIPAL SCHOOL DIST,942900,90,90,6
ESTELLINE SCHOOL DISTRICT 28-2,965901,60,60,3
ESTELL MANOR SCHOOL DISTRICT,941213,50,50,1
ESTHERVILLE LINCOLN CENTRAL COM SCH DIST.,894277,70,70,4
ESTHERVILLE LINCOLN CENTRAL SD,894277,70,70,4
ESTILL COUNTY SCHOOL DISTRICT,904450,80,80,5
ESWOOD CC SCHOOL DIST 269,901134,70,70,1
ETHAN SCHOOL DISTRICT 17-1,965902,60,60,3
ETIWANDA ELEMENTARY SCH DIST,883295,50,50,17
ETOILE INDEP SCHOOL DISTRICT,969325,90,90,2
ETOWAH CITY SCHOOL DISTRICT,967095,90,90,1
ETOWAH COUNTY SCHOOL DISTRICT,881907,80,80,23
EUCLID CITY SCHOOL DISTRICT,949613,90,90,10
EUDORA UNIFIED SCHOOL DIST 491,903493,70,70,3
EUFAULA CITY SCHOOLS,881920,80,80,6
EUFAULA INDEP SCHOOL DIST 1,951289,80,80,3
EUGENE SCHOOL DISTRICT 4 J,952214,60,60,32
EULA INDEP SCHOOL DISTRICT,969326,80,70,3
EUNICE PUBLIC SCHOOL DISTRICT,942901,80,80,3
EUREKA CITY SCHOOL DISTRICT,881719,80,80,8
EUREKA COUNTY SCHOOL DISTRICT,943388,60,60,4
EUREKA SCHOOL C U DIST 140,901135,60,60,5
EUREKA SCHOOL DISTRICT 13,929019,80,80,3
EUREKA SCHOOL DISTRICT 44-1,965903,70,70,3
EUREKA SPRINGS SCHOOL DISTRICT,882192,80,80,3
EUREKA UNIFIED SCHOOL DIST 389,903494,80,80,2
EUREKA UNION ELEM SCHOOL DIST,883297,40,40,7
EUSTACE INDEPENDENT SCHOOL DISTRICT,969327,80,80,4
EUSTIS FARNAM SCHOOL DISTRICT,935957,70,70,2
EVADALE INDEP SCHOOL DISTRICT,969328,70,60,4
EVALINE SCHOOL DISTRICT 36,983047,80,70,1
EVANGELINE PARISH SCHOOL DIST,909723,90,90,12
EVANS-BRANT CENTRAL SCH DIST,946550,60,60,5
EVANS COUNTY SCHOOL DISTRICT,889916,90,90,3
EVANSTON TOWNSHIP HIGH SCHOOL,901137,60,60,1
EVANSVILLE COMM SCHOOL DIST,983893,60,60,4
EVANSVILLE-VANDERBURGH SCHOOL CORP.,902032,80,80,39
EVANT INDEP SCHOOL DISTRICT,969329,80,80,2
EVART PUBLIC SCHOOLS,919656,80,80,4
EVELETH-GILBERT SCH DIST 2154,922217,70,70,4
EVERETT AREA SCHOOL DISTRICT,953776,80,80,5
EVERETT SCHOOL DISTRICT,911094,90,90,7
Everett School District 2,983048,60,60,34
EVERETT SCHOOL DISTRICT 2,983048,60,60,34
EVERGREEN ELEM SCHOOL DISTRICT,883299,50,50,18
EVERGREEN LOCAL SCHOOL DIST,949930,60,60,3
EVERGREEN PARK COMM DIST 231,901139,60,60,1
EVERGREEN PARK SCHOOL DIST 124,901138,60,60,5
EVERGREEN SCHOOL DISTRICT,983049,60,60,36
EVERGREEN SCHOOL DISTRICT 205,983050,80,80,1
EVERGREEN SCHOOL DISTRICT 50,928911,90,80,3
EVERGREEN UNION ELEM SCH DIST,883301,80,80,5
EVERMAN INDEP SCHOOL DISTRICT,969330,90,90,11
EVERTON SCHOOL DISTRICT R 3,924212,80,70,3
EVESHAM TWP SCHOOL DISTRICT,941214,40,40,9
EWEN-TROUT CREEK CONSOLIDATED SCHOOL DISTRICT,919146,80,80,1
EWING-NORTHERN GRADE SCH DIST #115,901140,80,80,1
EWING PUBLIC SCHOOL DISTRICT,935910,80,80,2
EWING TOWNSHIP SCHOOL DISTRICT,941215,60,60,5
EXCELSIOR INDEP SCHOOL DIST,969331,80,80,1
EXCELSIOR SPRINGS SCH DIST 40,924213,80,70,7
EXCELSIOR TWP SCH DISTRICT 1,919657,80,80,1
EXETER-MILLIGAN PUBLIC SCHOOL DISTRICT,935974,60,60,3
EXETER PUBLIC SCHOOLS,883303,80,80,4
EXETER SCHOOL DISTRICT R 6,924214,80,80,2
EXETER TOWNSHIP SCHOOL DIST,953778,50,50,6
EXETER UNION HIGH SCHOOL,883305,90,80,4
EXETER-WEST GREENWICH REG DIST,959609,50,50,4
EXIRA-ELK HORN-KIMBALLTON COMM SCHL DIST,894271,70,70,2
EZZELL INDEP SCHOOL DISTRICT,969332,70,70,2
FABENS INDEP SCHOOL DISTRICT,969333,90,90,5
FABIUS-POMPEY CENTRAL SCHOOL DISTRICT,946391,60,60,2
FAIRBANKS LOCAL SCHOOL DIST,950259,60,60,3
FAIRBANKS-N STAR BORO SCH DIST,882737,60,60,31
FAIRBORN CITY SCHOOL DISTRICT,949614,80,80,4
FAIRBURY PUBLIC SCHOOL DIST,936067,80,80,4
Fairfax County Public Schools,975536,50,50,214
FAIRFAX ELEMENTARY SCHOOL DIST,883307,90,90,3
FAIRFAX SCHOOL DISTRICT R 3,924218,70,70,2
FAIRFIELD AREA SCHOOL DISTRICT,953779,60,60,3
FAIRFIELD BOARD OF ED.,941218,40,40,2
Fairfield City School District,881925,90,90,7
FAIRFIELD CITY SCHOOL DISTRICT,949838,90,60,9
FAIRFIELD COMM H S DIST 225,901424,70,70,1
FAIRFIELD COMM SCHOOL DISTRICT,894279,70,70,5
FAIRFIELD COMMUNITY SCHOOL DST,902033,60,60,4
FAIRFIELD COUNTY SCHOOL DIST,962258,90,90,8
FAIRFIELD INDEP SCHOOL DIST,969336,80,80,5
FAIRFIELD LOCAL SCHOOL,949989,70,70,3
FAIRFIELD PUB SCHOOL DIST 112,901141,80,80,2
FAIRFIELD SCHOOL DISTRICT,884231,40,40,16
FAIRFIELD SCHOOL DISTRICT 21,928903,70,70,3
FAIRFIELD-SUISUN UNIF SCH DIST,883309,80,80,30
FAIRFIELD TWP PUBLIC SCHOOLS,941219,80,80,1
FAIRFIELD UNIFIED SCH DIST 310,910719,80,80,
FAIRFIELD UNION LOCAL SCH DIST,949915,70,70,4
FAIR GROVE SCHOOL DISTRICT R10,924216,80,70,3
FAIR HAVEN SCHOOL DISTRICT,941216,20,20,2
FAIRHAVEN SCHOOL DISTRICT,911095,50,50,5
FAIRLAND INDEP SCHOOL DIST 31,951291,80,80,3
FAIRLAND LOCAL SCHOOL DISTRICT,950017,60,60,4
FAIRLAWN LOCAL SCHOOL DISTRICT,950197,60,60,2
FAIR LAWN PUBLIC SCHOOL DIST,941217,40,40,9
FAIRLESS LOCAL SCHOOL DISTRICT,950205,70,70,3
FAIRMONT AREA SCHOOLS 2752,922291,70,70,2
FAIR-MONT-EGAN SCHOOL DIST 3,928905,50,50,2
FAIRMONT SCHOOL DISTRICT 89,901142,90,90,1
FAIRMOUNT SCHOOL DISTRICT 18,933661,80,80,2
FAIR PLAY SCHOOL DISTRICT R 2,924217,90,90,3
FAIRPORT CENTRAL SCHOOL DIST,946392,50,50,8
FAIRPORT HBR EXEMPTD VLG S D,949767,60,60,2
FAIRVIEW AREA SCHOOL DISTRICT,919608,80,80,2
FAIRVIEW INDEP SCHOOL DISTRICT,904451,90,90,2
FAIRVIEW PARK SCHOOL DISTRICT,949615,50,50,4
FAIRVIEW PUBLIC SCHOOLS,951293,70,70,3
FAIRVIEW SCHOOL DISTRICT,953780,90,60,3
FAIRVIEW SCHOOL DISTRICT R 11,924219,80,80,1
FAITH SCHOOL DISTRICT 46-2,965904,70,70,4
FALCONER CENTRAL SCH DISTRICT,946393,80,80,3
FALCON SCHOOL DISTRICT 49,882101,50,50,17
FALLBROOK UNION ELEM SCH DIST,883313,80,80,9
FALLBROOK UNION HIGH SCH DIST,883315,80,80,3
FALL CREEK SCHOOL DISTRICT,983895,60,60,3
FALL MOUNTAIN REG SCH DISTRICT,937530,70,70,11
FALL RIVER JOINT UNIFIED SD,883311,80,80,11
FALL RIVER PUBLIC SCHOOL DIST,911096,90,90,17
FALL RIVER SCHOOL DISTRICT,983897,70,60,2
FALLSBURG CENTRAL SCHOOL DIST,946394,90,90,2
FALLS CHURCH CITY SCH DISTRICT,975537,40,40,4
FALLS CITY INDEP SCHOOL DIST,969337,60,60,5
FALLS CITY PUBLIC SCHOOL DIST,936068,80,80,4
Falls City School District 57,952099,90,90,2
FALLS CITY SCHOOL DISTRICT 57,952099,90,90,2
FALMOUTH SCHOOL DISTRICT,917385,50,50,3
FANNETT-METAL SCHOOL DISTRICT,953783,70,70,3
FANNIN COUNTY SCHOOL DISTRICT,889917,80,80,5
FANNINDEL INDEP SCHOOL DIST,969339,90,90,2
FANSHAWE SCHOOL DISTRICT 39,951294,80,80,1
FARGO INDEP SCHOOL DISTRICT 2,951295,80,80,2
FARGO SCHOOL DISTRICT 1,933662,50,50,21
FARIBAULT SCHOOL DISTRICT 0656,922595,80,80,12
FARMERSVILLE SCHOOL DISTRICT,969342,80,80,5
FARMERSVILLE UNIF SCHOOL DIST,881605,90,90,6
FARMINGDALE DISTRICT OFFICE,946395,50,50,6
FARMINGDALE SCHOOL DISTRICT,941221,60,60,1
FARMINGDALE UN FREE SCH DIST,946395,50,50,6
FARMINGTON CEN COMM UN S D 265,900641,70,70,3
FARMINGTON MUNCPL SCH DIST 5,942902,80,80,17
FARMINGTON PUBLIC SCHOOLS,919658,50,50,19
FARMINGTON RIVER REG SCH DIST,911363,70,70,1
FARMINGTON SCHOOL DISTRICT,937532,70,40,3
FARMINGTON SCHOOL DISTRICT 192,922596,40,40,9
FARMINGTON SCHOOL DISTRICT R 7,924221,80,80,9
FARRAGUT COMM SCHOOL DISTRICT,894281,70,70,2
FARRELL AREA SCHOOL DISTRICT,953785,90,90,2
FARWELL AREA SCHOOL DISTRICT,919659,90,90,5
FARWELL INDEP SCHOOL DISTRICT,969343,80,80,3
FAULKTON AREA SCH DIST 24-4,965907,60,60,7
FAUQUIER COUNTY SCHOOL DIST,975538,60,60,20
FAYETTE COUNTY BOARD OF EDUCATION,889918,50,50,28
FAYETTE COUNTY SCHOOL CORPORATION,902034,80,80,10
FAYETTE COUNTY SCHOOL DISTRICT,983784,90,50,20
FAYETTE SCHOOL DISTRICT R 3,924223,80,80,3
FAYETTEVILLE CITY SCHOOL DIST,967097,80,80,3
FAYETTEVILLE INDEP SCHOOL DIST,969344,60,60,1
FAYETTEVILLE-MANLIUS SCH DIST,946592,40,40,6
FAYETTEVILLE-PERRY SCHOOL DIST,949831,70,70,3
FAYETTEVILLE SCHOOL DISTRICT,882206,60,60,14
FAYETTEVILLE SCHOOL DISTRICT # 1,882206,60,60,14
FEATHER FALLS UN SCHOOL DIST,883318,90,90,1
FEDERAL HOCKING LOCAL SCH DIST,949819,90,90,4
FEDERAL WAY SCHOOL DIST 210,983051,80,80,46
FELICITY-FRANKLIN SCHOOL DIST,970259,80,80,
FELT INDEP SCHOOL DISTRICT 10,951299,80,80,2
FENNIMORE SCHOOL DISTRICT,983898,70,70,2
FENNVILLE PUBLIC SCHOOL DIST,919660,80,80,4
FENTON AREA PUBLIC SCHOOL DIST,919662,50,50,6
FENTON HIGH SCHOOL DIST 100,901145,80,80,1
FENTRESS COUNTY SCHOOL DIST,967098,90,90,6
FERGUS FALLS SCHOOL DIST 544,922597,60,60,6
FERGUS HIGH SCHOOL,931773,70,70,
FERGUSON-FLORISSANT SCH DIST,924224,90,90,23
FERNDALE AREA SCHOOL DISTRICT,953786,80,80,2
FERNDALE PUBLIC SCHOOL DIST,919663,80,80,8
FERNDALE SCHOOL DISTRICT 502,983052,60,60,11
FERNDALE UNIFIED SCHOOL DIST,881633,70,70,2
FERN RIDGE SCHOOL DIST 28 J,952215,70,70,4
FERRIS INDEP SCHOOL DISTRICT,969345,90,90,5
FERTILE-BELTRAMI SCH DIST 599,922598,70,60,2
FESSENDEN-BOWDON SCHOOL DISTRICT 25,933600,60,60,2
FESTUS SCHOOL DISTRICT R 6,924225,60,60,4
FIELDBROOK ELEMENTARY SCHOOL,922138,70,70,
FIELD COMM CONS SCH DISTRICT 3,901146,70,70,1
FIELDCREST C U SCHOOL DIST 6,901147,60,60,4
FIELD LOCAL SCHOOL DISTRICT,950141,60,60,4
FIFE SCHOOL DISTRICT 417,983053,60,60,7
FILER SCHOOL DISTRICT 413,895424,80,80,5
FILLMORE CENTRAL PUBLIC SCHOOL DISTRICT,935963,60,60,3
FILLMORE CENTRAL SCH DIST 2198,922270,70,70,3
FILLMORE CENTRAL SCHOOL DIST,946396,80,80,1
FILLMORE UNIFIED SCHOOL DIST,883322,90,90,8
FINDLAY CITY SCHOOL DISTRICT,950364,60,60,12
FINLEY SCHOOL DISTRICT,983054,80,80,3
FINLEY-SHARON SCHOOL DIST 19,933663,50,50,2
FINNEYTOWN LOCAL SCHOOL DIST,949958,80,80,3
FIREBAUGH-LAS DELTAS UNIF S D,883324,90,90,6
FIRELANDS LOCAL SCHOOL DIST,950041,60,60,3
FIRTH SCHOOL DISTRICT 59,895425,80,80,3
FISHER COMM UNIT SCHOOL DIST 1,901148,70,70,2
FISHER IND SCHOOL DIST 600,922599,70,70,2
FISHERS ISLAND UN FR SCH DIST,946397,25,25,1
FITCHBURG SCHOOL DISTRICT,911098,90,90,10
FITZGERALD PUBLIC SCHOOLS,919664,90,90,6
FLAGLER COUNTY SCHOOL DISTRICT,888993,80,80,14
FLAGSTAFF UNIFIED SCHOOL DISTRICT,883129,80,80,21
FLAMBEAU SCHOOL DISTRICT,984229,80,80,3
FLANAGAN-CORNELL UNIT 74,900867,70,70,2
FLANDREAU SCHOOL DISTRICT 50-3,965908,70,70,4
FLASHER SCHOOL DISTRICT 39,933664,60,60,2
FLATONIA INDEP SCHOOL DISTRICT,969346,80,80,3
FLAT ROCK COMM SCHOOL DISTRICT,919553,60,60,4
FLAT ROCK-HAWCREEK SCHOOL CORP,902035,70,70,2
FLEETWOOD AREA SCHOOL DISTRICT,953787,50,50,5
FLEMING COUNTY SCHOOL DISTRICT,904453,80,80,6
FLEMINGTON-RARITAN REG DIST,941222,40,40,6
FLETCHER INDEP SCHOOL DIST 9,951300,80,80,3
FLINT CITY SCHOOL DIST,919665,90,90,24
FLINT HILLS UNIF SCH DIST 492,903641,50,50,4
FLIPPIN PUBLIC SCHOOL DISTRICT,882210,90,90,3
FLIPPIN SCHOOL DISTRICT,882210,90,90,3
FLOODWOOD SCHOOL DISTRICT 698,922600,70,70,3
FLORAL PARK-BELLEROSE UN DIST,946398,40,40,2
FLORA SCHOOL DISTRICT 35,901149,80,80,6
FLORENCE-CARLTON SCH DIST 15-6,928915,60,60,3
FLORENCE CITY SCHOOL DISTRICT,881936,80,80,8
FLORENCE CO SCHOOL DISTRICT,983901,80,80,3
FLORENCE COUNTY SCHOOL DIST 2,962261,80,80,2
FLORENCE COUNTY SCHOOL DIST 3,962262,90,90,8
FLORENCE COUNTY SCHOOL DIST 4,962263,90,90,3
FLORENCE COUNTY SCHOOL DIST 5,962265,80,80,3
FLORENCE INDEP SCHOOL DISTRICT,969348,80,80,6
FLORENCE PUBLIC SCHOOL DIST 1,962259,80,80,21
FLORENCE SCHOOL DISTRICT 14-1,965910,70,70,3
FLORENCE SCHOOL DISTRICT 2,882113,80,80,5
FLORENCE TOWNSHIP SCHOOL DIST,941223,50,50,3
FLORENCE UNIFIED SCHOOL DIST 1,883131,80,80,11
FLORESVILLE INDEP SCHOOL DIST,969349,80,80,7
FLORHAM PARK SCHOOL DISTRICT,941224,40,40,3
FLORIDA UNION FREE SCHOOL DISTRICT,946788,60,60,2
FLOSSMOOR SCHOOL DISTRICT 161,901150,60,60,5
FLOUR BLUFF INDEP SCHOOL DIST,969350,60,60,7
FLOURNOY UN ELEM SCH DISTRICT,883326,80,80,1
FLOWER MOUND SCHOOL DIST 48,951301,50,50,1
FLOWING WELLS SCHOOL DIST 8,883133,90,60,10
FLOYDADA INDEP SCHOOL DISTRICT,969351,90,80,5
FLOYD COUNTY BOE COMPLEX,889919,80,80,20
FLOYD COUNTY SCHOOL DISTRICT,904454,90,80,19
FLOYD COUNTY SCHOOL DIVISION,975542,80,80,5
FLOYD MUNICIPAL SCHOOL DIST,942903,90,90,3
FLUSHING COMM SCHOOL DISTRICT,919666,60,50,7
FLUVANNA COUNTY SCHOOL DIST,975544,60,60,7
FOLEY SCHOOL DISTRICT 51,922601,60,60,3
FOLLETT INDEP SCHOOL DISTRICT,969352,80,70,1
FOLSOM CORDOVA UNIF SCH DIST,883328,60,60,32
FOLSOM SCHOOL DISTRICT,941225,70,70,1
FONDA-FULTONVILLE CENTRAL SCHOOL DISTRICT,946400,70,60,3
FOND DU LAC SCHOOL DISTRICT,983902,60,60,13
FONTANA J8 SCHOOL DISTRICT,983903,60,60,1
FONTANA UNIF SCHOOL DISTRICT,883330,90,90,43
FORBES ROAD SCHOOL DISTRICT,953788,70,70,2
FORD HEIGHTS SCHOOL DIST 169,901049,90,90,2
FORDLAND SCHOOL DISTRICT R 3,924226,80,80,3
FORDVILLE-LANKIN PUBLIC SCHOOL,933608,60,60,2
FORDVILLE PUBLIC SCHOOL,933608,60,60,2
FORDYCE PUBLIC SCHOOL DISTRICT,882216,80,80,3
FORDYCE SCHOOL DISTRICT,882216,80,80,3
FOREMAN PUBLIC SCHOOL DISTRICT,882220,80,70,2
FOREMAN SCHOOL DISTRICT,882220,80,80,2
FOREST AREA COMMUNITY SCHOOLS,919667,80,80,4
FOREST AREA SCHOOL DISTRICT,953755,80,80,4
FORESTBURG INDEP SCHOOL DIST,969353,70,70,1
FOREST CITY COMM SCHOOL DIST,894282,70,60,4
FOREST CITY REG SCHOOL DIST,953789,80,80,2
FOREST GROVE SCHOOL DIST 15,952219,80,80,9
FOREST GROVE SCHOOL  DISTRICT,951302,90,90,1
FOREST HILLS PUBLIC SCHOOLS,919668,40,40,17
FOREST HILLS SCHOOL DISTRICT,953794,70,40,3
FORESTHILL UNION ELEM SCH DIST,883332,70,70,2
FOREST LAKE SCHOOL DIST 831,922602,60,60,13
FOREST MUNICIPAL SCHOOL DIST,926600,90,90,3
FOREST PARK SCHOOL DISTRICT,919620,80,80,1
FOREST PARK SCHOOL DISTRICT 91,901151,80,60,5
FOREST RIDGE SCHOOL DIST 142,901152,60,60,4
FORESTVILLE CENTRAL SCH DIST,946401,70,70,2
FORESTVILLE UNION ELEM DIST,883334,70,70,1
FORGAN INDEP SCHOOL DIST 123,951304,70,70,2
FORKS OF SALMON ELEM SCHOOL,923826,80,80,
FORNEY INDEP SCHOOL DISTRICT,969354,50,50,14
FORREST CITY SCHOOL DISTRICT,882225,90,90,4
FORREST CITY SCHOOL DISTRICT 7,882225,90,90,4
FORREST CO AGRI HIGH SCH DIST,926603,80,80,1
FORREST COUNTY SCHOOL DISTRICT,926602,90,90,6
FORRESTVILLE VLY SCH DIST 221,901153,70,70,3
FORSAN INDEP SCHOOL DISTRICT,969355,60,60,2
FORSYTH COUNTY SCHOOL DISTRICT,889920,40,40,35
FORSYTH SCHOOL DISTRICT 4,928917,60,60,3
FORSYTH SCHOOL DISTRICT R 3,924227,80,80,3
FORT ANN CENTRAL SCHOOL DIST,946402,70,70,1
FORT ATKINSON SCHOOL DISTRICT,983904,70,70,6
FORT BEND INDEP SCHOOL DIST,969356,60,60,75
FORT BENTON SCHOOL DISTRICT 1,928919,60,60,3
FORT BRAGG UNIFIED SCHOOL DIST,883338,80,80,8
FORT CALHOUN COMMUNITY SCHOOLS,936070,50,50,2
FORT CHERRY SCHOOL DISTRICT,953795,70,70,2
FORT DAVIS INDEP SCHOOL DIST,969370,70,70,3
FORT DODGE COMM SCHOOL DIST,894283,80,80,9
FORT EDWARD UNION FREE DIST,946404,80,80,1
FORT ELLIOT CONS IND SCH DIST,969087,50,50,1
FORT FRYE LOCAL SCHOOL DIST,950273,80,80,4
FORT GIBSON PUBLIC SCHOOLS,951305,60,60,4
FORT HANCOCK INDEP SCHOOL DIST,969371,90,90,3
FORT JENNINGS LOCAL SCHOOL DISTRICT,950157,60,60,2
FORT LARNED UNIF SCH DIST 495,903563,80,80,5
FORT LEAVENWORTH UNIF S D 207,903500,40,40,4
FORT LE BOEUF SCHOOL DISTRICT,953796,70,70,5
FORT LEE SCHOOL DISTRICT,941226,50,50,6
