esh_id,id,MEMBER,TOTET
909739,39221,621,621
909712,38626,621,621
909758,39501,620,620
909711,38605,620,620
909761,39583,620,620
909766,39701,620,620
909733,39073,619,619
909720,38836,619,619
909731,38994,619,619
909656,38469,619,619
909743,39304,618,618
909656,38484,617,617
909711,38594,616,616
909719,38795,616,616
909765,39666,616,616
909720,38834,613,613
909726,38942,613,613
909741,39240,613,613
909713,38725,612,612
909712,38668,612,612
909737,39199,612,612
909655,38454,612,612
909761,39595,610,610
909743,39292,609,609
909656,38487,609,609
909746,39327,608,608
909767,39712,608,608
909764,39664,608,608
909712,38656,607,607
909772,39748,607,607
909731,39017,607,607
909721,38882,607,607
909731,38972,605,605
909733,39091,603,603
909736,39155,603,603
909731,39043,600,600
909756,39445,600,600
909746,39367,599,599
909760,39542,597,597
909729,38963,597,597
909759,39509,596,596
909733,39094,595,595
909733,39083,595,595
909765,39672,594,594
909629,38349,594,594
909727,38945,592,592
909758,39492,592,592
909756,39449,591,591
909712,38625,591,591
909711,38609,589,589
909711,38619,589,589
909759,39526,588,588
909757,39452,588,588
909713,38741,588,588
909760,39567,587,587
909733,39075,587,587
909737,39164,585,585
909767,39711,584,584
909760,39549,584,584
909751,39426,583,583
909726,38929,583,583
909731,38974,582,582
909763,39635,582,582
909758,39498,582,582
909772,39749,580,580
909720,38830,580,580
909733,39076,579,579
909739,39207,579,579
909739,39217,579,579
909720,38849,578,578
909734,39127,578,578
909656,38465,578,578
909731,38995,577,577
909711,38615,577,577
909769,39720,576,576
909711,38606,576,576
909708,38573,574,574
909720,38812,574,574
909764,39660,573,573
909736,39154,572,572
909711,38600,572,572
909739,39220,571,571
909736,39148,571,571
909731,39040,571,571
909770,39733,570,570
909733,39068,569,569
909763,39643,568,568
909629,38353,567,567
909737,39184,567,567
909757,39485,567,567
909743,39305,566,566
909712,38665,566,566
909756,39450,565,565
909749,39391,564,564
909720,38800,563,563
909757,39473,563,563
909771,39742,561,561
909656,38481,561,561
909726,38944,561,561
909707,38568,560,560
909731,38985,559,559
909759,39506,559,559
909743,39300,559,559
909724,38905,558,558
909737,39158,558,558
909759,39517,558,558
909726,38936,557,557
909726,38943,557,557
909734,39116,556,556
909737,39180,556,556
909765,39671,556,556
909720,38819,555,555
909729,38962,555,555
909656,38464,555,555
909720,38844,552,552
909739,39213,551,551
909733,39086,551,551
909733,39104,551,551
909711,38608,550,550
909749,39389,550,550
909733,39078,550,550
909760,39544,549,549
909711,38610,548,548
909760,39570,547,547
909719,38787,547,547
909760,39551,547,547
909712,38645,547,547
909743,39278,546,546
909720,38825,546,546
909726,38941,544,544
909760,39545,544,544
909727,38946,544,544
909714,38749,543,543
909750,39402,541,541
909737,39165,541,541
909731,39021,541,541
909743,39277,540,540
909734,39128,540,540
909724,38907,539,539
909766,39703,539,539
909745,39322,538,538
909720,38858,537,537
909766,39697,537,537
909760,39565,536,536
909731,38979,535,535
909726,38937,535,535
909737,39163,534,534
909749,39397,534,534
909709,38581,534,534
909769,39718,533,533
909733,39062,533,533
909737,39169,533,533
909729,38965,532,532
909746,39347,532,532
909719,38797,532,532
909757,39462,531,531
909765,39669,531,531
909731,39039,530,530
909711,38621,529,529
909743,39306,529,529
909724,38904,528,528
909767,39710,528,528
909734,39110,528,528
909761,39608,528,528
909629,38343,527,527
909718,38780,527,527
909766,39688,526,526
909758,39496,526,526
909656,38474,525,525
909741,39246,523,523
909731,38986,522,522
909723,38894,522,522
909713,38740,521,521
909765,39667,521,521
909772,39747,520,520
909737,39193,520,520
909720,38806,518,518
909737,39179,518,518
909757,39474,518,518
909749,39395,518,518
909713,38709,518,518
909718,38784,518,518
909726,38923,517,517
909761,39597,517,517
909713,38732,517,517
909720,38827,516,516
909729,38967,516,516
909767,39706,515,515
909765,39673,515,515
909731,39034,515,515
909759,39507,514,514
909743,39301,513,513
909720,38810,513,513
909737,39200,513,513
909769,39728,513,513
909766,39695,512,512
909750,39404,511,511
909731,39011,510,510
909743,39280,510,510
909733,39070,508,508
909761,39590,508,508
909741,39247,508,508
909760,39550,507,507
909720,38857,507,507
909761,39584,506,506
909759,39519,506,506
909769,39725,506,506
909735,39139,504,504
909739,39216,504,504
909736,39146,503,503
909729,38960,503,503
909720,38840,503,503
909761,39614,503,503
909731,38991,502,502
909707,38562,502,502
909739,39210,502,502
909763,39623,502,502
909737,39189,500,500
909713,38723,500,500
909713,38724,500,500
909737,39162,499,499
909760,39575,499,499
909717,38772,497,497
909743,39274,497,497
909741,39239,497,497
909760,39578,496,496
909761,39589,496,496
909720,38817,495,495
909763,39626,495,495
909720,38851,495,495
909726,38920,494,494
909731,39016,494,494
909712,38649,494,494
909656,38486,493,493
909734,39118,493,493
909740,39230,493,493
909629,38340,493,493
909759,39520,493,493
909713,38691,492,492
909731,38988,491,491
909720,38824,490,490
909766,39696,490,490
909769,39719,490,490
909720,38831,488,488
909761,39588,487,487
909684,38529,487,487
909737,39197,486,486
909656,38490,486,486
909748,39384,485,485
909723,38899,485,485
909731,38992,485,485
909743,39290,485,485
909738,39204,484,484
909722,38887,482,482
909746,39324,481,481
909734,39133,480,480
909760,39562,480,480
909726,38930,478,478
909731,39023,477,477
909712,38658,477,477
909743,39299,476,476
909743,39289,476,476
909731,39042,475,475
909766,39693,475,475
909712,38671,474,474
909712,38634,474,474
909718,38782,474,474
909743,39308,474,474
909765,39682,473,473
909770,39739,473,473
909712,38633,472,472
909712,38661,472,472
909761,39607,471,471
909771,39746,470,470
909746,39359,467,467
909763,39652,467,467
909763,39645,467,467
909734,39120,467,467
909748,39387,467,467
909719,38794,466,466
909711,38601,466,466
909712,38654,466,466
909656,38471,466,466
909760,39546,466,466
909771,39745,465,465
909731,38978,465,465
909731,39005,464,464
909731,39020,464,464
909726,38939,464,464
909711,38596,463,463
909743,39302,463,463
909659,38501,463,463
909727,38949,462,462
909765,39675,462,462
909713,38703,462,462
909734,39130,461,461
909636,38378,460,460
909759,39508,460,460
909725,38909,459,459
909712,38673,459,459
909757,39468,458,458
909769,39729,458,458
909718,38783,457,457
909712,38622,456,456
909757,39478,455,455
909726,38921,455,455
909739,39215,455,455
909739,39218,454,454
909629,38350,454,454
909766,39699,454,454
909756,39448,454,454
909731,39047,452,452
909733,39089,452,452
909713,38712,452,452
909746,39333,452,452
909734,39112,451,451
909712,38657,450,450
909761,39592,447,447
909731,38973,447,447
909770,39734,447,447
909770,39732,447,447
909720,38809,446,446
909769,39727,446,446
909707,38569,446,446
909737,39177,446,446
909713,38745,444,444
909750,39407,443,443
909656,38466,443,443
909713,38731,442,442
909720,38854,442,442
909754,39431,441,441
909636,38377,441,441
909760,39572,440,440
909720,38818,439,439
909766,39691,439,439
909731,39044,439,439
909749,39392,438,438
909763,39649,437,437
909751,39427,437,437
909774,39757,437,437
909720,38852,437,437
909731,39025,437,437
909769,39721,437,437
909746,39341,437,437
909759,39511,436,436
909748,39386,436,436
909707,38561,435,435
909712,38637,434,434
909746,39332,434,434
909658,38500,434,434
909766,39700,433,433
909712,38652,432,432
909772,39750,430,430
909734,39123,430,430
909739,39222,429,429
909711,38595,429,429
909739,39224,429,429
909731,39022,429,429
909746,39348,427,427
909756,39440,427,427
909761,39598,426,426
909737,39183,426,426
909684,38527,426,426
909746,39370,425,425
909719,38789,425,425
909739,39209,425,425
909720,38843,425,425
909712,38644,425,425
909760,39532,425,425
909720,38821,425,425
909731,39007,423,423
909760,39571,423,423
909736,39150,422,422
909769,39724,421,421
909757,39469,421,421
909731,39029,420,420
909765,39678,419,419
909759,39518,419,419
909729,38966,418,418
909720,38833,418,418
909726,38928,418,418
909761,39615,417,417
909655,38453,417,417
909743,39294,415,415
909738,39205,415,415
909731,39012,415,415
909718,38778,414,414
909707,38567,414,414
909758,39503,413,413
909737,39159,413,413
909684,38528,412,412
909658,38497,412,412
909763,39632,412,412
909712,38631,411,411
909758,39497,410,410
909751,39412,410,410
909720,38815,410,410
909737,39171,410,410
909629,38345,410,410
909761,39586,409,409
909712,38655,409,409
909737,39176,409,409
