"esh_id","use_case_name"
969966,"'BW per Student','Change in Total BW','Change in Total BW'"
969973,"'Cost Per Circuit'"
969997,"'BW per Student'"
970020,"'Cost Per Circuit'"
970072,"'BW per Student','Change in Total Monthly Cost','% Change in BW'"
970075,"'Change in Total Monthly Cost','Monthly Cost per Mbps'"
970097,"'Cost Per Circuit'"
970103,"'BW per Student','% Change in BW'"
970121,"'Cost Per Circuit'"
970137,"'Cost Per Circuit'"
970159,"'Change in Total Monthly Cost','Monthly Cost per Mbps'"
970174,"'Cost Per Circuit'"
970190,"'BW per Student','Change in Total BW'"
970209,"'Cost Per Circuit'"
975510,"'% Change in BW','BW per Student'"
975511,"'Cost Per Circuit'"
975525,"'Change in Total Monthly Cost','Monthly Cost per Mbps','% Change in Monthly Cost'"
975607,"'% Change in BW'"
975618,"'Monthly Cost per Mbps'"
975643,"'BW per Student','% Change in BW'"
975649,"'Change in Total BW'"
975662,"'BW per Student'"
980678,"'% Change in Monthly Cost'"
980690,"'% Change in BW'"
982928,"'Cost Per Circuit'"
982951,"'Cost Per Circuit'"
983055,"'Cost Per Circuit'"
983074,"'Cost Per Circuit'"
983120,"'Cost Per Circuit'"
983135,"'Cost Per Circuit'"
983197,"'Cost Per Circuit'"
983199,"'Cost Per Circuit'"
983216,"'Cost Per Circuit'"
983276,"'Monthly Cost per Mbps'"
983711,"'BW per Student'"
983743,"'BW per Student'"
983745,"'Cost Per Circuit'"
983749,"'BW per Student'"
983776,"'Change in Total Monthly Cost'"
983779,"'BW per Student'"
983890,"'BW per Student'"
983899,"'BW per Student'"
983904,"'BW per Student'"
983927,"'BW per Student'"
983930,"'BW per Student'"
983932,"'BW per Student'"
983939,"'Change in Total BW'"
983994,"'Change in Total BW','% Change in BW','BW per Student'"
983998,"'Change in Total BW','% Change in Monthly Cost','% Change in Monthly Cost','Change in Total BW','Change in Total Monthly Cost'"
984034,"'BW per Student'"
984040,"'BW per Student'"
984041,"'Cost Per Circuit'"
984056,"'% Change in Monthly Cost'"
984059,"'Change in Total BW'"
984061,"'Cost Per Circuit'"
984078,"'BW per Student'"
984079,"'BW per Student'"
984083,"'% Change in BW'"
984105,"'Change in Total BW'"
984115,"'% Change in Monthly Cost'"
984246,"'BW per Student'"
984253,"'% Change in Monthly Cost'"
984306,"'Cost Per Circuit'"
984310,"'BW per Student'"
984855,"'Change in Total BW','BW per Student','% Change in BW'"
984871,"'% Change in Monthly Cost'"
984879,"'Monthly Cost per Mbps'"
984902,"'Monthly Cost per Mbps'"
1074091,"'Cost Per Circuit'"
