"esh_id","use_case_name"
883133,"'BW per Student','% Change in Monthly Cost'"
883137,"'% Change in BW'"
883146,"'BW per Student'"
883147,"'Cost Per Circuit'"
883150,"'Cost Per Circuit'"
883152,"'Cost Per Circuit'"
883166,"'BW per Student','% Change in BW','Change in Total BW'"
883168,"'Change in Total Monthly Cost'"
883209,"'Change in Total Monthly Cost'"
883238,"'% Change in BW'"
883243,"'Cost Per Circuit'"
883254,"'Change in Total Monthly Cost'"
883281,"'BW per Student','Change in Total BW','BW per Student'"
883295,"'Cost Per Circuit','Cost Per Circuit'"
883299,"'% Change in Monthly Cost'"
883309,"'Cost Per Circuit'"
883356,"'Cost Per Circuit'"
883388,"'Monthly Cost per Mbps'"
883406,"'Monthly Cost per Mbps','% Change in Monthly Cost','Change in Total Monthly Cost'"
883413,"'Change in Total Monthly Cost'"
883430,"'Cost Per Circuit'"
883457,"'Change in Total BW'"
883458,"'Cost Per Circuit'"
883503,"'Cost Per Circuit'"
883505,"'Cost Per Circuit'"
883506,"'Cost Per Circuit'"
883598,"'Cost Per Circuit'"
883629,"'Cost Per Circuit'"
883652,"'BW per Student'"
883678,"'Cost Per Circuit'"
883682,"'% Change in Monthly Cost'"
883683,"'% Change in Monthly Cost'"
883711,"'Cost Per Circuit','Cost Per Circuit','Cost Per Circuit'"
883712,"'Cost Per Circuit'"
883714,"'Change in Total Monthly Cost'"
883723,"'BW per Student'"
883759,"'Cost Per Circuit'"
883774,"'Cost Per Circuit'"
883780,"'Change in Total BW'"
883792,"'Cost Per Circuit'"
883854,"'Cost Per Circuit'"
883910,"'% Change in Monthly Cost','Change in Total BW','Change in Total BW'"
883914,"'Cost Per Circuit'"
883920,"'Monthly Cost per Mbps'"
883931,"'Cost Per Circuit'"
883962,"'% Change in Monthly Cost','Monthly Cost per Mbps'"
883973,"'Monthly Cost per Mbps'"
883986,"'Monthly Cost per Mbps'"
883988,"'Change in Total BW'"
883998,"'Cost Per Circuit'"
884022,"'Cost Per Circuit'"
884034,"'Change in Total Monthly Cost'"
884147,"'Change in Total BW','% Change in BW'"
884161,"'% Change in Monthly Cost','Monthly Cost per Mbps','Change in Total BW','% Change in BW','Change in Total BW'"
884169,"'% Change in Monthly Cost'"
884174,"'Change in Total BW','% Change in BW'"
884186,"'% Change in Monthly Cost'"
884220,"'Cost Per Circuit'"
884221,"'Cost Per Circuit'"
884222,"'% Change in BW','Change in Total BW'"
884226,"'Monthly Cost per Mbps'"
884234,"'Monthly Cost per Mbps'"
884244,"'% Change in Monthly Cost'"
884254,"'% Change in Monthly Cost'"
